study.id,publication,pubyear,location,microbial.name,microbial.type,inoculant.type,experimental.type,inoculum.in.tr,inoculum.in.ck,inoculum,inoculation.amount,inoculation.amount.1,soil.weight,final.inoculation.amount,log10,unit,inoculant.quantity,inoculation.location,soil.use.type,soil.origin,soil.type,sandy.or.not.sandy,extraction.part,soil.ph,log10ph,soil.tc,log10tc,soil.soc,log10soc,tn,log10tn,tp,log10tp,organic.p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application.background,stress,specific.background,rate,fertilizer,fertilizer.type,supply.rate,native,plant,plant.latin,plant.type,experimental.duration,experimental.periods,variable,methods,unit.1,xc,sc,nc,xe,se,ne,ph,xc.1,sc.1,nc.1,xe.1,se.1,ne.1,X.yield.xc,sc.2,nc.2,xe.2,se.2,ne.2,X.plant.biomass.xc,sc.3,nc.3,xe.3,se.3,ne.3,X.leaf.biomass.xc,sc.4,na,nc.4,xe.4,se.4,na.1,ne.4,sd.se,X.shoot.biomass.xc,sc.5,na.2,nc.5,xe.5,se.5,na.3,ne.5,sd.se.1,X.root.biomass.xc,sc.6,na.4,nc.6,xe.6,se.6,na.5,ne.6,sd.se.2,RR,Vi
16,"cozzolino, vincenza(2013)",2013,castel volturno,glomus intraradices,amf,amf,field,amf commercial inoculum,none,amf inoculum yes,"100 amf infective propagules /g product, 25kg/ha",na,field,2500000,6.397940009,propagules/ha soil,yes,soils,farmland,cropland,vertic xerofluven,sandy,rhizosphere,8.7,0.939519,na,na,10.5,1.021189,1.3,0.113943,na,na,na,na,na,na,na,na,12,1.079181,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,maize,(zea mays l. cv 3321 limagrain,crop,40,short-term,ap,olsen,mg/kg,11.1,1.21,10,12.1,1.46,10,ph,8.36,0.08,10,8.3,0.07,10,73,5,10,71,6,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.086260344,0.002644208
16,"cozzolino, vincenza(2013)",2013,castel volturno,glomus intraradices,amf,amf,field,amf commercial inoculum,none,amf inoculum yes,"100 amf infective propagules /g product, 25kg/ha",na,field,2500000,6.397940009,propagules/ha soil,yes,soils,farmland,cropland,vertic xerofluven,sandy,bulk,8.7,0.939519,na,na,10.5,1.021189,1.3,0.113943,na,na,na,na,na,na,na,na,12,1.079181,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,maize,(zea mays l. cv 3322 limagrain,crop,40,short-term,ap,olsen,mg/kg,15,0.73,10,15.02,1.1,10,ph,8.7,0.05,10,8.68,0.08,10,73,5,10,71,6,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.001332445,0.000773191
16,"cozzolino, vincenza(2013)",2013,castel volturno,glomus intraradices,amf,amf,field,amf commercial inoculum,none,amf inoculum yes,"100 amf infective propagules /g product, 25kg/ha",na,field,2500000,6.397940009,propagules/ha soil,yes,soils,farmland,cropland,vertic xerofluven,sandy,rhizosphere,8.7,0.939519,na,na,10.5,1.021189,1.3,0.113943,na,na,na,na,na,na,na,na,12,1.079181,na,na,unsterilization,na,no stress,na,na,fertilizer,nk,na,no native,maize,(zea mays l. cv 3323 limagrain,crop,40,short-term,ap,olsen,mg/kg,14.3,1.66,10,17.9,1.78,10,ph,8.18,0.1,10,8.08,0.05,10,100,6,10,118,5,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.224541176,0.002336406
16,"cozzolino, vincenza(2013)",2013,castel volturno,glomus intraradices,amf,amf,field,amf commercial inoculum,none,amf inoculum yes,"100 amf infective propagules /g product, 25kg/ha",na,field,2500000,6.397940009,propagules/ha soil,yes,soils,farmland,cropland,vertic xerofluven,sandy,bulk,8.7,0.939519,na,na,10.5,1.021189,1.3,0.113943,na,na,na,na,na,na,na,na,12,1.079181,na,na,unsterilization,na,no stress,na,na,fertilizer,nk,na,no native,maize,(zea mays l. cv 3324 limagrain,crop,40,short-term,ap,olsen,mg/kg,18.6,0.8,10,20.8,1.2,10,ph,8.68,0.07,10,8.57,0.12,10,100,6,10,118,5,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.111791406,0.000517833
16,"cozzolino, vincenza(2013)",2013,castel volturno,glomus intraradices,amf,amf,field,amf commercial inoculum,none,amf inoculum yes,"100 amf infective propagules /g product, 25kg/ha",na,field,2500000,6.397940009,propagules/ha soil,yes,soils,farmland,cropland,vertic xerofluven,sandy,rhizosphere,8.7,0.939519,na,na,10.5,1.021189,1.3,0.113943,na,na,na,na,na,na,na,na,12,1.079181,na,na,unsterilization,na,no stress,na,na,fertilizer,npk,na,no native,maize,(zea mays l. cv 3325 limagrain,crop,40,short-term,ap,olsen,mg/kg,18.9,2.1,10,22,1.3,10,ph,8.13,0.15,10,8.13,0.09,10,110,4,10,122,5,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.151880531,0.001583741
16,"cozzolino, vincenza(2013)",2013,castel volturno,glomus intraradices,amf,amf,field,amf commercial inoculum,none,amf inoculum yes,"100 amf infective propagules /g product, 25kg/ha",na,field,2500000,6.397940009,propagules/ha soil,yes,soils,farmland,cropland,vertic xerofluven,sandy,bulk,8.7,0.939519,na,na,10.5,1.021189,1.3,0.113943,na,na,na,na,na,na,na,na,12,1.079181,na,na,unsterilization,na,no stress,na,na,fertilizer,npk,na,no native,maize,(zea mays l. cv 3326 limagrain,crop,40,short-term,ap,olsen,mg/kg,27.5,2.3,10,31.1,1.89,10,ph,8.56,0.07,10,8.57,0.08,10,110,4,10,122,5,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.123021815,0.001068824
16,"cozzolino, vincenza(2013)",2013,castel volturno,glomus intraradices,amf,amf,field,amf commercial inoculum,none,amf inoculum yes,"100 amf infective propagules /g product, 25kg/ha",na,field,2500000,6.397940009,propagules/ha soil,yes,soils,farmland,cropland,vertic xerofluven,sandy,rhizosphere,8.7,0.939519,na,na,10.5,1.021189,1.3,0.113943,na,na,na,na,na,na,na,na,12,1.079181,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,maize,(zea mays l. cv 3321 limagrain,crop,40,short-term,ap,olsen,mg/kg,10.5,0.55,10,11.2,0.69,10,ph,8.36,0.08,10,8.3,0.07,10,73,5,10,71,6,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.064538521,0.00065392
16,"cozzolino, vincenza(2013)",2013,castel volturno,glomus intraradices,amf,amf,field,amf commercial inoculum,none,amf inoculum yes,"100 amf infective propagules /g product, 25kg/ha",na,field,2500000,6.397940009,propagules/ha soil,yes,soils,farmland,cropland,vertic xerofluven,sandy,bulk,8.7,0.939519,na,na,10.5,1.021189,1.3,0.113943,na,na,na,na,na,na,na,na,12,1.079181,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,maize,(zea mays l. cv 3322 limagrain,crop,40,short-term,ap,olsen,mg/kg,13,0.64,10,13.9,1.49,10,ph,8.7,0.05,10,8.68,0.08,10,73,5,10,71,6,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.066939483,0.001391427
16,"cozzolino, vincenza(2013)",2013,castel volturno,glomus intraradices,amf,amf,field,amf commercial inoculum,none,amf inoculum yes,"100 amf infective propagules /g product, 25kg/ha",na,field,2500000,6.397940009,propagules/ha soil,yes,soils,farmland,cropland,vertic xerofluven,sandy,rhizosphere,8.7,0.939519,na,na,10.5,1.021189,1.3,0.113943,na,na,na,na,na,na,na,na,12,1.079181,na,na,unsterilization,na,no stress,na,na,fertilizer,nk,na,no native,maize,(zea mays l. cv 3323 limagrain,crop,40,short-term,ap,olsen,mg/kg,12.3,0.78,10,13.3,0.66,10,ph,8.18,0.1,10,8.08,0.05,10,100,6,10,118,5,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.078164773,0.000648396
16,"cozzolino, vincenza(2013)",2013,castel volturno,glomus intraradices,amf,amf,field,amf commercial inoculum,none,amf inoculum yes,"100 amf infective propagules /g product, 25kg/ha",na,field,2500000,6.397940009,propagules/ha soil,yes,soils,farmland,cropland,vertic xerofluven,sandy,bulk,8.7,0.939519,na,na,10.5,1.021189,1.3,0.113943,na,na,na,na,na,na,na,na,12,1.079181,na,na,unsterilization,na,no stress,na,na,fertilizer,nk,na,no native,maize,(zea mays l. cv 3324 limagrain,crop,40,short-term,ap,olsen,mg/kg,14.8,0.64,10,16.5,0.36,10,ph,8.68,0.07,10,8.57,0.12,10,100,6,10,118,5,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.1087332,0.000234601
