study.id,publication,pubyear,location,microbial.name,microbial.type,inoculant.type,experimental.type,inoculum.in.tr,inoculum.in.ck,inoculum,inoculation.amount,inoculation.amount.1,soil.weight,final.inoculation.amount,log10,unit,inoculant.quantity,inoculation.location,soil.use.type,soil.origin,soil.type,sandy.or.not.sandy,extraction.part,soil.ph,log10ph,soil.tc,log10tc,soil.soc,log10soc,tn,log10tn,tp,log10tp,organic.p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application.background,stress,specific.background,rate,fertilizer,fertilizer.type,supply.rate,native,plant,plant.latin,plant.type,experimental.duration,experimental.periods,variable,methods,unit.1,xc,sc,nc,xe,se,ne,ph,xc.1,sc.1,nc.1,xe.1,se.1,ne.1,X.yield.xc,sc.2,nc.2,xe.2,se.2,ne.2,X.plant.biomass.xc,sc.3,nc.3,xe.3,se.3,ne.3,X.leaf.biomass.xc,sc.4,na,nc.4,xe.4,se.4,na.1,ne.4,sd.se,X.shoot.biomass.xc,sc.5,na.2,nc.5,xe.5,se.5,na.3,ne.5,sd.se.1,X.root.biomass.xc,sc.6,na.4,nc.6,xe.6,se.6,na.5,ne.6,sd.se.2,RR,Vi
23,"zhang, huanshi(2011)",2011,32Â°30â² n and 118Â°42â² e,glomus mosseae,amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum,amf yes,"1256 spores/100g soil, 10g/pot",na,0.9kg,140,2.146128036,spores/kg soil,yes,soils,mix of soil and sand,other,na,sandy,rhizosphere,7.73536,0.888481,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,kostelelzkya virginica,kostelelzkya virginica,herbaceous plants,90,short-term,ap,olsen,mg/kg,2.07516,0.71506,3,1.37785,0.238469,3,ph,7.73536,0.730146,3,7.39813,0.365064,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.239915,0.008471,0.248386,3,0.289275,0.024364,0.313639,3,se,0.045343,0.003972,0.049314,3,0.065863,0.005957,0.07182,3,se,-0.409513946,0.049563395
23,"zhang, huanshi(2011)",2011,32Â°30â² n and 118Â°42â² e,glomus aggregatum,amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum,amf yes,"1256 spores/100g soil, 10g/pot",na,0.9kg,140,2.146128036,spores/kg soil,yes,soils,mix of soil and sand,other,na,sandy,rhizosphere,7.73536,0.888481,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,kostelelzkya virginica,kostelelzkya virginica,herbaceous plants,90,short-term,ap,olsen,mg/kg,2.07516,0.71506,3,3.38828,0.524378,3,ph,7.73536,0.730146,3,7.44028,0.620611,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.239915,0.008471,0.248386,3,0.32959,0.019067,0.348657,3,se,0.045343,0.003972,0.049314,3,0.070166,0.003641,0.073806,3,se,0.490284159,0.0475624
23,"zhang, huanshi(2011)",2011,32Â°30â² n and 118Â°42â² e,"glomus mosseae, glomus aggregatum",amf,amf,greenhouse,amf inoculum,sterilized amf inoculum ,amf yes,"1256 spores/100g soil, 10g/pot",na,0.9kg,140,2.146128036,spores/kg soil,yes,soils,mix of soil and sand,other,na,sandy,rhizosphere,7.73536,0.888481,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,kostelelzkya virginica,kostelelzkya virginica,herbaceous plants,90,short-term,ap,olsen,mg/kg,2.07516,0.71506,3,3.6386,0.524361,3,ph,7.73536,0.730146,3,7.69321,0.730129,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.239915,0.008471,0.248386,3,0.398566,0.022249,0.420815,3,se,0.045343,0.003972,0.049314,3,0.080757,0.004965,0.085721,3,se,0.561560733,0.046501236
23,"zhang, huanshi(2011)",2011,32Â°30â² n and 118Â°42â² e,glomus mosseae,amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum,amf yes,"1256 spores/100g soil, 10g/pot",na,0.9kg,140,2.146128036,spores/kg soil,yes,soils,mix of soil and sand,other,na,sandy,bulk,7.175,0.855822,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,kostelelzkya virginica,kostelelzkya virginica,herbaceous plants,90,short-term,ap,olsen,mg/kg,0.76875,0.357235,3,2.15625,0.32476,3,ph,7.175,0.223764,3,7.66585,0.261037,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.239915,0.008471,0.248386,3,0.289275,0.024364,0.313639,3,se,0.045343,0.003972,0.049314,3,0.065863,0.005957,0.07182,3,se,1.031360062,0.079542229
23,"zhang, huanshi(2011)",2011,32Â°30â² n and 118Â°42â² e,glomus aggregatum,amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum,amf yes,"1256 spores/100g soil, 10g/pot",na,0.9kg,140,2.146128036,spores/kg soil,yes,soils,mix of soil and sand,other,na,sandy,bulk,7.175,0.855822,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,kostelelzkya virginica,kostelelzkya virginica,herbaceous plants,90,short-term,ap,olsen,mg/kg,0.76875,0.357235,3,2.64375,0.552091,3,ph,7.175,0.223764,3,7.17126,0.037291,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.239915,0.008471,0.248386,3,0.32959,0.019067,0.348657,3,se,0.045343,0.003972,0.049314,3,0.070166,0.003641,0.073806,3,se,1.235187824,0.086517253
23,"zhang, huanshi(2011)",2011,32Â°30â² n and 118Â°42â² e,"glomus mosseae, glomus aggregatum",amf,amf,greenhouse,amf inoculum,sterilized amf inoculum ,amf yes,"1256 spores/100g soil, 10g/pot",na,0.9kg,140,2.146128036,spores/kg soil,yes,soils,mix of soil and sand,other,na,sandy,bulk,7.175,0.855822,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,kostelelzkya virginica,kostelelzkya virginica,herbaceous plants,90,short-term,ap,olsen,mg/kg,0.76875,0.357235,3,4.725,0.552091,3,ph,7.175,0.223764,3,7.96914,0.223816,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.239915,0.008471,0.248386,3,0.398566,0.022249,0.420815,3,se,0.045343,0.003972,0.049314,3,0.080757,0.004965,0.085721,3,se,1.815857021,0.076531662
23,"zhang, huanshi(2011)",2011,32Â°30â² n and 118Â°42â² e,glomus mosseae,amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum,amf yes,"1256 spores/100g soil, 10g/pot",na,0.9kg,140,2.146128036,spores/kg soil,yes,soils,mix of soil and sand,other,na,sandy,rhizosphere,7.1452,0.854014,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,stress,salt,100,no fertilizer,na,na,no native,kostelelzkya virginica,kostelelzkya virginica,herbaceous plants,90,short-term,ap,olsen,mg/kg,1.92238,0.190785,3,0.426983,0.143012,3,ph,7.1452,0.693634,3,6.9555,0.219052,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.145149,0.008478,0.153627,3,0.257015,0.009534,0.266549,3,se,0.033428,0.002979,0.036407,3,0.044019,0.001986,0.046005,3,se,-1.504575081,0.040677188
23,"zhang, huanshi(2011)",2011,32Â°30â² n and 118Â°42â² e,glomus aggregatum,amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum,amf yes,"1256 spores/100g soil, 10g/pot",na,0.9kg,140,2.146128036,spores/kg soil,yes,soils,mix of soil and sand,other,na,sandy,rhizosphere,7.1452,0.854014,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,stress,salt,100,no fertilizer,na,na,no native,kostelelzkya virginica,kostelelzkya virginica,herbaceous plants,90,short-term,ap,olsen,mg/kg,1.92238,0.190785,3,0.648502,0.286024,3,ph,7.1452,0.693634,3,6.91335,0.365064,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.145149,0.008478,0.153627,3,0.24648,0.018011,0.264491,3,se,0.033428,0.002979,0.036407,3,0.055603,0.003641,0.059244,3,se,-1.086654193,0.06812583
23,"zhang, huanshi(2011)",2011,32Â°30â² n and 118Â°42â² e,"glomus mosseae, glomus aggregatum",amf,amf,greenhouse,amf inoculum,sterilized amf inoculum ,amf yes,"1256 spores/100g soil, 10g/pot",na,0.9kg,140,2.146128036,spores/kg soil,yes,soils,mix of soil and sand,other,na,sandy,rhizosphere,7.1452,0.854014,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,stress,salt,100,no fertilizer,na,na,no native,kostelelzkya virginica,kostelelzkya virginica,herbaceous plants,90,short-term,ap,olsen,mg/kg,1.92238,0.190785,3,1.31166,0.715164,3,ph,7.1452,0.693634,3,6.85012,0.730129,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.145149,0.008478,0.153627,3,0.333471,0.032839,0.36631,3,se,0.033428,0.002979,0.036407,3,0.085721,0.007281,0.093002,3,se,-0.382270491,0.102377164
23,"zhang, huanshi(2011)",2011,32Â°30â² n and 118Â°42â² e,glomus mosseae,amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum,amf yes,"1256 spores/100g soil, 10g/pot",na,0.9kg,140,2.146128036,spores/kg soil,yes,soils,mix of soil and sand,other,na,sandy,bulk,6.38416,0.805104,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,stress,salt,100,no fertilizer,na,na,no native,kostelelzkya virginica,kostelelzkya virginica,herbaceous plants,90,short-term,ap,olsen,mg/kg,0.65625,0.097428,3,0.65625,0.097428,3,ph,6.38416,0.410271,3,6.27219,0.298346,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.145149,0.008478,0.153627,3,0.257015,0.009534,0.266549,3,se,0.033428,0.002979,0.036407,3,0.044019,0.001986,0.046005,3,se,0,0.01469392
