study.id,publication,pubyear,location,microbial.name,microbial.type,inoculant.type,experimental.type,inoculum.in.tr,inoculum.in.ck,inoculum,inoculation.amount,inoculation.amount.1,soil.weight,final.inoculation.amount,log10,unit,inoculant.quantity,inoculation.location,soil.use.type,soil.origin,soil.type,sandy.or.not.sandy,extraction.part,soil.ph,log10ph,soil.tc,log10tc,soil.soc,log10soc,tn,log10tn,tp,log10tp,organic.p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application.background,stress,specific.background,rate,fertilizer,fertilizer.type,supply.rate,native,plant,plant.latin,plant.type,experimental.duration,experimental.periods,variable,methods,unit.1,xc,sc,nc,xe,se,ne,ph,xc.1,sc.1,nc.1,xe.1,se.1,ne.1,X.yield.xc,sc.2,nc.2,xe.2,se.2,ne.2,X.plant.biomass.xc,sc.3,nc.3,xe.3,se.3,ne.3,X.leaf.biomass.xc,sc.4,na,nc.4,xe.4,se.4,na.1,ne.4,sd.se,X.shoot.biomass.xc,sc.5,na.2,nc.5,xe.5,se.5,na.3,ne.5,sd.se.1,X.root.biomass.xc,sc.6,na.4,nc.6,xe.6,se.6,na.5,ne.6,sd.se.2,RR,Vi
15,"el maaloum, sanae(2020)",2020,"marrakesh, morocco","myroides odoratus, alcaligenes feacalis, alcaligenes sp. (cife â ht30), alcaligenes sp. (ht18-mrl)",psb,bacteria,greenhouse,bacterial suspension,none,bacteria yes,"1*108 cfu/ml, 10ml/2kg",na,2kg,500000000,8.698970004,cfu/kg soil,yes,soils,farmland,cropland,na,unknow,rhizosphere,8.5,0.929419,na,na,2.842227,0.453659,na,na,na,na,na,na,na,na,na,na,8,0.90309,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,tomato,solanum lycopersicum âcampbell 33Ê¹,herbaceous plants,20,short-term,ap,olsen,mg/kg,56.5841,8.7472,4,61.0294,13.8497,4,ph,8.18114,0.20648,4,8.07066,0.19531,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.24,0.01,na,4,0.15,0.01,na,4,se,0.03,0.01,na,4,0.01,0.01,na,4,se,0.075627688,0.018849192
15,"el maaloum, sanae(2020)",2020,"marrakesh, morocco","myroides odoratus, alcaligenes feacalis, alcaligenes sp. (cife â ht30), alcaligenes sp. (ht18-mrl)",psb,bacteria,greenhouse,bacterial suspension,none,bacteria yes,"1*108 cfu/ml, 10ml/2kg",na,2kg,500000000,8.698970004,cfu/kg soil,yes,soils,farmland,cropland,na,unknow,rhizosphere,8.5,0.929419,na,na,2.842227,0.453659,na,na,na,na,na,na,na,na,na,na,8,0.90309,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,tomato,solanum lycopersicum âcampbell 33Ê¹,herbaceous plants,40,short-term,ap,olsen,mg/kg,32.5452,4.3739,4,71.9795,2.5512,4,ph,7.95816,0.12277,4,8.0151,0.19531,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1.37,0.1,na,4,1.16,0.08,na,4,se,0.3,0.05,na,4,0.15,0.03,na,4,se,0.793751464,0.004829538
15,"el maaloum, sanae(2020)",2020,"marrakesh, morocco","myroides odoratus, alcaligenes feacalis, alcaligenes sp. (cife â ht30), alcaligenes sp. (ht18-mrl)",psb,bacteria,greenhouse,bacterial suspension,none,bacteria yes,"1*108 cfu/ml, 10ml/2kg",na,2kg,500000000,8.698970004,cfu/kg soil,yes,soils,farmland,cropland,na,unknow,rhizosphere,8.5,0.929419,na,na,2.842227,0.453659,na,na,na,na,na,na,na,na,na,na,8,0.90309,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,tomato,solanum lycopersicum âcampbell 33Ê¹,herbaceous plants,60,short-term,ap,olsen,mg/kg,24.9075,2.9157,4,33.3623,8.3827,4,ph,7.55662,0.03906,4,8.06556,0.20089,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3.07,0.01,na,4,2.61,0.26,na,4,se,0.61,0.15,na,4,0.95,0.22,na,4,se,0.292257557,0.019209057
66,"li, ning(2023)",2023,na,em,bacteria,bacteria,greenhouse,bacterial suspension,water,bacteria yes,"5*108cfu/ml, 60ml/pot",na,3,10000000000,10,cfu/kg soil,yes,soils,na,other,unknow,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,moso bamboo,"phyllostachys
edulis",herbaceous plants,100,medium-term,ap,bray,mg/kg,3.2,0.1,3,3.8,0.5,3,ph,5.38,0.03,3,5.29,0.05,3,na,na,na,na,na,na,1.31423,0.061,3,1.87431,0.01663,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.171850257,0.006096527
66,"li, ning(2023)",2023,na,burkholderia sp.,pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,"5*108cfu/ml, 60ml/pot",na,3,10000000000,10,cfu/kg soil,yes,soils,na,other,unknow,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,moso bamboo,"phyllostachys
edulis",herbaceous plants,100,medium-term,ap,bray,mg/kg,3.2,0.1,3,4.3,0.3,3,ph,5.38,0.03,3,5.27,0.03,3,na,na,na,na,na,na,1.31423,0.061,3,2.57301,0.04991,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.295464213,0.001948019
66,"li, ning(2023)",2023,na,raoultella sp.,pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,"5*108cfu/ml, 60ml/pot",na,3,10000000000,10,cfu/kg soil,yes,soils,na,other,unknow,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,moso bamboo,"phyllostachys
edulis",herbaceous plants,100,medium-term,ap,bray,mg/kg,3.2,0.1,3,4.4,0.1,3,ph,5.38,0.03,3,5.31,0.04,3,na,na,na,na,na,na,1.31423,0.061,3,2.31238,0.03328,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.318453731,0.000497697
66,"li, ning(2023)",2023,na,"burkholderia sp., raoultella sp.",bacteria,bacteria,greenhouse,bacterial suspension,water,bacteria yes,"5*108cfu/ml, 60ml/pot",na,3,10000000000,10,cfu/kg soil,yes,soils,na,other,unknow,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,moso bamboo,"phyllostachys
edulis",herbaceous plants,100,medium-term,ap,bray,mg/kg,3.2,0.1,3,4.3,0.2,3,ph,5.38,0.03,3,5.32,0.03,3,na,na,na,na,na,na,1.31423,0.061,3,1.7634,0.09982,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.295464213,0.001046631
66,"li, ning(2023)",2023,na,"em, burkholderia sp.",bacteria,bacteria,greenhouse,bacterial suspension,water,bacteria yes,"5*108cfu/ml, 60ml/pot",na,3,10000000000,10,cfu/kg soil,yes,soils,na,other,unknow,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,moso bamboo,"phyllostachys
edulis",herbaceous plants,100,medium-term,ap,bray,mg/kg,3.2,0.1,3,4.3,0.2,3,ph,5.38,0.03,3,5.36,0.02,3,na,na,na,na,na,na,1.31423,0.061,3,2.46765,0.01664,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.295464213,0.001046631
66,"li, ning(2023)",2023,na,"em, raoultella sp.",bacteria,bacteria,greenhouse,bacterial suspension,water,bacteria yes,"5*108cfu/ml, 60ml/pot",na,3,10000000000,10,cfu/kg soil,yes,soils,na,other,unknow,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,moso bamboo,"phyllostachys
edulis",herbaceous plants,100,medium-term,ap,bray,mg/kg,3.2,0.1,3,4.1,0.1,3,ph,5.38,0.03,3,5.3,0.06,3,na,na,na,na,na,na,1.31423,0.061,3,2.51201,0.03328,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.247836164,0.000523815
66,"li, ning(2023)",2023,na,"em, burkholderia sp., raoultella sp.",bacteria,bacteria,greenhouse,bacterial suspension,water,bacteria yes,"5*108cfu/ml, 60ml/pot",na,3,10000000000,10,cfu/kg soil,yes,soils,na,other,unknow,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,moso bamboo,"phyllostachys
edulis",herbaceous plants,100,medium-term,ap,bray,mg/kg,3.2,0.1,3,4.5,0.3,3,ph,5.38,0.03,3,5.3,0.06,3,na,na,na,na,na,na,1.31423,0.061,3,2.74492,0.03881,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.340926587,0.001807002
