study.id,publication,pubyear,location,microbial.name,microbial.type,inoculant.type,experimental.type,inoculum.in.tr,inoculum.in.ck,inoculum,inoculation.amount,inoculation.amount.1,soil.weight,final.inoculation.amount,log10,unit,inoculant.quantity,inoculation.location,soil.use.type,soil.origin,soil.type,sandy.or.not.sandy,extraction.part,soil.ph,log10ph,soil.tc,log10tc,soil.soc,log10soc,tn,log10tn,tp,log10tp,organic.p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application.background,stress,specific.background,rate,fertilizer,fertilizer.type,supply.rate,native,plant,plant.latin,plant.type,experimental.duration,experimental.periods,variable,methods,unit.1,xc,sc,nc,xe,se,ne,ph,xc.1,sc.1,nc.1,xe.1,se.1,ne.1,X.yield.xc,sc.2,nc.2,xe.2,se.2,ne.2,X.plant.biomass.xc,sc.3,nc.3,xe.3,se.3,ne.3,X.leaf.biomass.xc,sc.4,na,nc.4,xe.4,se.4,na.1,ne.4,sd.se,X.shoot.biomass.xc,sc.5,na.2,nc.5,xe.5,se.5,na.3,ne.5,sd.se.1,X.root.biomass.xc,sc.6,na.4,nc.6,xe.6,se.6,na.5,ne.6,sd.se.2,RR,Vi
333,"mengual, carmen(2014)",2014,"lat. 38	 120 n, long. 1	 130 w",b. megaterium,bacteria,bacteria,field,bacterial suspension,water,bacteria yes,na,na,na,10000000000,10,cfu/plant,yes,soils,na,other,na,not sandy,rhizosphere,8.5,0.929419,98.5,1.993436,18.3,1.262451,0.00162,-2.790485,na,na,na,na,na,na,na,na,4.85,0.685742,350.1,2.544192,unsterilization,na,no stress,na,na,no fertilizer,sugar beet,na,native,na,lavandula dentata l.,crop,360,medium-term,ap,unknow,mg/kg,10.4,1.341641,5,8.5,1.118034,5,ph,8.6,0.447214,5,8.4,0.000022,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.8,0.02,na,5,3.6,0.03,na,5,se,0.2,0.02,na,5,0.4,0.05,na,5,se,-0.201739643,0.006788611
333,"mengual, carmen(2014)",2014,"lat. 38	 120 n, long. 1	 130 w",enterobacter sp,bacteria,bacteria,field,bacterial suspension,water,bacteria yes,na,na,na,10000000000,10,cfu/plant,yes,soils,na,other,na,not sandy,rhizosphere,8.5,0.929419,98.5,1.993436,18.3,1.262451,0.00162,-2.790485,na,na,na,na,na,na,na,na,4.85,0.685742,350.1,2.544192,unsterilization,na,no stress,na,na,no fertilizer,sugar beet,na,native,na,lavandula dentata l.,crop,360,medium-term,ap,unknow,mg/kg,10.4,1.341641,5,8,0.223607,5,ph,8.6,0.447214,5,8.4,0.000022,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.8,0.02,na,5,1.1,0.03,na,5,se,0.2,0.02,na,5,0.3,0.04,na,5,se,-0.262364264,0.003484654
333,"mengual, carmen(2014)",2014,"lat. 38	 120 n, long. 1	 130 w",b. thuringiensis,bacteria,bacteria,field,bacterial suspension,water,bacteria yes,na,na,na,10000000000,10,cfu/plant,yes,soils,na,other,na,not sandy,rhizosphere,8.5,0.929419,98.5,1.993436,18.3,1.262451,0.00162,-2.790485,na,na,na,na,na,na,na,na,4.85,0.685742,350.1,2.544192,unsterilization,na,no stress,na,na,no fertilizer,sugar beet,na,native,na,lavandula dentata l.,crop,360,medium-term,ap,unknow,mg/kg,10.4,1.341641,5,7.4,0.67082,5,ph,8.6,0.447214,5,8.4,0.000022,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.8,0.02,na,5,2.8,0.03,na,5,se,0.2,0.02,na,5,0.7,0.03,na,5,se,-0.340325806,0.004971937
333,"mengual, carmen(2014)",2014,"lat. 38	 120 n, long. 1	 130 w",bacillus sp,bacteria,bacteria,field,bacterial suspension,water,bacteria yes,na,na,na,10000000000,10,cfu/plant,yes,soils,na,other,na,not sandy,rhizosphere,8.5,0.929419,98.5,1.993436,18.3,1.262451,0.00162,-2.790485,na,na,na,na,na,na,na,na,4.85,0.685742,350.1,2.544192,unsterilization,na,no stress,na,na,no fertilizer,sugar beet,na,native,na,lavandula dentata l.,crop,360,medium-term,ap,unknow,mg/kg,10.4,1.341641,5,9,2.20E-05,5,ph,8.6,0.447214,5,8.4,0.000022,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.8,0.02,na,5,4.7,0.04,na,5,se,0.2,0.02,na,5,0.6,0.02,na,5,se,-0.144581229,0.003328403
333,"mengual, carmen(2014)",2014,"lat. 38	 120 n, long. 1	 130 w",b. megaterium,bacteria,bacteria,field,bacterial suspension,water,bacteria yes,na,na,na,10000000000,10,cfu/plant,yes,soils,na,other,na,not sandy,rhizosphere,8.5,0.929419,98.5,1.993436,18.3,1.262451,0.00162,-2.790485,na,na,na,na,na,na,na,na,4.85,0.685742,350.1,2.544192,unsterilization,na,no stress,na,na,fertilizer,sugar beet,na,native,na,lavandula dentata l.,crop,360,medium-term,ap,unknow,mg/kg,13.5,0.67082,5,10.6,0.223607,5,ph,8.3,0.000022,5,8.3,0.000022,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3.3,0.05,na,5,4.4,0.04,na,5,se,0.4,0.03,na,5,0.4,0.02,na,5,se,-0.241835684,0.000582826
333,"mengual, carmen(2014)",2014,"lat. 38	 120 n, long. 1	 130 w",enterobacter sp,bacteria,bacteria,field,bacterial suspension,water,bacteria yes,na,na,na,10000000000,10,cfu/plant,yes,soils,na,other,na,not sandy,rhizosphere,8.5,0.929419,98.5,1.993436,18.3,1.262451,0.00162,-2.790485,na,na,na,na,na,na,na,na,4.85,0.685742,350.1,2.544192,unsterilization,na,no stress,na,na,fertilizer,sugar beet,na,native,na,lavandula dentata l.,crop,360,medium-term,ap,unknow,mg/kg,13.5,0.67082,5,9.9,0.447214,5,ph,8.3,0.000022,5,8.3,0.000022,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3.3,0.05,na,5,3.6,0.03,na,5,se,0.4,0.03,na,5,1.1,0.06,na,5,se,-0.310154928,0.000901949
333,"mengual, carmen(2014)",2014,"lat. 38	 120 n, long. 1	 130 w",b. thuringiensis,bacteria,bacteria,field,bacterial suspension,water,bacteria yes,na,na,na,10000000000,10,cfu/plant,yes,soils,na,other,na,not sandy,rhizosphere,8.5,0.929419,98.5,1.993436,18.3,1.262451,0.00162,-2.790485,na,na,na,na,na,na,na,na,4.85,0.685742,350.1,2.544192,unsterilization,na,no stress,na,na,fertilizer,sugar beet,na,native,na,lavandula dentata l.,crop,360,medium-term,ap,unknow,mg/kg,13.5,0.67082,5,10.5,0.447214,5,ph,8.3,0.000022,5,8.3,0.000022,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3.3,0.05,na,5,1,0.04,na,5,se,0.4,0.03,na,5,0.1,0.01,na,5,se,-0.251314428,0.000856639
333,"mengual, carmen(2014)",2014,"lat. 38	 120 n, long. 1	 130 w",bacillus sp,bacteria,bacteria,field,bacterial suspension,water,bacteria yes,na,na,na,10000000000,10,cfu/plant,yes,soils,na,other,na,not sandy,rhizosphere,8.5,0.929419,98.5,1.993436,18.3,1.262451,0.00162,-2.790485,na,na,na,na,na,na,na,na,4.85,0.685742,350.1,2.544192,unsterilization,na,no stress,na,na,fertilizer,sugar beet,na,native,na,lavandula dentata l.,crop,360,medium-term,ap,unknow,mg/kg,13.5,0.67082,5,10.8,0.894427,5,ph,8.3,0.000022,5,8.3,0.044721,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3.3,0.05,na,5,1.8,0.04,na,5,se,0.4,0.03,na,5,0.1,0.03,na,5,se,-0.223143551,0.001865568
335,"schoebitz, mauricio(2014)",2014,"lat. 38Â° 12â² n, long. 1Â°
13â² w","azospirillum brasilense, pantoea dispersa",bacteria,bacteria,field,bacterial medium,sterilized bacterial medium,bacteria yes,"1*109cfu/g, 30g/plant",na,na,30000000000,10.47712125,cfu/plant,yes,soils,na,other,na,unknow,rhizosphere,8.8,0.944483,98.5,1.993436,10.614849,1.025914,1.62,0.209515,na,na,na,na,na,na,na,na,4.85,0.685742,350.1,2.544192,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,na,cistus albidus l.,shrub,480,long-term,ap,unknow,mg/kg,13.2,3.734234,5,17.9,3.443545,5,ph,8.4,0.044721,5,8.5,0.044721,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6.3,0.71,na,5,13,0.63,na,5,se,2.1,0.35,na,5,3,0.25,na,5,se,0.304583883,0.023407855
335,"schoebitz, mauricio(2014)",2014,"lat. 38Â° 12â² n, long. 1Â°
13â² w","azospirillum brasilense, pantoea dispersa",bacteria,bacteria,field,bacterial medium,sterilized bacterial medium,bacteria yes,"1*109cfu/g, 30g/plant",na,na,30000000000,10.47712125,cfu/plant,yes,soils,na,other,na,unknow,bulk,8.8,0.944483,98.5,1.993436,10.614849,1.025914,1.62,0.209515,na,na,na,na,na,na,na,na,4.85,0.685742,350.1,2.544192,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,na,cistus albidus l.,shrub,480,long-term,ap,unknow,mg/kg,10.2,2.750364,5,8.2,1.945379,5,ph,8.3,0.022361,5,8.4,0.022361,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6.3,0.71,na,5,13,0.63,na,5,se,2.1,0.35,na,5,3,0.25,na,5,se,-0.218253566,0.025798217
