study.id,publication,pubyear,location,microbial.name,microbial.type,inoculant.type,experimental.type,inoculum.in.tr,inoculum.in.ck,inoculum,inoculation.amount,inoculation.amount.1,soil.weight,final.inoculation.amount,log10,unit,inoculant.quantity,inoculation.location,soil.use.type,soil.origin,soil.type,sandy.or.not.sandy,extraction.part,soil.ph,log10ph,soil.tc,log10tc,soil.soc,log10soc,tn,log10tn,tp,log10tp,organic.p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application.background,stress,specific.background,rate,fertilizer,fertilizer.type,supply.rate,native,plant,plant.latin,plant.type,experimental.duration,experimental.periods,variable,methods,unit.1,xc,sc,nc,xe,se,ne,ph,xc.1,sc.1,nc.1,xe.1,se.1,ne.1,X.yield.xc,sc.2,nc.2,xe.2,se.2,ne.2,X.plant.biomass.xc,sc.3,nc.3,xe.3,se.3,ne.3,X.leaf.biomass.xc,sc.4,na,nc.4,xe.4,se.4,na.1,ne.4,sd.se,X.shoot.biomass.xc,sc.5,na.2,nc.5,xe.5,se.5,na.3,ne.5,sd.se.1,X.root.biomass.xc,sc.6,na.4,nc.6,xe.6,se.6,na.5,ne.6,sd.se.2,RR,Vi
23,"zhang, huanshi(2011)",2011,32Â°30â² n and 118Â°42â² e,mortierella sp.,psf,fungi,greenhouse,fungal suspension,sterilized fungal suspension,fungi yes,1.3*105 cfu/ml,na,0.9kg,14444445,7.15970086,cfu/kg soil,yes,soils,mix of soil and sand,other,na,sandy,rhizosphere,7.73536,0.888481,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,kostelelzkya virginica,kostelelzkya virginica,herbaceous plants,90,short-term,ap,olsen,mg/kg,2.07516,0.71506,3,2.23373,0.286031,3,ph,7.73536,0.730146,3,7.44028,0.401576,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.239915,0.008471,0.248386,3,0.248083,0.020127,0.26821,3,se,0.045343,0.003972,0.049314,3,0.051631,0.003641,0.055272,3,se,0.073634575,0.045044283
23,"zhang, huanshi(2011)",2011,32Â°30â² n and 118Â°42â² e,mortierella sp.,psf,fungi,greenhouse,fungal suspension,sterilized fungal suspension,fungi yes,1.3*105 cfu/ml,na,0.9kg,14444445,7.15970086,cfu/kg soil,yes,soils,mix of soil and sand,other,na,sandy,bulk,7.175,0.855822,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,kostelelzkya virginica,kostelelzkya virginica,herbaceous plants,90,short-term,ap,olsen,mg/kg,0.76875,0.357235,3,1.10625,0.194856,3,ph,7.175,0.223764,3,7.23648,0.111873,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.239915,0.008471,0.248386,3,0.248083,0.020127,0.26821,3,se,0.045343,0.003972,0.049314,3,0.051631,0.003641,0.055272,3,se,0.363965377,0.082322657
23,"zhang, huanshi(2011)",2011,32Â°30â² n and 118Â°42â² e,mortierella sp.,psf,fungi,greenhouse,fungal suspension,sterilized fungal suspension,fungi yes,1.3*105 cfu/ml,na,0.9kg,14444445,7.15970086,cfu/kg soil,yes,soils,mix of soil and sand,other,na,sandy,rhizosphere,7.1452,0.854014,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,stress,salt,100,no fertilizer,na,na,no native,kostelelzkya virginica,kostelelzkya virginica,herbaceous plants,90,short-term,ap,olsen,mg/kg,1.92238,0.190785,3,7.50291,0.71506,3,ph,7.1452,0.693634,3,7.25059,0.328553,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.145149,0.008478,0.153627,3,0.268786,0.027542,0.296328,3,se,0.033428,0.002979,0.036407,3,0.072482,0.006288,0.078771,3,se,1.361726944,0.006310775
23,"zhang, huanshi(2011)",2011,32Â°30â² n and 118Â°42â² e,mortierella sp.,psf,fungi,greenhouse,fungal suspension,sterilized fungal suspension,fungi yes,1.3*105 cfu/ml,na,0.9kg,14444445,7.15970086,cfu/kg soil,yes,soils,mix of soil and sand,other,na,sandy,bulk,6.38416,0.805104,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,stress,salt,100,no fertilizer,na,na,no native,kostelelzkya virginica,kostelelzkya virginica,herbaceous plants,90,short-term,ap,olsen,mg/kg,0.65625,0.097428,3,0.65625,0.129904,3,ph,6.38416,0.410271,3,6.46723,0.298346,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.145149,0.008478,0.153627,3,0.268786,0.027542,0.296328,3,se,0.033428,0.002979,0.036407,3,0.072482,0.006288,0.078771,3,se,0,0.020408223
23,"zhang, huanshi(2011)",2011,32Â°30â² n and 118Â°42â² e,mortierella sp.,psf,fungi,greenhouse,fungal suspension,sterilized fungal suspension,fungi yes,1.3*105 cfu/ml,na,0.9kg,14444445,7.15970086,cfu/kg soil,yes,soils,mix of soil and sand,other,na,sandy,rhizosphere,7.03981,0.847561,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,stress,salt,200,no fertilizer,na,na,no native,kostelelzkya virginica,kostelelzkya virginica,herbaceous plants,90,short-term,ap,olsen,mg/kg,1.08173,0.143015,3,5.23102,0.905741,3,ph,7.03981,0.474599,3,6.53396,0.657123,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.09065,0.009534,0.100183,3,0.216399,0.018008,0.234407,3,se,0.016549,0.000993,0.017541,3,0.035083,0.005296,0.040378,3,se,1.576044676,0.01581987
23,"zhang, huanshi(2011)",2011,32Â°30â² n and 118Â°42â² e,mortierella sp.,psf,fungi,greenhouse,fungal suspension,sterilized fungal suspension,fungi yes,1.3*105 cfu/ml,na,0.9kg,14444445,7.15970086,cfu/kg soil,yes,soils,mix of soil and sand,other,na,sandy,bulk,6.90677,0.839275,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,stress,salt,200,no fertilizer,na,na,no native,kostelelzkya virginica,kostelelzkya virginica,herbaceous plants,90,short-term,ap,olsen,mg/kg,0.3375,0.097428,3,1.85625,0.519615,3,ph,6.90677,0.335654,3,6.5161,0.223764,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.09065,0.009534,0.100183,3,0.216399,0.018008,0.234407,3,se,0.016549,0.000993,0.017541,3,0.035083,0.005296,0.040378,3,se,1.704748092,0.053897618
23,"zhang, huanshi(2011)",2011,32Â°30â² n and 118Â°42â² e,mortierella sp.,psf,fungi,greenhouse,fungal suspension,sterilized fungal suspension,fungi yes,1.3*105 cfu/ml,na,0.9kg,14444445,7.15970086,cfu/kg soil,yes,soils,mix of soil and sand,other,na,sandy,rhizosphere,6.89227,0.838362,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,stress,salt,300,no fertilizer,na,na,no native,kostelelzkya virginica,kostelelzkya virginica,herbaceous plants,90,short-term,ap,olsen,mg/kg,0.708772,0.095341,3,3.81227,0.428925,3,ph,6.89227,0.657123,3,6.53396,0.803152,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.062624,0.004237,0.066861,3,0.190498,0.010593,0.201091,3,se,0.012246,0.001986,0.014232,3,0.031442,0.004303,0.035745,3,se,1.682446196,0.010251124
23,"zhang, huanshi(2011)",2011,32Â°30â² n and 118Â°42â² e,mortierella sp.,psf,fungi,greenhouse,fungal suspension,sterilized fungal suspension,fungi yes,1.3*105 cfu/ml,na,0.9kg,14444445,7.15970086,cfu/kg soil,yes,soils,mix of soil and sand,other,na,sandy,bulk,7.94608,0.900153,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,stress,salt,300,no fertilizer,na,na,no native,kostelelzkya virginica,kostelelzkya virginica,herbaceous plants,90,short-term,ap,olsen,mg/kg,0.3,0.032476,3,2.45625,0.227332,3,ph,7.94608,0.298398,3,7.01719,0.223746,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.062624,0.004237,0.066861,3,0.190498,0.010593,0.201091,3,se,0.012246,0.001986,0.014232,3,0.031442,0.004303,0.035745,3,se,2.102608601,0.006761581
101,"lÃ¼, yang(2024)",2024,na,serendipita indica,endophytic fungus,fungi,greenhouse,fungal suspension,sterilized fungal suspension,fungi yes,"2.72*109 cfu/ml, 1l/pot ",na,13,2.09E+11,11.32014629,cfu/kg soil,yes,soils,na,other,na,unknow,bulk,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,tangor citrus,na,tree,730,long-term,ap,olsen,mg/kg,204.809,10.874,4,451.531,58.32,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.790566193,0.00487534
182,"feng, qijia(2023)",2023,na,fusarium equiseti z7,pgpf,fungi,greenhouse,bacterial suspension,water,bacteria yes,"1*106cfu/ml, 20ml/pot",na,1,20000000,7.301029996,cfu/kg soil,yes,soils,na,other,na,unknow,rhizosphere,7.95,0.900367,na,na,1.803944,0.256223,0.44,-0.356547,0.47,-0.327902,na,na,2.74,0.437751,34.65,1.539703,6.17,0.790285,150.09,2.176352,unsterilization,na,no stress,na,na,no fertilizer,na,na,native,ryegrass,na,herbaceous plants,56,short-term,ap,unknow,mg/kg,3.99,0.9,3,8.74,1.38,3,ph,7.95,0.01,3,7.96,0.02,3,na,na,na,na,na,na,0.266636,0.025813,3,0.422883,0.081007,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.784118959,0.025269942
