study.id,publication,pubyear,location,microbial.name,microbial.type,inoculant.type,experimental.type,inoculum.in.tr,inoculum.in.ck,inoculum,inoculation.amount,inoculation.amount.1,soil.weight,final.inoculation.amount,log10,unit,inoculant.quantity,inoculation.location,soil.use.type,soil.origin,soil.type,sandy.or.not.sandy,extraction.part,soil.ph,log10ph,soil.tc,log10tc,soil.soc,log10soc,tn,log10tn,tp,log10tp,organic.p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application.background,stress,specific.background,rate,fertilizer,fertilizer.type,supply.rate,native,plant,plant.latin,plant.type,experimental.duration,experimental.periods,variable,methods,unit.1,xc,sc,nc,xe,se,ne,ph,xc.1,sc.1,nc.1,xe.1,se.1,ne.1,X.yield.xc,sc.2,nc.2,xe.2,se.2,ne.2,X.plant.biomass.xc,sc.3,nc.3,xe.3,se.3,ne.3,X.leaf.biomass.xc,sc.4,na,nc.4,xe.4,se.4,na.1,ne.4,sd.se,X.shoot.biomass.xc,sc.5,na.2,nc.5,xe.5,se.5,na.3,ne.5,sd.se.1,X.root.biomass.xc,sc.6,na.4,nc.6,xe.6,se.6,na.5,ne.6,sd.se.2,RR,Vi
224,"brazhnikova, yelena v.(2022)",2022,43Â° 27â² n 77Â° 34â² e,penicillium bilaiae pb14,fungi,fungi,greenhouse,fungal suspension,water,fungi yes,"1*107 spore/ml, 1ml/seed",na,0.3,10000000,7,spores/seed,yes,seeds,na,other,na,unknow,bulk,na,na,26.5,1.423246,na,na,1.8,0.255273,1.7,0.230449,na,na,na,na,na,na,12.2,1.08636,535.3,2.728597,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,barley,na,crop,10,short-term,ap,olsen,mg/kg,12.5,0.4,5,14.8,0.6,5,ph,8.4,0.2,5,7.9,0.1,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.168898536,0.000533507
224,"brazhnikova, yelena v.(2022)",2022,43Â° 27â² n 77Â° 34â² e,p. bilaiae c11,fungi,fungi,greenhouse,fungal suspension,water,fungi yes,"1*107 spore/ml, 1ml/seed",na,0.3,10000000,7,spores/seed,yes,seeds,na,other,na,unknow,bulk,na,na,26.5,1.423246,na,na,1.8,0.255273,1.7,0.230449,na,na,na,na,na,na,12.2,1.08636,535.3,2.728597,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,barley,na,crop,10,short-term,ap,olsen,mg/kg,12.5,0.4,5,13.9,0.4,5,ph,8.4,0.2,5,8.2,0.1,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.106160196,0.000370423
224,"brazhnikova, yelena v.(2022)",2022,43Â° 27â² n 77Â° 34â² e,p. rubens ef5,fungi,fungi,greenhouse,fungal suspension,water,fungi yes,"1*107 spore/ml, 1ml/seed",na,0.3,10000000,7,spores/seed,yes,seeds,na,other,na,unknow,bulk,na,na,26.5,1.423246,na,na,1.8,0.255273,1.7,0.230449,na,na,na,na,na,na,12.2,1.08636,535.3,2.728597,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,barley,na,crop,10,short-term,ap,olsen,mg/kg,12.5,0.4,5,13.4,0.6,5,ph,8.4,0.2,5,8.1,0.2,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.069526063,0.00060578
224,"brazhnikova, yelena v.(2022)",2022,43Â° 27â² n 77Â° 34â² e,talaromyces pinophilus t14,fungi,fungi,greenhouse,fungal suspension,water,fungi yes,"1*107 spore/ml, 1ml/seed",na,0.3,10000000,7,spores/seed,yes,seeds,na,other,na,unknow,bulk,na,na,26.5,1.423246,na,na,1.8,0.255273,1.7,0.230449,na,na,na,na,na,na,12.2,1.08636,535.3,2.728597,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,barley,na,crop,10,short-term,ap,olsen,mg/kg,12.5,0.4,5,13.8,0.2,5,ph,8.4,0.2,5,8.4,0.2,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.098939948,0.000246808
224,"brazhnikova, yelena v.(2022)",2022,43Â° 27â² n 77Â° 34â² e,aspergillus sp. d1,fungi,fungi,greenhouse,fungal suspension,water,fungi yes,"1*107 spore/ml, 1ml/seed",na,0.3,10000000,7,spores/seed,yes,seeds,na,other,na,unknow,bulk,na,na,26.5,1.423246,na,na,1.8,0.255273,1.7,0.230449,na,na,na,na,na,na,12.2,1.08636,535.3,2.728597,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,barley,na,crop,10,short-term,ap,olsen,mg/kg,12.5,0.4,5,14.5,0.5,5,ph,8.4,0.2,5,7.9,0.2,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.148420005,0.000442612
224,"brazhnikova, yelena v.(2022)",2022,43Â° 27â² n 77Â° 34â² e,penicillium bilaiae pb14,fungi,fungi,greenhouse,fungal suspension,water,fungi yes,"1*107 spore/ml, 1ml/seed",na,0.3,10000000,7,spores/seed,yes,seeds,na,other,na,unknow,bulk,na,na,26.5,1.423246,na,na,1.8,0.255273,1.7,0.230449,na,na,na,na,na,na,12.2,1.08636,535.3,2.728597,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,barley,na,crop,10,short-term,ap,olsen,mg/kg,12.2,0.3,5,15.4,0.6,5,ph,8.4,0.2,5,7.7,0.1,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.232931558,0.000424528
224,"brazhnikova, yelena v.(2022)",2022,43Â° 27â² n 77Â° 34â² e,p. bilaiae c11,fungi,fungi,greenhouse,fungal suspension,water,fungi yes,"1*107 spore/ml, 1ml/seed",na,0.3,10000000,7,spores/seed,yes,seeds,na,other,na,unknow,bulk,na,na,26.5,1.423246,na,na,1.8,0.255273,1.7,0.230449,na,na,na,na,na,na,12.2,1.08636,535.3,2.728597,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,barley,na,crop,10,short-term,ap,olsen,mg/kg,12.2,0.3,5,14.1,0.4,5,ph,8.4,0.2,5,8.9,0.2,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.144738846,0.000281893
224,"brazhnikova, yelena v.(2022)",2022,43Â° 27â² n 77Â° 34â² e,p. rubens ef5,fungi,fungi,greenhouse,fungal suspension,water,fungi yes,"1*107 spore/ml, 1ml/seed",na,0.3,10000000,7,spores/seed,yes,seeds,na,other,na,unknow,bulk,na,na,26.5,1.423246,na,na,1.8,0.255273,1.7,0.230449,na,na,na,na,na,na,12.2,1.08636,535.3,2.728597,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,barley,na,crop,10,short-term,ap,olsen,mg/kg,12.2,0.3,5,13.8,0.6,5,ph,8.4,0.2,5,8.1,0.3,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.12323264,0.000499007
224,"brazhnikova, yelena v.(2022)",2022,43Â° 27â² n 77Â° 34â² e,talaromyces pinophilus t14,fungi,fungi,greenhouse,fungal suspension,water,fungi yes,"1*107 spore/ml, 1ml/seed",na,0.3,10000000,7,spores/seed,yes,seeds,na,other,na,unknow,bulk,na,na,26.5,1.423246,na,na,1.8,0.255273,1.7,0.230449,na,na,na,na,na,na,12.2,1.08636,535.3,2.728597,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,barley,na,crop,10,short-term,ap,olsen,mg/kg,12.2,0.3,5,14.7,0.2,5,ph,8.4,0.2,5,8.3,0.2,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.186411542,0.000157957
224,"brazhnikova, yelena v.(2022)",2022,43Â° 27â² n 77Â° 34â² e,aspergillus sp. d1,fungi,fungi,greenhouse,fungal suspension,water,fungi yes,"1*107 spore/ml, 1ml/seed",na,0.3,10000000,7,spores/seed,yes,seeds,na,other,na,unknow,bulk,na,na,26.5,1.423246,na,na,1.8,0.255273,1.7,0.230449,na,na,na,na,na,na,12.2,1.08636,535.3,2.728597,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,barley,na,crop,10,short-term,ap,olsen,mg/kg,12.2,0.3,5,15.6,0.2,5,ph,8.4,0.2,5,7.7,0.3,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.245834963,0.000153808
