study.id,publication,pubyear,location,microbial.name,microbial.type,inoculant.type,experimental.type,inoculum.in.tr,inoculum.in.ck,inoculum,inoculation.amount,inoculation.amount.1,soil.weight,final.inoculation.amount,log10,unit,inoculant.quantity,inoculation.location,soil.use.type,soil.origin,soil.type,sandy.or.not.sandy,extraction.part,soil.ph,log10ph,soil.tc,log10tc,soil.soc,log10soc,tn,log10tn,tp,log10tp,organic.p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application.background,stress,specific.background,rate,fertilizer,fertilizer.type,supply.rate,native,plant,plant.latin,plant.type,experimental.duration,experimental.periods,variable,methods,unit.1,xc,sc,nc,xe,se,ne,ph,xc.1,sc.1,nc.1,xe.1,se.1,ne.1,X.yield.xc,sc.2,nc.2,xe.2,se.2,ne.2,X.plant.biomass.xc,sc.3,nc.3,xe.3,se.3,ne.3,X.leaf.biomass.xc,sc.4,na,nc.4,xe.4,se.4,na.1,ne.4,sd.se,X.shoot.biomass.xc,sc.5,na.2,nc.5,xe.5,se.5,na.3,ne.5,sd.se.1,X.root.biomass.xc,sc.6,na.4,nc.6,xe.6,se.6,na.5,ne.6,sd.se.2,RR,Vi
2,li haiyun(2020),2020,na,"helminthosporium tritici-vulgaris, alternaria solani, fusarium oxysporum, sclerotinias clerotiorum",pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,na,na,0.5kg,na,na,na,no,soils,na,other,sierozem,unknow,rhizosphere,8.28,0.91803,na,na,26.310905,1.420136,45.36,1.656673,0.36,-0.443697,na,na,42.29,1.626238,86.48,1.936916,11.25,1.051153,129.7,2.11294,sterilization,na,no stress,na,na,no fertilizer,na,na,unknow,oat,avena sativa,herbaceous plants,45,short-term,ap,olsen,mg/kg,9.82906,0.94017,6,14.9573,0.6837,6,ph,8.0451,0.02436,6,8.0378,0.01576,6,na,na,na,na,na,na,0.216176,0.030883,6,0.988235,0.041175,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.419856171,0.001873122
2,li haiyun(2020),2020,na,"helminthosporium tritici-vulgaris, alternaria solani, fusarium oxysporum, sclerotinias clerotiorum",pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,na,na,0.5kg,na,na,na,no,soils,na,other,sierozem,unknow,rhizosphere,8.28,0.91803,na,na,26.310905,1.420136,45.36,1.656673,0.36,-0.443697,na,na,42.29,1.626238,86.48,1.936916,11.25,1.051153,129.7,2.11294,sterilization,na,no stress,na,na,no fertilizer,na,na,unknow,alfalfa,medicago sativa,herbaceous plants,45,short-term,ap,olsen,mg/kg,17.265,1.7094,6,19.7436,1.0256,6,ph,8.06468,0.02436,6,7.90982,0.01719,6,na,na,na,na,na,na,0.185294,0.030882,6,0.360284,0.051471,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.134148057,0.002083546
2,li haiyun(2020),2020,na,"helminthosporium tritici-vulgaris, alternaria solani, fusarium oxysporum, sclerotinias clerotiorum",pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,na,na,0.5kg,na,na,na,no,soils,na,other,sierozem,unknow,rhizosphere,8.28,0.91803,na,na,26.310905,1.420136,45.36,1.656673,0.36,-0.443697,na,na,42.29,1.626238,86.48,1.936916,11.25,1.051153,129.7,2.11294,sterilization,na,no stress,na,na,no fertilizer,na,na,unknow,cucumberÂ ,cucumis sativus,herbaceous plants,45,short-term,ap,olsen,mg/kg,9.82906,1.11114,6,20.8547,1.1111,6,ph,7.94386,0.01576,6,7.89358,0.01862,6,na,na,na,na,na,na,0.586765,0.154411,6,1.51324,0.22647,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.752236039,0.002603009
4,bi yinli(2018),2018,loess plateau in northern shaanxi and the mu us desert.,funneliformis mosseae,amf,amf,field,amf,no-inoculation,amf inoculum yes,50g/per plant,50g/per plant,field,na,na,na,no,roots,na,other,sandy,sandy,rhizosphere,7.11857,0.852393,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,mine,no stress,na,na,no fertilizer,na,na,no native,long-stalked almond,amygdalus pedunculata pall.,shrub,365,medium-term,ap,olsen,mg/kg,2.40741,0.07407,10,4,0.18519,10,ph,7.11857,0.02247,10,7.06686,0.03146,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.50774288,0.00030901
4,bi yinli(2018),2018,loess plateau in northern shaanxi and the mu us desert.,rhizophagus intraradices,amf,amf,field,amf,no-inoculation,amf inoculum yes,50g/per plant,50g/per plant,field,na,na,na,no,roots,na,other,sandy,sandy,rhizosphere,7.11857,0.852393,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,mine,no stress,na,na,no fertilizer,na,na,no native,long-stalked almond,amygdalus pedunculata pall.,shrub,365,medium-term,ap,olsen,mg/kg,2.40741,0.07407,10,3.7037,0.07408,10,ph,7.11857,0.02247,10,7.36685,0.04944,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.430780839,0.00013467
4,bi yinli(2018),2018,loess plateau in northern shaanxi and the mu us desert.,"funneliformis mosseae, rhizophagus intraradices",amf,amf,field,amf,no-inoculation,amf inoculum yes,50g/per plant,50g/per plant,field,na,na,na,no,roots,na,other,sandy,sandy,rhizosphere,7.11857,0.852393,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,mine,no stress,na,na,no fertilizer,na,na,no native,long-stalked almond,amygdalus pedunculata pall.,shrub,365,medium-term,ap,olsen,mg/kg,2.40741,0.07407,10,3.81481,0.0926,10,ph,7.11857,0.02247,10,7.23878,0.02247,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.460339379,0.000153586
9,"liu, q.(2007)",2007,na,suillus luteus (l. ex. fr.) s. f. gray,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",na,0.5kg,40000000,7.602059991,spores/seeding,yes,seedings,forest,forest,andosol,unknow,bulk,5.8,0.763428,na,na,na,na,na,na,0.205,-0.688246,na,na,na,na,na,na,0.9,-0.045757,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,native,pinus radiata,pinus radiata d. don,tree,300,medium-term,ap,resin,ug/g,0.76,0.1,5,0.59,0.2,5,ph,4.99,0.02,5,4.93,0.05,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2.3,0.04,na,5,2.1,0.05,na,5,sd,1,0.01,na,5,1.1,0.05,na,5,sd,-0.253195896,0.026444506
9,"liu, q.(2007)",2007,na,suillus luteus (l. ex. fr.) s. f. gray,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",na,0.5kg,40000000,7.602059991,spores/seeding,yes,seedings,forest,forest,andosol,unknow,rhizosphere,5.8,0.763428,na,na,na,na,na,na,0.205,-0.688246,na,na,na,na,na,na,0.9,-0.045757,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,native,pinus radiata,pinus radiata d. don,tree,300,medium-term,ap,resin,ug/g,0.62,0.1,5,0.55,0.1,5,ph,5.09,0.101,5,5.17,0.01,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2.3,0.04,na,5,2.1,0.05,na,5,sd,1,0.01,na,5,1.1,0.05,na,5,sd,-0.1198012,0.011814484
9,"liu, q.(2007)",2007,na,rhizopogon rubescens tul.,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",na,0.5kg,40000000,7.602059991,spores/seeding,yes,seedings,forest,forest,andosol,unknow,bulk,5.8,0.763428,na,na,na,na,na,na,0.205,-0.688246,na,na,na,na,na,na,0.9,-0.045757,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,native,pinus radiata,pinus radiata d. don,tree,300,medium-term,ap,resin,ug/g,0.76,0.1,5,0.6,0.1,5,ph,4.99,0.02,5,4.95,0.03,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2.3,0.04,na,5,2.2,0.04,na,5,sd,1,0.01,na,5,1.2,0.04,na,5,sd,-0.236388778,0.009018159
9,"liu, q.(2007)",2007,na,rhizopogon rubescens tul.,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",na,0.5kg,40000000,7.602059991,spores/seeding,yes,seedings,forest,forest,andosol,unknow,rhizosphere,5.8,0.763428,na,na,na,na,na,na,0.205,-0.688246,na,na,na,na,na,na,0.9,-0.045757,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,native,pinus radiata,pinus radiata d. don,tree,300,medium-term,ap,resin,ug/g,0.62,0.1,5,0.68,0.3,5,ph,5.09,0.101,5,5.12,0.07,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2.3,0.04,na,5,2.2,0.04,na,5,sd,1,0.01,na,5,1.2,0.04,na,5,sd,0.09237332,0.044130249
