study id,publication,pubyear,location,Latitude,Longitude,microbial name,microbial type,inoculant type,experimental type,inoculum in tr,inoculum in ck,inoculum,inoculation amount,inoculation amount,soil weight,final inoculation amount,log10,unit,inoculant quantity ,inoculation location,soil use type,soil origin,soil type,sandy or not sandy,extraction part,soil ph,log10ph,soil tc,log10tc,soil soc,log10soc,tn,log10tn,tp,log10tp,organic p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application background,stress,specific background,rate,fertilizer,fertilizer type,supply rate,native,plant,plant latin,plant type,experimental duration,experimental.periods,variable,methods,unit,xc,sc,nc,xe,se,ne,ph,xc,xe,RRpH,yield,xc,xe,RRyield,plant biomass,xc,xe,RRbiomass,leaf biomass,xc,xe,RRleaf_biomass,shoot biomass,xc,xe,RRshoot_biomass,root biomass,xc,xe,RRroot_biomass,plant_p_leaf,xc,xe,RR_pleaf,plant_p_grain,xc,xe,RR_pgrain,plant_p_shoot,xc,xe,RR_pshoot,plant_p_root,xc,xe,RR_proot,plant_p,xc,xe,RR_pplant
2.000000 ,li haiyun(2020),2020.000000 ,na,36.062000 ,103.694000 ,"helminthosporium tritici-vulgaris, alternaria solani, fusarium oxysporum, sclerotinias clerotiorum",pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,na,na,0.5kg,na,na,na,no,soils,na,other,sierozem,unknow,rhizosphere,8.28,0.918030 ,na,na,26.310905 ,1.420136 ,na,na,0.36,(0.443697),na,na,42.29,1.626238 ,86.480000 ,1.936916 ,11.25,1.051153 ,129.7,2.112940 ,sterilization,na,no stress,na,na,no fertilizer,na,na,unknow,oat,avena sativa,herbaceous plants,45.000000 ,Short-term,ap,olsen,mg/kg,9.829060 ,0.940170 ,6.000000 ,14.957300 ,0.683700 ,6.000000 ,ph,8.045100 ,8.037800 ,(0.000908),na,na,na,#VALUE!,na,0.216176 ,0.988235 ,1.519828 ,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!
2.000000 ,li haiyun(2020),2020.000000 ,na,36.062000 ,103.694000 ,"helminthosporium tritici-vulgaris, alternaria solani, fusarium oxysporum, sclerotinias clerotiorum",pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,na,na,0.5kg,na,na,na,no,soils,na,other,sierozem,unknow,rhizosphere,8.28,0.918030 ,na,na,26.310905 ,1.420136 ,na,na,0.36,(0.443697),na,na,42.29,1.626238 ,86.480000 ,1.936916 ,11.25,1.051153 ,129.7,2.112940 ,sterilization,na,no stress,na,na,no fertilizer,na,na,unknow,alfalfa,medicago sativa,herbaceous plants,45.000000 ,Short-term,ap,olsen,mg/kg,17.265000 ,1.709400 ,6.000000 ,19.743600 ,1.025600 ,6.000000 ,ph,8.064680 ,7.909820 ,(0.019389),na,na,na,#VALUE!,na,0.185294 ,0.360284 ,0.664949 ,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!
2.000000 ,li haiyun(2020),2020.000000 ,na,36.062000 ,103.694000 ,"helminthosporium tritici-vulgaris, alternaria solani, fusarium oxysporum, sclerotinias clerotiorum",pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,na,na,0.5kg,na,na,na,no,soils,na,other,sierozem,unknow,rhizosphere,8.28,0.918030 ,na,na,26.310905 ,1.420136 ,na,na,0.36,(0.443697),na,na,42.29,1.626238 ,86.480000 ,1.936916 ,11.25,1.051153 ,129.7,2.112940 ,sterilization,na,no stress,na,na,no fertilizer,na,na,unknow,cucumber ,cucumis sativus,herbaceous plants,45.000000 ,Short-term,ap,olsen,mg/kg,9.829060 ,1.111140 ,6.000000 ,20.854700 ,1.111100 ,6.000000 ,ph,7.943860 ,7.893580 ,(0.006350),na,na,na,#VALUE!,na,0.586765 ,1.513240 ,0.947384 ,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!
4.000000 ,bi yinli(2018),2018.000000 ,loess plateau in northern shaanxi and the mu us desert.,37.458333 ,107.333333 ,funneliformis mosseae,amf,amf,field,amf,no-inoculation,amf inoculum yes,50g/per plant,50g/per plant,field,na,na,na,no,roots,na,other,sandy,sandy,rhizosphere,7.118570 ,0.852393 ,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,mine,no stress,na,na,no fertilizer,na,na,no native,long-stalked almond,amygdalus pedunculata pall.,shrub,365.000000 ,Medium-term,ap,olsen,mg/kg,2.407410 ,0.074070 ,10.000000 ,4.000000 ,0.185190 ,10.000000 ,ph,7.118570 ,7.066860 ,(0.007291),na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!
4.000000 ,bi yinli(2018),2018.000000 ,loess plateau in northern shaanxi and the mu us desert.,37.458333 ,107.333333 ,rhizophagus intraradices,amf,amf,field,amf,no-inoculation,amf inoculum yes,50g/per plant,50g/per plant,field,na,na,na,no,roots,na,other,sandy,sandy,rhizosphere,7.118570 ,0.852393 ,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,mine,no stress,na,na,no fertilizer,na,na,no native,long-stalked almond,amygdalus pedunculata pall.,shrub,365.000000 ,Medium-term,ap,olsen,mg/kg,2.407410 ,0.074070 ,10.000000 ,3.703700 ,0.074080 ,10.000000 ,ph,7.118570 ,7.366850 ,0.034283 ,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!
4.000000 ,bi yinli(2018),2018.000000 ,loess plateau in northern shaanxi and the mu us desert.,37.458333 ,107.333333 ,"funneliformis mosseae, rhizophagus intraradices",amf,amf,field,amf,no-inoculation,amf inoculum yes,50g/per plant,50g/per plant,field,na,na,na,no,roots,na,other,sandy,sandy,rhizosphere,7.118570 ,0.852393 ,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,mine,no stress,na,na,no fertilizer,na,na,no native,long-stalked almond,amygdalus pedunculata pall.,shrub,365.000000 ,Medium-term,ap,olsen,mg/kg,2.407410 ,0.074070 ,10.000000 ,3.814810 ,0.092600 ,10.000000 ,ph,7.118570 ,7.238780 ,0.016746 ,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!
8.000000 ,"yu, lu(2022)",2022.000000 ,na,53.317344 ,13.863342 ,funneliformis mosseae,amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum,amf yes,"129 spores/g, 30g/pot",na,2l,1935.000000 ,3.286681 ,spores/l soil,yes,soils,na,other,clay loam,not sandy,unknow,8.200000 ,0.913814 ,34.300000 ,1.535294 ,na,na,2.100000 ,0.322219 ,0.430000 ,(0.366532),na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,nodding wildrye,elymus nutans griseb,herbaceous plants,na,na,ap,olsen,g/kg,2.260000 ,0.440908 ,6.000000 ,2.210000 ,0.318434 ,6.000000 ,ph,8.200000 ,8.370000 ,0.020520 ,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!
8.000000 ,"yu, lu(2022)",2022.000000 ,na,53.317344 ,13.863342 ,bacillus megaterium,pgpr,bacteria,greenhouse,bacterial suspension,sterilized bacterial suspension ,bacteria yes,"1*109cfu/ml, 25ml/pot",na,2l,na,na,na,no,seeds+seedings,na,other,clay loam,not sandy,unknow,8.200000 ,0.913814 ,34.300000 ,1.535294 ,na,na,2.100000 ,0.322219 ,0.430000 ,(0.366532),na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,nodding wildrye,elymus nutans griseb,herbaceous plants,na,na,ap,olsen,g/kg,2.260000 ,0.440908 ,6.000000 ,2.120000 ,0.244949 ,6.000000 ,ph,8.200000 ,8.430000 ,0.027663 ,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!
8.000000 ,"yu, lu(2022)",2022.000000 ,na,53.317344 ,13.863342 ,"funneliformis mosseae, bacillus megaterium",mix,mix,greenhouse,mix inoculum,sterilized mix inoculum ,mix yes,"129 spores/g, 30g/pot;1*109cfu/ml, 25ml/pot",na,2l,na,na,na,no,soil+seeds+seeding,na,other,clay loam,not sandy,unknow,8.200000 ,0.913814 ,34.300000 ,1.535294 ,na,na,2.100000 ,0.322219 ,0.430000 ,(0.366532),na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,nodding wildrye,elymus nutans griseb,herbaceous plants,na,na,ap,olsen,g/kg,2.260000 ,0.440908 ,6.000000 ,2.850000 ,1.126765 ,6.000000 ,ph,8.200000 ,8.450000 ,0.030032 ,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!
9.000000 ,"liu, q.(2007)",2007.000000 ,na,−38.1420,176.251000 ,suillus luteus (l. ex. fr.) s. f. gray,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",na,0.5kg,40000000.000000 ,7.602060 ,spores/seeding,yes,seedings,forest,forest,andosol,unknow,bulk,5.800000 ,0.763428 ,na,na,na,na,na,na,0.205000 ,(0.688246),na,na,na,na,na,na,0.900000 ,(0.045757),na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,native,pinus radiata,pinus radiata d. don,tree,300.000000 ,Medium-term,ap,resin,ug/g,0.760000 ,0.100000 ,5.000000 ,0.590000 ,0.200000 ,5.000000 ,ph,4.990000 ,4.930000 ,(0.012097),na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,2.300000 ,2.100000 ,(0.090972),na,1.000000 ,1.100000 ,0.095310 ,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!
