study.id,publication,pubyear,location,Latitude,Longitude,microbial.NAme,microbial.type,inoculant.type,experimental.type,inoculum.in.tr,inoculum.in.ck,inoculum,inoculation.amount,inoculation.amount.1,soil.weight,fiNAl.inoculation.amount,log10,unit,inoculant.quantity,inoculation.location,soil.use.type,soil.origin,soil.type,sandy.or.not.sandy,extraction.part,soil.ph,log10ph,soil.tc,log10tc,soil.soc,log10soc,tn,log10tn,tp,log10tp,organic.p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application.background,stress,specific.background,rate,fertilizer,fertilizer.type,supply.rate,NAtive,plant,plant.latin,plant.type,experimental.duration,experimental.periods,variable,methods,unit.1,xc,sc,nc,xe,se,ne,ph,xc.1,xe.1,RRpH,yield,xc.2,xe.2,RRyield,plant.biomass,xc.3,xe.3,RRbiomass,leaf.biomass,xc.4,xe.4,RRleaf_biomass,shoot.biomass,xc.5,xe.5,RRshoot_biomass,root.biomass,xc.6,xe.6,RRroot_biomass,plant_p_leaf,xc.7,xe.7,RR_pleaf,plant_p_grain,xc.8,xe.8,RR_pgrain,plant_p_shoot,xc.9,xe.9,RR_pshoot,plant_p_root,xc.10,xe.10,RR_proot,plant_p,xc.11,xe.11,RR_pplant,RR,Vi
2,li haiyun(2020),2020,NA,36.062,103.694,"helminthosporium tritici-vulgaris, alterNAria solani, fusarium oxysporum, sclerotinias clerotiorum",pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,NA,NA,0.5kg,NA,NA,NA,no,soils,NA,other,sierozem,unknow,rhizosphere,8.28,0.91803,NA,NA,26.310905,1.420136,NA,NA,0.36,-0.443697,NA,NA,42.29,1.626238,86.48,1.936916,11.25,1.051153,129.7,2.11294,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,oat,aveNA sativa,herbaceous plants,45,Short-term,ap,olsen,mg/kg,9.82906,0.94017,6,14.9573,0.6837,6,ph,8.0451,8.0378,-0.000908,NA,NA,NA,NA,NA,0.216176,0.988235,1.519828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.419856171,0.001873122
2,li haiyun(2020),2020,NA,36.062,103.694,"helminthosporium tritici-vulgaris, alterNAria solani, fusarium oxysporum, sclerotinias clerotiorum",pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,NA,NA,0.5kg,NA,NA,NA,no,soils,NA,other,sierozem,unknow,rhizosphere,8.28,0.91803,NA,NA,26.310905,1.420136,NA,NA,0.36,-0.443697,NA,NA,42.29,1.626238,86.48,1.936916,11.25,1.051153,129.7,2.11294,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,alfalfa,medicago sativa,herbaceous plants,45,Short-term,ap,olsen,mg/kg,17.265,1.7094,6,19.7436,1.0256,6,ph,8.06468,7.90982,-0.019389,NA,NA,NA,NA,NA,0.185294,0.360284,0.664949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.134148057,0.002083546
2,li haiyun(2020),2020,NA,36.062,103.694,"helminthosporium tritici-vulgaris, alterNAria solani, fusarium oxysporum, sclerotinias clerotiorum",pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,NA,NA,0.5kg,NA,NA,NA,no,soils,NA,other,sierozem,unknow,rhizosphere,8.28,0.91803,NA,NA,26.310905,1.420136,NA,NA,0.36,-0.443697,NA,NA,42.29,1.626238,86.48,1.936916,11.25,1.051153,129.7,2.11294,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,cucumberÂ ,cucumis sativus,herbaceous plants,45,Short-term,ap,olsen,mg/kg,9.82906,1.11114,6,20.8547,1.1111,6,ph,7.94386,7.89358,-0.00635,NA,NA,NA,NA,NA,0.586765,1.51324,0.947384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.752236039,0.002603009
4,bi yinli(2018),2018,loess plateau in northern shaanxi and the mu us desert.,37.458333,107.333333,funneliformis mosseae,amf,amf,field,amf,no-inoculation,amf inoculum yes,50g/per plant,50g/per plant,field,NA,NA,NA,no,roots,NA,other,sandy,sandy,rhizosphere,7.11857,0.852393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,mine,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,long-stalked almond,amygdalus pedunculata pall.,shrub,365,Medium-term,ap,olsen,mg/kg,2.40741,0.07407,10,4,0.18519,10,ph,7.11857,7.06686,-0.007291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.50774288,0.00030901
4,bi yinli(2018),2018,loess plateau in northern shaanxi and the mu us desert.,37.458333,107.333333,rhizophagus intraradices,amf,amf,field,amf,no-inoculation,amf inoculum yes,50g/per plant,50g/per plant,field,NA,NA,NA,no,roots,NA,other,sandy,sandy,rhizosphere,7.11857,0.852393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,mine,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,long-stalked almond,amygdalus pedunculata pall.,shrub,365,Medium-term,ap,olsen,mg/kg,2.40741,0.07407,10,3.7037,0.07408,10,ph,7.11857,7.36685,0.034283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.430780839,0.00013467
4,bi yinli(2018),2018,loess plateau in northern shaanxi and the mu us desert.,37.458333,107.333333,"funneliformis mosseae, rhizophagus intraradices",amf,amf,field,amf,no-inoculation,amf inoculum yes,50g/per plant,50g/per plant,field,NA,NA,NA,no,roots,NA,other,sandy,sandy,rhizosphere,7.11857,0.852393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,mine,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,long-stalked almond,amygdalus pedunculata pall.,shrub,365,Medium-term,ap,olsen,mg/kg,2.40741,0.07407,10,3.81481,0.0926,10,ph,7.11857,7.23878,0.016746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.460339379,0.000153586
8,"yu, lu(2022)",2022,NA,53.317344,13.863342,funneliformis mosseae,amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum,amf yes,"129 spores/g, 30g/pot",NA,2l,1935,3.286681,spores/l soil,yes,soils,NA,other,clay loam,not sandy,unknow,8.2,0.913814,34.3,1.535294,NA,NA,2.1,0.322219,0.43,-0.366532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,nodding wildrye,elymus nutans griseb,herbaceous plants,NA,NA,ap,olsen,g/kg,2.26,0.440908,6,2.21,0.318434,6,ph,8.2,8.37,0.02052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.022372298,0.009803699
8,"yu, lu(2022)",2022,NA,53.317344,13.863342,bacillus megaterium,pgpr,bacteria,greenhouse,bacterial suspension,sterilized bacterial suspension ,bacteria yes,"1*109cfu/ml, 25ml/pot",NA,2l,NA,NA,NA,no,seeds+seedings,NA,other,clay loam,not sandy,unknow,8.2,0.913814,34.3,1.535294,NA,NA,2.1,0.322219,0.43,-0.366532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,nodding wildrye,elymus nutans griseb,herbaceous plants,NA,NA,ap,olsen,g/kg,2.26,0.440908,6,2.12,0.244949,6,ph,8.2,8.43,0.027663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.063948725,0.008568475
8,"yu, lu(2022)",2022,NA,53.317344,13.863342,"funneliformis mosseae, bacillus megaterium",mix,mix,greenhouse,mix inoculum,sterilized mix inoculum ,mix yes,"129 spores/g, 30g/pot;1*109cfu/ml, 25ml/pot",NA,2l,NA,NA,NA,no,soil+seeds+seeding,NA,other,clay loam,not sandy,unknow,8.2,0.913814,34.3,1.535294,NA,NA,2.1,0.322219,0.43,-0.366532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,nodding wildrye,elymus nutans griseb,herbaceous plants,NA,NA,ap,olsen,g/kg,2.26,0.440908,6,2.85,1.126765,6,ph,8.2,8.45,0.030032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.231954181,0.032394563
9,"liu, q.(2007)",2007,NA,â38.1420,176.251,suillus luteus (l. ex. fr.) s. f. gray,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",NA,0.5kg,40000000,7.60206,spores/seeding,yes,seedings,forest,forest,andosol,unknow,bulk,5.8,0.763428,NA,NA,NA,NA,NA,NA,0.205,-0.688246,NA,NA,NA,NA,NA,NA,0.9,-0.045757,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,pinus radiata,pinus radiata d. don,tree,300,Medium-term,ap,resin,ug/g,0.76,0.1,5,0.59,0.2,5,ph,4.99,4.93,-0.012097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.1,-0.090972,NA,1,1.1,0.09531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.253195896,0.026444506
