study id,publication,pubyear,location,Latitude,Longitude,microbial name,microbial type,inoculant type,experimental type,inoculum in tr,inoculum in ck,inoculum,inoculation amount,inoculation amount,soil weight,fiNAl inoculation amount,log10,unit,inoculant quantity ,inoculation location,soil use type,soil origin,soil type,sandy or not sandy,extraction part,soil ph,log10ph,soil tc,log10tc,soil soc,log10soc,tn,log10tn,tp,log10tp,organic p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application background,stress,specific background,rate,fertilizer,fertilizer type,supply rate,NAtive,plant,plant latin,plant type,experimental duration,experimental.periods,variable
2.000000 ,li haiyun(2020),2020.000000 ,NA,36.062000 ,103.694000 ,"helminthosporium tritici-vulgaris, alterNAria solani, fusarium oxysporum, sclerotinias clerotiorum",pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,NA,NA,0.5kg,NA,NA,NA,no,soils,NA,other,sierozem,unknow,rhizosphere,8.28,0.918030 ,NA,NA,26.310905 ,1.420136 ,NA,NA,0.36,(0.443697),NA,NA,42.29,1.626238 ,86.480000 ,1.936916 ,11.25,1.051153 ,129.7,2.112940 ,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,oat,aveNA sativa,herbaceous plants,45.000000 ,Short-term,ap
2.000000 ,li haiyun(2020),2020.000000 ,NA,36.062000 ,103.694000 ,"helminthosporium tritici-vulgaris, alterNAria solani, fusarium oxysporum, sclerotinias clerotiorum",pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,NA,NA,0.5kg,NA,NA,NA,no,soils,NA,other,sierozem,unknow,rhizosphere,8.28,0.918030 ,NA,NA,26.310905 ,1.420136 ,NA,NA,0.36,(0.443697),NA,NA,42.29,1.626238 ,86.480000 ,1.936916 ,11.25,1.051153 ,129.7,2.112940 ,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,alfalfa,medicago sativa,herbaceous plants,45.000000 ,Short-term,ap
2.000000 ,li haiyun(2020),2020.000000 ,NA,36.062000 ,103.694000 ,"helminthosporium tritici-vulgaris, alterNAria solani, fusarium oxysporum, sclerotinias clerotiorum",pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,NA,NA,0.5kg,NA,NA,NA,no,soils,NA,other,sierozem,unknow,rhizosphere,8.28,0.918030 ,NA,NA,26.310905 ,1.420136 ,NA,NA,0.36,(0.443697),NA,NA,42.29,1.626238 ,86.480000 ,1.936916 ,11.25,1.051153 ,129.7,2.112940 ,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,cucumber ,cucumis sativus,herbaceous plants,45.000000 ,Short-term,ap
4.000000 ,bi yinli(2018),2018.000000 ,loess plateau in northern shaanxi and the mu us desert.,37.458333 ,107.333333 ,funneliformis mosseae,amf,amf,field,amf,no-inoculation,amf inoculum yes,50g/per plant,50g/per plant,field,NA,NA,NA,no,roots,NA,other,sandy,sandy,rhizosphere,7.118570 ,0.852393 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,mine,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,long-stalked almond,amygdalus pedunculata pall.,shrub,365.000000 ,Medium-term,ap
4.000000 ,bi yinli(2018),2018.000000 ,loess plateau in northern shaanxi and the mu us desert.,37.458333 ,107.333333 ,rhizophagus intraradices,amf,amf,field,amf,no-inoculation,amf inoculum yes,50g/per plant,50g/per plant,field,NA,NA,NA,no,roots,NA,other,sandy,sandy,rhizosphere,7.118570 ,0.852393 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,mine,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,long-stalked almond,amygdalus pedunculata pall.,shrub,365.000000 ,Medium-term,ap
4.000000 ,bi yinli(2018),2018.000000 ,loess plateau in northern shaanxi and the mu us desert.,37.458333 ,107.333333 ,"funneliformis mosseae, rhizophagus intraradices",amf,amf,field,amf,no-inoculation,amf inoculum yes,50g/per plant,50g/per plant,field,NA,NA,NA,no,roots,NA,other,sandy,sandy,rhizosphere,7.118570 ,0.852393 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,mine,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,long-stalked almond,amygdalus pedunculata pall.,shrub,365.000000 ,Medium-term,ap
8.000000 ,"yu, lu(2022)",2022.000000 ,NA,53.317344 ,13.863342 ,funneliformis mosseae,amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum,amf yes,"129 spores/g, 30g/pot",NA,2l,1935.000000 ,3.286681 ,spores/l soil,yes,soils,NA,other,clay loam,not sandy,unknow,8.200000 ,0.913814 ,34.300000 ,1.535294 ,NA,NA,2.100000 ,0.322219 ,0.430000 ,(0.366532),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,nodding wildrye,elymus nutans griseb,herbaceous plants,NA,NA,ap
8.000000 ,"yu, lu(2022)",2022.000000 ,NA,53.317344 ,13.863342 ,bacillus megaterium,pgpr,bacteria,greenhouse,bacterial suspension,sterilized bacterial suspension ,bacteria yes,"1*109cfu/ml, 25ml/pot",NA,2l,NA,NA,NA,no,seeds+seedings,NA,other,clay loam,not sandy,unknow,8.200000 ,0.913814 ,34.300000 ,1.535294 ,NA,NA,2.100000 ,0.322219 ,0.430000 ,(0.366532),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,nodding wildrye,elymus nutans griseb,herbaceous plants,NA,NA,ap
8.000000 ,"yu, lu(2022)",2022.000000 ,NA,53.317344 ,13.863342 ,"funneliformis mosseae, bacillus megaterium",mix,mix,greenhouse,mix inoculum,sterilized mix inoculum ,mix yes,"129 spores/g, 30g/pot;1*109cfu/ml, 25ml/pot",NA,2l,NA,NA,NA,no,soil+seeds+seeding,NA,other,clay loam,not sandy,unknow,8.200000 ,0.913814 ,34.300000 ,1.535294 ,NA,NA,2.100000 ,0.322219 ,0.430000 ,(0.366532),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,nodding wildrye,elymus nutans griseb,herbaceous plants,NA,NA,ap
9.000000 ,"liu, q.(2007)",2007.000000 ,NA,−38.1420,176.251000 ,suillus luteus (l. ex. fr.) s. f. gray,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",NA,0.5kg,40000000.000000 ,7.602060 ,spores/seeding,yes,seedings,forest,forest,andosol,unknow,bulk,5.800000 ,0.763428 ,NA,NA,NA,NA,NA,NA,0.205000 ,(0.688246),NA,NA,NA,NA,NA,NA,0.900000 ,(0.045757),NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,pinus radiata,pinus radiata d. don,tree,300.000000 ,Medium-term,ap
