study_id,publication,pubyear,location,latitude,longitude,microbial_name,microbial_type,inoculant_type,experimental_type,inoculum_in_tr,inoculum_in_ck,inoculum,inoculation_amount_14,inoculation_amount_15,soil_weight,fi_n_al_inoculation_amount,log10,unit,inoculant_quantity,inoculation_location,soil_use_type,soil_origin,soil_type,sandy_or_not_sandy,extraction_part,soil_ph,log10ph,soil_tc,log10tc,soil_soc,log10soc,tn,log10tn,tp,log10tp,organic_p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application_background,stress,specific_background,rate,fertilizer,fertilizer_type,supply_rate,n_ative,plant,plant_latin,plant_type,experimental_duration,experimental_periods,variable,source_table
2,li haiyun(2020),2020,NA,36.062000,103.694000,"helminthosporium tritici-vulgaris, alterNAria solani, fusarium oxysporum, sclerotinias clerotiorum",pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,NA,NA,0.5kg,NA,NA,NA,no,soils,NA,other,sierozem,unknow,rhizosphere,8.28,0.91803,NA,NA,26.310905,1.420136,NA,NA,0.36,(0.443697),NA,NA,42.29,1.626238,86.48,1.936916,11.25,1.051153,129.7,2.11294,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,oat,aveNA sativa,herbaceous plants,45,Short-term,ap,table1
2,li haiyun(2020),2020,NA,36.062000,103.694000,"helminthosporium tritici-vulgaris, alterNAria solani, fusarium oxysporum, sclerotinias clerotiorum",pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,NA,NA,0.5kg,NA,NA,NA,no,soils,NA,other,sierozem,unknow,rhizosphere,8.28,0.91803,NA,NA,26.310905,1.420136,NA,NA,0.36,(0.443697),NA,NA,42.29,1.626238,86.48,1.936916,11.25,1.051153,129.7,2.11294,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,alfalfa,medicago sativa,herbaceous plants,45,Short-term,ap,table1
2,li haiyun(2020),2020,NA,36.062000,103.694000,"helminthosporium tritici-vulgaris, alterNAria solani, fusarium oxysporum, sclerotinias clerotiorum",pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,NA,NA,0.5kg,NA,NA,NA,no,soils,NA,other,sierozem,unknow,rhizosphere,8.28,0.91803,NA,NA,26.310905,1.420136,NA,NA,0.36,(0.443697),NA,NA,42.29,1.626238,86.48,1.936916,11.25,1.051153,129.7,2.11294,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,cucumber ,cucumis sativus,herbaceous plants,45,Short-term,ap,table1
8,"yu, lu(2022)",2022,NA,53.317344,13.863342,funneliformis mosseae,amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum,amf yes,"129 spores/g, 30g/pot",NA,2l,1935,3.286681,spores/l soil,yes,soils,NA,other,clay loam,not sandy,unknow,8.2,0.913814,34.3,1.535294,NA,NA,2.1,0.322219,0.43,(0.366532),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,nodding wildrye,elymus nutans griseb,herbaceous plants,NA,NA,ap,table1
8,"yu, lu(2022)",2022,NA,53.317344,13.863342,bacillus megaterium,pgpr,bacteria,greenhouse,bacterial suspension,sterilized bacterial suspension,bacteria yes,"1*109cfu/ml, 25ml/pot",NA,2l,NA,NA,NA,no,seeds+seedings,NA,other,clay loam,not sandy,unknow,8.2,0.913814,34.3,1.535294,NA,NA,2.1,0.322219,0.43,(0.366532),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,nodding wildrye,elymus nutans griseb,herbaceous plants,NA,NA,ap,table1
8,"yu, lu(2022)",2022,NA,53.317344,13.863342,"funneliformis mosseae, bacillus megaterium",mix,mix,greenhouse,mix inoculum,sterilized mix inoculum,mix yes,"129 spores/g, 30g/pot;1*109cfu/ml, 25ml/pot",NA,2l,NA,NA,NA,no,soil+seeds+seeding,NA,other,clay loam,not sandy,unknow,8.2,0.913814,34.3,1.535294,NA,NA,2.1,0.322219,0.43,(0.366532),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,nodding wildrye,elymus nutans griseb,herbaceous plants,NA,NA,ap,table1
9,"liu, q.(2007)",2007,NA,−38.1420,176.251000,suillus luteus (l. ex. fr.) s. f. gray,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",NA,0.5kg,40000000,7.602060,spores/seeding,yes,seedings,forest,forest,andosol,unknow,bulk,5.8,0.763428,NA,NA,NA,NA,NA,NA,0.205,(0.688246),NA,NA,NA,NA,NA,NA,0.9,(0.045757),NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,pinus radiata,pinus radiata d. don,tree,300,Medium-term,ap,table1
9,"liu, q.(2007)",2007,NA,−38.1420,176.251000,suillus luteus (l. ex. fr.) s. f. gray,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",NA,0.5kg,40000000,7.602060,spores/seeding,yes,seedings,forest,forest,andosol,unknow,rhizosphere,5.8,0.763428,NA,NA,NA,NA,NA,NA,0.205,(0.688246),NA,NA,NA,NA,NA,NA,0.9,(0.045757),NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,pinus radiata,pinus radiata d. don,tree,300,Medium-term,ap,table1
9,"liu, q.(2007)",2007,NA,−38.1420,176.251000,rhizopogon rubescens tul.,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",NA,0.5kg,40000000,7.602060,spores/seeding,yes,seedings,forest,forest,andosol,unknow,bulk,5.8,0.763428,NA,NA,NA,NA,NA,NA,0.205,(0.688246),NA,NA,NA,NA,NA,NA,0.9,(0.045757),NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,pinus radiata,pinus radiata d. don,tree,300,Medium-term,ap,table1
9,"liu, q.(2007)",2007,NA,−38.1420,176.251000,rhizopogon rubescens tul.,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",NA,0.5kg,40000000,7.602060,spores/seeding,yes,seedings,forest,forest,andosol,unknow,rhizosphere,5.8,0.763428,NA,NA,NA,NA,NA,NA,0.205,(0.688246),NA,NA,NA,NA,NA,NA,0.9,(0.045757),NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,pinus radiata,pinus radiata d. don,tree,300,Medium-term,ap,table1
