study id,publication,pubyear,location,Latitude,Longitude,microbial name,microbial type,inoculant type,experimental type,inoculum in tr,inoculum in ck,inoculum,inoculation amount,inoculation amount,soil weight,fiNAl inoculation amount,log10,unit,inoculant quantity ,inoculation location,soil use type,soil origin,soil type,sandy or not sandy,extraction part,soil ph,log10ph,soil tc,log10tc,soil soc,log10soc,tn,log10tn,tp,log10tp,organic p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application background,stress,specific background,rate,fertilizer,fertilizer type,supply rate,NAtive,plant,plant latin,plant type,experimental duration,experimental.periods,variable,methods,unit,xc,sc,nc,xe,se,ne,ph,xc,xe,RRpH,yield,xc,xe,RRyield,plant biomass,xc,xe,RRbiomass,leaf biomass,xc,xe,RRleaf_biomass,shoot biomass,xc,xe,RRshoot_biomass,root biomass,xc,xe,RRroot_biomass,plant_p_leaf,xc,xe,RR_pleaf,plant_p_grain,xc,xe,RR_pgrain,plant_p_shoot,xc,xe,RR_pshoot,plant_p_root,xc,xe,RR_proot,plant_p,xc,xe,RR_pplant
1.000000 ,josef kohler(2009),2009.000000 ,murcia (se spain).,37.986110 ,−1.13028,glomus intraradices (schenk and smith),amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum ,amf yes,1010cfu/pot,1010cfu/pot,0.7kg,14285714285.000000 ,10.154902 ,cfu/kg soil,yes,soils,NA,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,lettuce,l. sativa l. cv. tafalla,herbaceous plants,35.000000 ,Short-term,phosphatase,acid pme,nmolpnpg-1h-1,34,8.944272 ,5,135,20.124612 ,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,0.64,(0.247836),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.000000 ,josef kohler(2009),2009.000000 ,murcia (se spain).,37.986110 ,−1.13028,glomus intraradices (schenk and smith),amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum ,amf yes,1010cfu/pot,1010cfu/pot,0.7kg,14285714285.000000 ,10.154902 ,cfu/kg soil,yes,soils,NA,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,dry,stress,dry,NA,no fertilizer,NA,NA,no NAtive,lettuce,l. sativa l. cv. tafalla,herbaceous plants,35.000000 ,Short-term,phosphatase,acid pme,nmolpnpg-1h-1,71,6.708204 ,5,198,20.124612 ,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,0.54,(0.121890),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.000000 ,josef kohler(2009),2009.000000 ,murcia (se spain).,37.986110 ,−1.13028,glomus intraradices (schenk and smith),amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum ,amf yes,1010cfu/pot,1010cfu/pot,0.7kg,14285714285.000000 ,10.154902 ,cfu/kg soil,yes,soils,NA,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,dry,stress,dry,NA,no fertilizer,NA,NA,no NAtive,lettuce,l. sativa l. cv. tafalla,herbaceous plants,35.000000 ,Short-term,phosphatase,acid pme,nmolpnpg-1h-1,69,8.944272 ,5,127,4.472136 ,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.37,0.114410 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.000000 ,josef kohler(2010),2009.000000 ,murcia (se spain).,37.986110 ,−1.13028,pseudomoNAs mendociNA palleroni,pgpr,bacteria,greenhouse,bacterial suspension,sterilized bacterial suspension ,bacteria yes,1010cfu/pot,1010cfu/pot,0.7kg,14285714285.000000 ,10.154902 ,cfu/kg soil,yes,soils,NA,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,lettuce,l. sativa l. cv. tafalla,herbaceous plants,35.000000 ,Short-term,phosphatase,acid pme,nmolpnpg-1h-1,34,8.944272 ,5,108,22.360680 ,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,0.89,0.081917 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.000000 ,josef kohler(2010),2009.000000 ,murcia (se spain).,37.986110 ,−1.13028,pseudomoNAs mendociNA palleroni,pgpr,bacteria,greenhouse,bacterial suspension,sterilized bacterial suspension ,bacteria yes,1010cfu/pot,1010cfu/pot,0.7kg,14285714285.000000 ,10.154902 ,cfu/kg soil,yes,soils,NA,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,dry,stress,dry,NA,no fertilizer,NA,NA,NAtive,lettuce,l. sativa l. cv. tafalla,herbaceous plants,35.000000 ,Short-term,phosphatase,acid pme,nmolpnpg-1h-1,71,6.708204 ,5,129,11.180340 ,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,0.66,0.078781 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.000000 ,josef kohler(2010),2009.000000 ,murcia (se spain).,37.986110 ,−1.13028,pseudomoNAs mendociNA palleroni,pgpr,bacteria,greenhouse,bacterial suspension,sterilized bacterial suspension ,bacteria yes,1010cfu/pot,1010cfu/pot,0.7kg,14285714285.000000 ,10.154902 ,cfu/kg soil,yes,soils,NA,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,dry,stress,dry,NA,no fertilizer,NA,NA,NAtive,lettuce,l. sativa l. cv. tafalla,herbaceous plants,35.000000 ,Short-term,phosphatase,acid pme,nmolpnpg-1h-1,69,8.944272 ,5,118,8.944272 ,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.35,0.058841 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.000000 ,josef kohler(2010),2009.000000 ,murcia (se spain).,37.986110 ,−1.13028,glomus mosseae (nicol and gerd.) gerd. and trappe,amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum ,amf yes,1010cfu/pot,1010cfu/pot,0.7kg,14285714285.000000 ,10.154902 ,cfu/kg soil,yes,soils,NA,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,lettuce,l. sativa l. cv. tafalla,herbaceous plants,35.000000 ,Short-term,phosphatase,acid pme,nmolpnpg-1h-2,34.000000 ,8.944272 ,5.000000 ,97.000000 ,26.832816 ,5.000000 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.820000 ,0.730000 ,(0.116260),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.000000 ,josef kohler(2010),2009.000000 ,murcia (se spain).,37.986110 ,−1.13028,glomus mosseae (nicol and gerd.) gerd. and trappe,amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum ,amf yes,1010cfu/pot,1010cfu/pot,0.7kg,14285714285.000000 ,10.154902 ,cfu/kg soil,yes,soils,NA,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,dry,stress,dry,NA,no fertilizer,NA,NA,no NAtive,lettuce,l. sativa l. cv. tafalla,herbaceous plants,35.000000 ,Short-term,phosphatase,acid pme,nmolpnpg-1h-2,71.000000 ,6.708204 ,5.000000 ,160.000000 ,24.596748 ,5.000000 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.610000 ,0.580000 ,(0.050431),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.000000 ,josef kohler(2010),2009.000000 ,murcia (se spain).,37.986110 ,−1.13028,glomus mosseae (nicol and gerd.) gerd. and trappe,amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum ,amf yes,1010cfu/pot,1010cfu/pot,0.7kg,14285714285.000000 ,10.154902 ,cfu/kg soil,yes,soils,NA,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,dry,stress,dry,NA,no fertilizer,NA,NA,no NAtive,lettuce,l. sativa l. cv. tafalla,herbaceous plants,35.000000 ,Short-term,phosphatase,acid pme,nmolpnpg-1h-2,69.000000 ,8.944272 ,5.000000 ,135.000000 ,2.236068 ,5.000000 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.330000 ,0.320000 ,(0.030772),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.000000 ,josef kohler(2010),2009.000000 ,murcia (se spain).,37.986110 ,−1.13028,"pseudomoNAs mendociNA palleroni, glomus intraradices (schenk and smith)",mix,mix,greenhouse,mix inoculum,sterilized mix inoculum ,mix yes,1010cfu/pot,1010cfu/pot,0.7kg,14285714285.000000 ,10.154902 ,cfu/kg soil,yes,soils,NA,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,lettuce,l. sativa l. cv. tafalla,herbaceous plants,35.000000 ,Short-term,phosphatase,acid pme,nmolpnpg-1h-2,34.000000 ,8.944272 ,5.000000 ,112.000000 ,11.180340 ,5.000000 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.820000 ,0.730000 ,(0.116260),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
