study.id,publication,pubyear,location,microbial.name,microbial.type,inoculant.type,experimental.type,inoculum.in.tr,inoculum.in.ck,inoculum,inoculation.amount,inoculation.amount.1,soil.weight,final.inoculation.amount,log10,unit,inoculant.quantity,inoculation.location,soil.use.type,soil.origin,soil.type,sandy.or.not.sandy,extraction.part,soil.ph,log10ph,soil.tc,log10tc,soil.soc,log10soc,tn,log10tn,tp,log10tp,organic.p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application.background,stress,specific.background,rate,fertilizer,fertilizer.type,supply.rate,native,plant,plant.latin,plant.type,experimental.duration,experimental.periods,variable,methods,unit.1,xc,sc,nc,xe,se,ne,ph,xc.1,sc.1,nc.1,xe.1,se.1,ne.1,X.yield.xc,sc.2,nc.2,xe.2,se.2,ne.2,X.plant.biomass.xc,sc.3,nc.3,xe.3,se.3,ne.3,X.leaf.biomass.xc,sc.4,na,nc.4,xe.4,se.4,na.1,ne.4,sd.se,X.shoot.biomass.xc,sc.5,na.2,nc.5,xe.5,se.5,na.3,ne.5,sd.se.1,X.root.biomass.xc,sc.6,na.4,nc.6,xe.6,se.6,na.5,ne.6,sd.se.2,RR,Vi
57,"ye, shaoping(2015)",2015,"23	5029.400n, 113	1704600e",gloms mosseae,amf,amf,greenhouse,amf inoculum( consisted of soil colonized root fragments),sterilized amf inoculum,amf yes,"148 spores/10ml,30ml/pot",na,1,444,2.647383,spores/kg soil,yes,soils,na,other,na,unknow,rhizosphere,7.1,0.851258,na,na,10.846868,1.035304,1.89,0.276462,0.83,-0.080922,na,na,na,na,na,na,28.59,1.456214,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,unknow,italian ryegrass,l. mutiflorum l. cv. tetragold,herbaceous plants,84,Short-term,tp,acid digestion,g/kg,0.77,0.017321,3,0.83,0.051962,3,ph,7.6,0.051962,3,7.56,0.034641,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2.39,0.47,na,3,2.92,0.22,na,3,se,3.04,0.14,na,3,9.35,1.52,na,3,se,0.075035186,0.001475127
57,"ye, shaoping(2015)",2015,"23	5029.400n, 113	1704600e",gloms versiforme,amf,amf,greenhouse,amf inoculum( consisted of soil colonized root fragments),sterilized amf inoculum,amf yes,"9165 spores/10ml, 30ml/pot",na,1,27495,4.439254,spores/kg soil,yes,soils,na,other,na,unknow,rhizosphere,7.1,0.851258,na,na,10.846868,1.035304,1.89,0.276462,0.83,-0.080922,na,na,na,na,na,na,28.59,1.456214,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,unknow,italian ryegrass,l. mutiflorum l. cv. tetragold,herbaceous plants,84,Short-term,tp,acid digestion,g/kg,0.77,0.017321,3,0.79,0.069282,3,ph,7.6,0.051962,3,7.6,0.051962,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2.39,0.47,na,3,3.11,0.53,na,3,se,3.04,0.14,na,3,10.96,0.03,na,3,se,0.025642431,0.002732361
57,"ye, shaoping(2015)",2015,"23	5029.400n, 113	1704600e","gloms mosseae, gloms versiforme",amf,amf,greenhouse,amf inoculum( consisted of soil colonized root fragments),sterilized amf inoculum,amf yes,"9313 spores/20ml, 30ml/pot",na,1,13969.5,4.145181,spores/kg soil,yes,soils,na,other,na,unknow,rhizosphere,7.1,0.851258,na,na,10.846868,1.035304,1.89,0.276462,0.83,-0.080922,na,na,na,na,na,na,28.59,1.456214,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,unknow,italian ryegrass,l. mutiflorum l. cv. tetragold,herbaceous plants,84,Short-term,tp,acid digestion,g/kg,0.77,0.017321,3,0.74,0.069282,3,ph,7.6,0.051962,3,7.53,0.051962,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2.39,0.47,na,3,4.25,0.93,na,3,se,3.04,0.14,na,3,3.61,0.42,na,3,se,-0.039740329,0.00309051
57,"ye, shaoping(2015)",2015,"23	5029.400n, 113	1704600e",gloms versiforme,amf,amf,greenhouse,amf inoculum( consisted of soil colonized root fragments),sterilized amf inoculum,amf yes,"9165 spores/10ml, 30ml/pot",na,1,27495,4.439254,spores/kg soil,yes,soils,na,other,na,unknow,rhizosphere,6,0.778151,na,na,na,na,na,na,na,na,na,na,na,na,na,na,103.16,2.013511,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,unknow,italian ryegrass,l. mutiflorum l. cv. tetragold,herbaceous plants,66,Short-term,tp,acid digestion,g/kg,1.62,0.26,4,1.61,0.12,4,ph,6.36,0.08,4,6.23,0.04,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7.5,0.51,na,4,6.05,0.28,na,4,se,4.95,0.07,na,4,4.14,0.18,na,4,se,-0.00619197,0.007828402
72,"wang, peng(2019)",2019,"zhejiang
institute of citrus research (zicr), taizhou, china",rhizophagus intraradices,amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum,amf yes,"25 spores/g, 80g/pot",na,7,286,2.456366,spores/kg soil,yes,soils,plantation,plantation,mix of soil and sand,unknow,rhizosphere,6.7,0.826075,na,na,2.958237,0.471033,na,na,na,na,na,na,na,na,na,na,5,0.69897,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,native,trifoliate orange,na,shrub,150,Medium-term,tp,acid digestion,mg/kg,322.88,NA,NA,322.25,NA,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.37,na,na,3,0.69,na,na,3,sd,0.37,na,na,3,0.69,na,na,3,sd,-0.001953095,1.054440612
72,"wang, peng(2019)",2019,"zhejiang
institute of citrus research (zicr), taizhou, china",rhizophagus intraradices,amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum,amf yes,"25 spores/g, 80g/pot",na,7,286,2.456366,spores/kg soil,yes,soils,plantation,plantation,mix of soil and sand,unknow,rhizosphere,6.7,0.826075,na,na,2.958237,0.471033,na,na,na,na,na,na,na,na,na,na,5,0.69897,na,na,unsterilization,na,no stress,na,na,fertilizer,phosphate fertilizer,73.4mg/kg ca3(po4)2,native,trifoliate orange,na,shrub,150,Medium-term,tp,acid digestion,mg/kg,396.09,NA,NA,395.35,NA,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.41,na,na,3,0.86,na,na,3,sd,0.41,na,na,3,0.86,na,na,3,sd,-0.00187001,1.054440612
72,"wang, peng(2019)",2019,"zhejiang
institute of citrus research (zicr), taizhou, china",rhizophagus intraradices,amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum,amf yes,"25 spores/g, 80g/pot",na,7,286,2.456366,spores/kg soil,yes,soils,plantation,plantation,mix of soil and sand,unknow,rhizosphere,6.7,0.826075,na,na,2.958237,0.471033,na,na,na,na,na,na,na,na,na,na,5,0.69897,na,na,unsterilization,na,no stress,na,na,fertilizer,phosphate fertilizer,220.2mg/kg ca3(po4)2,native,trifoliate orange,na,shrub,150,Medium-term,tp,acid digestion,mg/kg,542.59,NA,NA,541.8,NA,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.49,na,na,3,0.91,na,na,3,sd,0.49,na,na,3,0.91,na,na,3,sd,-0.001457041,1.054440612
252,"li, jinmiao(2022)",2022,na,septoglomus viscosum (sv),amf,amf,greenhouse,amf inoculum( consisted of soil colonized root fragments),sterilized amf inoculum,amf yes,600 spores/pot,na,1.2,500,2.69897,spores/kg soil,yes,soils,"mix of soil, quartz sand, perlite and sand",other,na,unknow,bulk,4.47,0.650308,na,na,4.350348,0.638524,0.14,-0.853872,42,1.623249,na,na,42,1.623249,na,na,1.19,0.075547,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,unknow,na,trifolium repens l.,herbaceous plants,70,Short-term,tp,unknow,g/kg,0.4,0.04899,6,0.57,0.146969,6,ph,7.58,0.122474,6,7.25,0.146969,6,na,na,na,na,na,na,1.54,1.543179,6,8.48,1.445199,6,na,na,na,na,na,na,na,na,na,1.17,0.4,na,6,5.53,0.23,na,6,se,0.37,0.17,na,6,2.96,0.37,na,6,se,0.354171814,0.013580295
252,"li, jinmiao(2022)",2022,na,claroideoglomus claroideum (cc),amf,amf,greenhouse,amf inoculum( consisted of soil colonized root fragments),sterilized amf inoculum,amf yes,600 spores/pot,na,1.2,500,2.69897,spores/kg soil,yes,soils,"mix of soil, quartz sand, perlite and sand",other,na,unknow,bulk,4.47,0.650308,na,na,4.350348,0.638524,0.14,-0.853872,42,1.623249,na,na,42,1.623249,na,na,1.19,0.075547,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,unknow,na,trifolium repens l.,herbaceous plants,70,Short-term,tp,unknow,g/kg,0.4,0.04899,6,0.49,0.171464,6,ph,7.58,0.122474,6,7.33,0.220454,6,na,na,na,na,na,na,1.54,1.543179,6,8.54,1.543179,6,na,na,na,na,na,na,na,na,na,1.17,0.4,na,6,5.56,0.53,na,6,se,0.37,0.17,na,6,2.98,0.49,na,6,se,0.202940844,0.022908117
252,"li, jinmiao(2022)",2022,na,"septoglomus viscosum (sv), claroideoglomus claroideum (cc)",amf,amf,greenhouse,amf inoculum( consisted of soil colonized root fragments),sterilized amf inoculum,amf yes,600 spores/pot,na,1.2,500,2.69897,spores/kg soil,yes,soils,"mix of soil, quartz sand, perlite and sand",other,na,unknow,bulk,4.47,0.650308,na,na,4.350348,0.638524,0.14,-0.853872,42,1.623249,na,na,42,1.623249,na,na,1.19,0.075547,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,unknow,na,trifolium repens l.,herbaceous plants,70,Short-term,tp,unknow,g/kg,0.4,0.04899,6,0.24,0.09798,6,ph,7.58,0.122474,6,7.41,0.024495,6,na,na,na,na,na,na,1.54,1.543179,6,7.53,1.347219,6,na,na,na,na,na,na,na,na,na,1.17,0.4,na,6,4.48,0.34,na,6,se,0.37,0.17,na,6,3.05,0.41,na,6,se,-0.510825624,0.030278031
