study id,publication,pubyear,location,Latitude,Longitude,microbial name,microbial type,inoculant type,experimental type,inoculum in tr,inoculum in ck,inoculum,inoculation amount,inoculation amount,soil weight,fiNAl inoculation amount,log10,unit,inoculant quantity ,inoculation location,soil use type,soil origin,soil type,sandy or not sandy,extraction part,soil ph,log10ph,soil tc,log10tc,soil soc,log10soc,tn,log10tn,tp,log10tp,organic p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application background,stress,specific background,rate,fertilizer,fertilizer type,supply rate,NAtive,plant,plant latin,plant type,experimental duration,experimental.periods,variable,methods,unit,xc,sc,nc,xe,se,ne,ph,xc,xe,RRpH,yield,xc,xe,RRyield,plant biomass,xc,xe,RRbiomass,leaf biomass,xc,xe,RRleaf_biomass,shoot biomass,xc,xe,RRshoot_biomass,root biomass,xc,xe,RRroot_biomass,plant_p_leaf,xc,xe,RR_pleaf,plant_p_grain,xc,xe,RR_pgrain,plant_p_shoot,xc,xe,RR_pshoot,plant_p_root,xc,xe,RR_proot,plant_p,xc,xe,RR_pplant
8.000000 ,"yu, lu(2022)",2022.000000 ,NA,53.317344 ,13.863342 ,funneliformis mosseae,amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum,amf yes,"129 spores/g, 30g/pot",NA,2l,1935.000000 ,3.286681 ,spores/l soil,yes,soils,NA,other,clay loam,not sandy,unknow,8.200000 ,0.913814 ,34.300000 ,1.535294 ,NA,NA,2.100000 ,0.322219 ,0.430000 ,(0.366532),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,nodding wildrye,elymus nutans griseb,herbaceous plants,NA,NA,tp,sodium hydroxide fusion,g/kg,0.430000 ,0.342929 ,6.000000 ,0.460000 ,0.146969 ,6.000000 ,ph,8.200000 ,8.370000 ,0.020520 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.000000 ,"yu, lu(2022)",2022.000000 ,NA,53.317344 ,13.863342 ,bacillus megaterium,pgpr,bacteria,greenhouse,bacterial suspension,sterilized bacterial suspension ,bacteria yes,"1*109cfu/ml, 25ml/pot",NA,2l,NA,NA,NA,no,seeds+seedings,NA,other,clay loam,not sandy,unknow,8.200000 ,0.913814 ,34.300000 ,1.535294 ,NA,NA,2.100000 ,0.322219 ,0.430000 ,(0.366532),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,nodding wildrye,elymus nutans griseb,herbaceous plants,NA,NA,tp,sodium hydroxide fusion,g/kg,0.430000 ,0.342929 ,6.000000 ,0.480000 ,0.097980 ,6.000000 ,ph,8.200000 ,8.430000 ,0.027663 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.000000 ,"yu, lu(2022)",2022.000000 ,NA,53.317344 ,13.863342 ,"funneliformis mosseae, bacillus megaterium",mix,mix,greenhouse,mix inoculum,sterilized mix inoculum ,mix yes,"129 spores/g, 30g/pot;1*109cfu/ml, 25ml/pot",NA,2l,NA,NA,NA,no,soil+seeds+seeding,NA,other,clay loam,not sandy,unknow,8.200000 ,0.913814 ,34.300000 ,1.535294 ,NA,NA,2.100000 ,0.322219 ,0.430000 ,(0.366532),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,nodding wildrye,elymus nutans griseb,herbaceous plants,NA,NA,tp,sodium hydroxide fusion,g/kg,0.430000 ,0.342929 ,6.000000 ,0.470000 ,0.024495 ,6.000000 ,ph,8.200000 ,8.450000 ,0.030032 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24.000000 ,"turan, metin(2012)",2012.000000 ,29°55’ n and 41°16’ e,29.916667 ,41.266667 ,bacillus subtilis osu-142,pgpr,bacteria,field,bacterial medium,none,bacteria yes,"108cfu/ml, 430seeds/m2",NA,field,NA,NA,NA,no,seeds,farmland,cropland,aridisol,not sandy,rhizosphere,7.300000 ,0.863323 ,NA,NA,16.241299 ,1.210621 ,0.860000 ,(0.065502),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,wheat,"triticum aestivum spp.
vulgare cv. kirik",crop,730.000000 ,Long-term,tp,unknow,ug/g,513.730000 ,7.900000 ,20.000000 ,474.540000 ,8.100000 ,20.000000 ,NA,NA,NA,NA,NA,7.354290 ,9.925710 ,0.299845 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154286 ,0.394286 ,0.938269 ,NA,3231.638418 ,4271.186441 ,0.278902 ,NA,5107.344633 ,7751.412429 ,0.417195 ,NA,NA,NA,NA,NA,163.397555 ,641.058255 ,1.366934 ,NA,NA,NA,NA
24.000000 ,"turan, metin(2012)",2012.000000 ,29°55’ n and 41°16’ e,29.916667 ,41.266667 ,bacillus megaterium m3,pgpr,bacteria,field,bacterial medium,none,bacteria yes,"108cfu/ml, 430seeds/m2",NA,field,NA,NA,NA,no,seeds,farmland,cropland,aridisol,not sandy,rhizosphere,7.300000 ,0.863323 ,NA,NA,16.241299 ,1.210621 ,0.860000 ,(0.065502),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,wheat,"triticum aestivum spp.
vulgare cv. kirik",crop,730.000000 ,Long-term,tp,unknow,ug/g,513.730000 ,7.900000 ,20.000000 ,442.510000 ,7.900000 ,20.000000 ,NA,NA,NA,NA,NA,7.354290 ,8.931430 ,0.194293 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154286 ,0.428571 ,1.021648 ,NA,3231.638418 ,7841.807910 ,0.886480 ,NA,5107.344633 ,9898.305085 ,0.661684 ,NA,NA,NA,NA,NA,163.397555 ,1149.807870 ,1.951164 ,NA,NA,NA,NA
24.000000 ,"turan, metin(2012)",2012.000000 ,29°55’ n and 41°16’ e,29.916667 ,41.266667 ,azospirillum brasilense sp245,pgpr,bacteria,field,bacterial medium,none,bacteria yes,"108cfu/ml, 430seeds/m2",NA,field,NA,NA,NA,no,seeds,farmland,cropland,aridisol,not sandy,rhizosphere,7.300000 ,0.863323 ,NA,NA,16.241299 ,1.210621 ,0.860000 ,(0.065502),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,wheat,"triticum aestivum spp.
vulgare cv. kirik",crop,730.000000 ,Long-term,tp,unknow,ug/g,513.730000 ,7.900000 ,20.000000 ,483.590000 ,8.100000 ,20.000000 ,NA,NA,NA,NA,NA,7.354290 ,9.171430 ,0.220809 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154286 ,0.308571 ,0.693144 ,NA,3231.638418 ,4587.570621 ,0.350361 ,NA,5107.344633 ,6802.259887 ,0.286575 ,NA,NA,NA,NA,NA,163.397555 ,627.562292 ,1.345657 ,NA,NA,NA,NA
24.000000 ,"turan, metin(2012)",2012.000000 ,29°55’ n and 41°16’ e,29.916667 ,41.266667 ,"bacillus subtilis osu-142, bacillus megaterium m3, azospirillum brasilense sp245",pgpr,bacteria,field,bacteril suspension,none,bacteria yes,"108cfu/ml, 430seeds/m2",NA,field,NA,NA,NA,no,seeds,farmland,cropland,aridisol,not sandy,rhizosphere,7.300000 ,0.863323 ,NA,NA,16.241299 ,1.210621 ,0.860000 ,(0.065502),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,wheat,"triticum aestivum spp.
vulgare cv. kirik",crop,730.000000 ,Long-term,tp,unknow,ug/g,513.730000 ,7.900000 ,20.000000 ,420.480000 ,7.600000 ,20.000000 ,NA,NA,NA,NA,NA,7.354290 ,9.565710 ,0.262901 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154286 ,0.445714 ,1.060869 ,NA,3231.638418 ,4926.553672 ,0.421650 ,NA,5107.344633 ,9649.717514 ,0.636249 ,NA,NA,NA,NA,NA,163.397555 ,980.144332 ,1.791514 ,NA,NA,NA,NA
24.000000 ,"turan, metin(2012)",2012.000000 ,29°55’ n and 41°16’ e,29.916667 ,41.266667 ,"bacillus megater-
ium rc07",pgpr,bacteria,field,bacterial medium,none,bacteria yes,"108cfu/ml, 430seeds/m2",NA,field,NA,NA,NA,no,seeds,farmland,cropland,aridisol,not sandy,rhizosphere,7.300000 ,0.863323 ,NA,NA,16.241299 ,1.210621 ,0.860000 ,(0.065502),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,wheat,"triticum aestivum spp.
vulgare cv. kirik",crop,730.000000 ,Long-term,tp,unknow,ug/g,513.730000 ,7.900000 ,20.000000 ,486.970000 ,8.900000 ,20.000000 ,NA,NA,NA,NA,NA,7.354290 ,9.737140 ,0.280664 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154286 ,0.274286 ,0.575363 ,NA,3231.638418 ,3322.033898 ,0.027588 ,NA,5107.344633 ,5649.717514 ,0.100926 ,NA,NA,NA,NA,NA,163.397555 ,551.727831 ,1.216869 ,NA,NA,NA,NA
24.000000 ,"turan, metin(2012)",2012.000000 ,29°55’ n and 41°16’ e,29.916667 ,41.266667 ,paenibacillus polymyxa rc05,pgpr,bacteria,field,bacterial medium,none,bacteria yes,"108cfu/ml, 430seeds/m2",NA,field,NA,NA,NA,no,seeds,farmland,cropland,aridisol,not sandy,rhizosphere,7.300000 ,0.863323 ,NA,NA,16.241299 ,1.210621 ,0.860000 ,(0.065502),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,wheat,"triticum aestivum spp.
vulgare cv. kirik",crop,730.000000 ,Long-term,tp,unknow,ug/g,513.730000 ,7.900000 ,20.000000 ,489.970000 ,8.300000 ,20.000000 ,NA,NA,NA,NA,NA,7.354290 ,9.668570 ,0.273597 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154286 ,0.274286 ,0.575363 ,NA,3231.638418 ,3457.627119 ,0.067593 ,NA,5107.344633 ,5378.531073 ,0.051736 ,NA,NA,NA,NA,NA,163.397555 ,529.475559 ,1.175701 ,NA,NA,NA,NA
26.000000 ,"garcia, c.(2000)",2000.000000 ,murcia,37.986110 ,−1.13028,"pisolithus arhizus (pers. i.) rauschert (= p. tinctorius
(pers.) coker and couch)",ecm,fungi,field,fungal medium,none,fungal medium yes,NA,NA,field,NA,NA,NA,no,soils,forest,forest,haplocalcid,unknow,bulk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,pinus halepensis miller,pinus halepensis miller,tree,1095.000000 ,Long-term,tp,acid digestion,g/kg,17.400000 ,0.710000 ,4.000000 ,20.400000 ,0.590000 ,4.000000 ,ph,8.750000 ,8.630000 ,(0.013809),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
