study.id,publication,pubyear,location,Latitude,Longitude,microbial.name,microbial.type,inoculant.type,experimental.type,inoculum.in.tr,inoculum.in.ck,inoculum,inoculation.amount,inoculation.amount.1,soil.weight,fiNAl.inoculation.amount,log10,unit,inoculant.quantity,inoculation.location,soil.use.type,soil.origin,soil.type,sandy.or.not.sandy,extraction.part,soil.ph,log10ph,soil.tc,log10tc,soil.soc,log10soc,tn,log10tn,tp,log10tp,organic.p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application.background,stress,specific.background,rate,fertilizer,fertilizer.type,supply.rate,native,plant,plant.latin,plant.type,experimental.duration,experimental.periods,variable,methods,unit.1,xc,sc,nc,xe,se,ne,ph,xc.1,xe.1,RRpH,yield,xc.2,xe.2,RRyield,plant.biomass,xc.3,xe.3,RRbiomass,leaf.biomass,xc.4,xe.4,RRleaf_biomass,shoot.biomass,xc.5,xe.5,RRshoot_biomass,root.biomass,xc.6,xe.6,RRroot_biomass,plant_p_leaf,xc.7,xe.7,RR_pleaf,plant_p_grain,xc.8,xe.8,RR_pgrain,plant_p_shoot,xc.9,xe.9,RR_pshoot,plant_p_root,xc.10,xe.10,RR_proot,plant_p,xc.11,xe.11,RR_pplant,RR,Vi
8,"yu, lu(2022)",2022,NA,53.317344,13.863342,funneliformis mosseae,amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum,amf yes,"129 spores/g, 30g/pot",NA,2l,1935,3.286681,spores/l soil,yes,soils,NA,other,clay loam,not sandy,unknow,8.2,0.913814,34.3,1.535294,NA,NA,2.1,0.322219,0.43,-0.366532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no native,nodding wildrye,elymus nutans griseb,herbaceous plants,NA,NA,tp,sodium hydroxide fusion,g/kg,0.43,0.342929,6,0.46,0.146969,6,ph,8.2,8.37,0.02052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.067441281,0.123016658
8,"yu, lu(2022)",2022,NA,53.317344,13.863342,bacillus megaterium,pgpr,bacteria,greenhouse,bacterial suspension,sterilized bacterial suspension ,bacteria yes,"1*109cfu/ml, 25ml/pot",NA,2l,NA,NA,NA,no,seeds+seedings,NA,other,clay loam,not sandy,unknow,8.2,0.913814,34.3,1.535294,NA,NA,2.1,0.322219,0.43,-0.366532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no native,nodding wildrye,elymus nutans griseb,herbaceous plants,NA,NA,tp,sodium hydroxide fusion,g/kg,0.43,0.342929,6,0.48,0.09798,6,ph,8.2,8.43,0.027663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.110000895,0.112948017
8,"yu, lu(2022)",2022,NA,53.317344,13.863342,"funneliformis mosseae, bacillus megaterium",mix,mix,greenhouse,mix inoculum,sterilized mix inoculum ,mix yes,"129 spores/g, 30g/pot;1*109cfu/ml, 25ml/pot",NA,2l,NA,NA,NA,no,soil+seeds+seeding,NA,other,clay loam,not sandy,unknow,8.2,0.913814,34.3,1.535294,NA,NA,2.1,0.322219,0.43,-0.366532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no native,nodding wildrye,elymus nutans griseb,herbaceous plants,NA,NA,tp,sodium hydroxide fusion,g/kg,0.43,0.342929,6,0.47,0.024495,6,ph,8.2,8.45,0.030032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.088947486,0.106456212
24,"turan, metin(2012)",2012,29Â°55â n and 41Â°16â e,29.916667,41.266667,bacillus subtilis osu-142,pgpr,bacteria,field,bacterial medium,none,bacteria yes,"108cfu/ml, 430seeds/m2",NA,field,NA,NA,NA,no,seeds,farmland,cropland,aridisol,not sandy,rhizosphere,7.3,0.863323,NA,NA,16.241299,1.210621,0.86,-0.065502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no native,wheat,"triticum aestivum spp.
vulgare cv. kirik",crop,730,Long-term,tp,unknow,ug/g,513.73,7.9,20,474.54,8.1,20,NA,NA,NA,NA,NA,7.35429,9.92571,0.299845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154286,0.394286,0.938269,NA,3231.638418,4271.186441,0.278902,NA,5107.344633,7751.412429,0.417195,NA,NA,NA,NA,NA,163.397555,641.058255,1.366934,NA,NA,NA,NA,-0.079351922,2.64E-05
24,"turan, metin(2012)",2012,29Â°55â n and 41Â°16â e,29.916667,41.266667,bacillus megaterium m3,pgpr,bacteria,field,bacterial medium,none,bacteria yes,"108cfu/ml, 430seeds/m2",NA,field,NA,NA,NA,no,seeds,farmland,cropland,aridisol,not sandy,rhizosphere,7.3,0.863323,NA,NA,16.241299,1.210621,0.86,-0.065502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no native,wheat,"triticum aestivum spp.
vulgare cv. kirik",crop,730,Long-term,tp,unknow,ug/g,513.73,7.9,20,442.51,7.9,20,NA,NA,NA,NA,NA,7.35429,8.93143,0.194293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154286,0.428571,1.021648,NA,3231.638418,7841.80791,0.88648,NA,5107.344633,9898.305085,0.661684,NA,NA,NA,NA,NA,163.397555,1149.80787,1.951164,NA,NA,NA,NA,-0.149234773,2.78E-05
24,"turan, metin(2012)",2012,29Â°55â n and 41Â°16â e,29.916667,41.266667,azospirillum brasilense sp245,pgpr,bacteria,field,bacterial medium,none,bacteria yes,"108cfu/ml, 430seeds/m2",NA,field,NA,NA,NA,no,seeds,farmland,cropland,aridisol,not sandy,rhizosphere,7.3,0.863323,NA,NA,16.241299,1.210621,0.86,-0.065502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no native,wheat,"triticum aestivum spp.
vulgare cv. kirik",crop,730,Long-term,tp,unknow,ug/g,513.73,7.9,20,483.59,8.1,20,NA,NA,NA,NA,NA,7.35429,9.17143,0.220809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154286,0.308571,0.693144,NA,3231.638418,4587.570621,0.350361,NA,5107.344633,6802.259887,0.286575,NA,NA,NA,NA,NA,163.397555,627.562292,1.345657,NA,NA,NA,NA,-0.060460395,2.59E-05
24,"turan, metin(2012)",2012,29Â°55â n and 41Â°16â e,29.916667,41.266667,"bacillus subtilis osu-142, bacillus megaterium m3, azospirillum brasilense sp245",pgpr,bacteria,field,bacteril suspension,none,bacteria yes,"108cfu/ml, 430seeds/m2",NA,field,NA,NA,NA,no,seeds,farmland,cropland,aridisol,not sandy,rhizosphere,7.3,0.863323,NA,NA,16.241299,1.210621,0.86,-0.065502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no native,wheat,"triticum aestivum spp.
vulgare cv. kirik",crop,730,Long-term,tp,unknow,ug/g,513.73,7.9,20,420.48,7.6,20,NA,NA,NA,NA,NA,7.35429,9.56571,0.262901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154286,0.445714,1.060869,NA,3231.638418,4926.553672,0.42165,NA,5107.344633,9649.717514,0.636249,NA,NA,NA,NA,NA,163.397555,980.144332,1.791514,NA,NA,NA,NA,-0.20030092,2.82E-05
24,"turan, metin(2012)",2012,29Â°55â n and 41Â°16â e,29.916667,41.266667,"bacillus megater-
ium rc07",pgpr,bacteria,field,bacterial medium,none,bacteria yes,"108cfu/ml, 430seeds/m2",NA,field,NA,NA,NA,no,seeds,farmland,cropland,aridisol,not sandy,rhizosphere,7.3,0.863323,NA,NA,16.241299,1.210621,0.86,-0.065502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no native,wheat,"triticum aestivum spp.
vulgare cv. kirik",crop,730,Long-term,tp,unknow,ug/g,513.73,7.9,20,486.97,8.9,20,NA,NA,NA,NA,NA,7.35429,9.73714,0.280664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154286,0.274286,0.575363,NA,3231.638418,3322.033898,0.027588,NA,5107.344633,5649.717514,0.100926,NA,NA,NA,NA,NA,163.397555,551.727831,1.216869,NA,NA,NA,NA,-0.053495316,2.85E-05
24,"turan, metin(2012)",2012,29Â°55â n and 41Â°16â e,29.916667,41.266667,paenibacillus polymyxa rc05,pgpr,bacteria,field,bacterial medium,none,bacteria yes,"108cfu/ml, 430seeds/m2",NA,field,NA,NA,NA,no,seeds,farmland,cropland,aridisol,not sandy,rhizosphere,7.3,0.863323,NA,NA,16.241299,1.210621,0.86,-0.065502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no native,wheat,"triticum aestivum spp.
vulgare cv. kirik",crop,730,Long-term,tp,unknow,ug/g,513.73,7.9,20,489.97,8.3,20,NA,NA,NA,NA,NA,7.35429,9.66857,0.273597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154286,0.274286,0.575363,NA,3231.638418,3457.627119,0.067593,NA,5107.344633,5378.531073,0.051736,NA,NA,NA,NA,NA,163.397555,529.475559,1.175701,NA,NA,NA,NA,-0.047353671,2.62E-05
26,"garcia, c.(2000)",2000,murcia,37.98611,â1.13028,"pisolithus arhizus (pers. i.) rauschert (= p. tinctorius
(pers.) coker and couch)",ecm,fungi,field,fungal medium,none,fungal medium yes,NA,NA,field,NA,NA,NA,no,soils,forest,forest,haplocalcid,unknow,bulk,8.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,pinus halepensis miller,pinus halepensis miller,tree,1095,Long-term,tp,acid digestion,g/kg,17.4,0.71,4,20.4,0.59,4,ph,8.75,8.63,-0.013809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.159064695,0.000625368
