study.id,publication,pubyear,location,microbial.name,microbial.type,inoculant.type,experimental.type,inoculum.in.tr,inoculum.in.ck,inoculum,inoculation.amount,inoculation.amount.1,soil.weight,final.inoculation.amount,log10,unit,inoculant.quantity,inoculation.location,soil.use.type,soil.origin,soil.type,sandy.or.not.sandy,extraction.part,soil.ph,log10ph,soil.tc,log10tc,soil.soc,log10soc,tn,log10tn,tp,log10tp,organic.p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application.background,stress,specific.background,rate,fertilizer,fertilizer.type,supply.rate,native,plant,plant.latin,plant.type,experimental.duration,experimental.periods,variable,methods,unit.1,xc,sc,nc,xe,se,ne,ph,xc.1,sc.1,nc.1,xe.1,se.1,ne.1,X.yield.xc,sc.2,nc.2,xe.2,se.2,ne.2,X.plant.biomass.xc,sc.3,nc.3,xe.3,se.3,ne.3,X.leaf.biomass.xc,sc.4,na,nc.4,xe.4,se.4,na.1,ne.4,sd.se,X.shoot.biomass.xc,sc.5,na.2,nc.5,xe.5,se.5,na.3,ne.5,sd.se.1,X.root.biomass.xc,sc.6,na.4,nc.6,xe.6,se.6,na.5,ne.6,sd.se.2,RR,Vi
45,"krey, thomas(2011)",2011,rostock (n germany). ,enterobacter radicincitans dsm 16656,pgpr,bacteria,greenhouse,bacterial suspension,sterilized bacterial suspension ,bacteria yes,3.3*105 cells/g,na,6,330,2.51851394,cells/kg soil,yes,soils,na,other,stagnic cambisol,sandy,bulk,5.5,0.740363,na,na,14.095128,1.149069,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,unknow,maize,zea mays l.,crop,56,Short-term,phosphatase,acid pme,umol/g/h,0.849638,0.145763,4,0.826834,0.047458,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-0.027206427,0.008181729
45,"krey, thomas(2011)",2011,rostock (n germany). ,pseudomonas fluorescens dr54,pgpr,bacteria,greenhouse,bacterial suspension,sterilized bacterial suspension ,bacteria yes,3.3*105 cells/g,na,6,330,2.51851394,cells/kg soil,yes,soils,na,other,stagnic cambisol,sandy,bulk,5.5,0.740363,na,na,14.095128,1.149069,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,unknow,maize,zea mays l.,crop,56,Short-term,phosphatase,acid pme,umol/g/h,0.849638,0.145763,4,1.1227,0.09152,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.278681401,0.009019405
45,"krey, thomas(2011)",2011,rostock (n germany). ,enterobacter radicincitans dsm 16656,pgpr,bacteria,greenhouse,bacterial suspension,sterilized bacterial suspension ,bacteria yes,3.3*105 cells/g,na,6,330,2.51851394,cells/kg soil,yes,soils,na,other,stagnic cambisol,sandy,bulk,5.7,0.755875,na,na,14.443155,1.159662,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,fertilizer,cattle manure,na,unknow,maize,zea mays l.,crop,56,Short-term,phosphatase,acid pme,umol/g/h,0.785611,0.040678,4,0.830627,0.101695,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.055719078,0.004417636
45,"krey, thomas(2011)",2011,rostock (n germany). ,pseudomonas fluorescens dr54,pgpr,bacteria,greenhouse,bacterial suspension,sterilized bacterial suspension ,bacteria yes,3.3*105 cells/g,na,6,330,2.51851394,cells/kg soil,yes,soils,na,other,stagnic cambisol,sandy,bulk,5.7,0.755875,na,na,14.443155,1.159662,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,fertilizer,cattle manure,na,unknow,maize,zea mays l.,crop,56,Short-term,phosphatase,acid pme,umol/g/h,0.785611,0.040678,4,1.05869,0.03051,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.298325815,0.00087789
45,"krey, thomas(2011)",2011,rostock (n germany). ,enterobacter radicincitans dsm 16656,pgpr,bacteria,greenhouse,bacterial suspension,sterilized bacterial suspension ,bacteria yes,3.3*105 cells/g,na,6,330,2.51851394,cells/kg soil,yes,soils,na,other,stagnic cambisol,sandy,bulk,5.8,0.763428,na,na,14.965197,1.175082,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,fertilizer,biowaste compost,na,unknow,maize,zea mays l.,crop,56,Short-term,phosphatase,acid pme,umol/g/h,0.928363,0.071187,4,0.976769,0.223731,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.050827366,0.014586178
45,"krey, thomas(2011)",2011,rostock (n germany). ,pseudomonas fluorescens dr54,pgpr,bacteria,greenhouse,bacterial suspension,sterilized bacterial suspension ,bacteria yes,3.3*105 cells/g,na,6,330,2.51851394,cells/kg soil,yes,soils,na,other,stagnic cambisol,sandy,bulk,5.8,0.763428,na,na,14.965197,1.175082,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,fertilizer,biowaste compost,na,unknow,maize,zea mays l.,crop,56,Short-term,phosphatase,acid pme,umol/g/h,0.928363,0.071187,4,1.35399,0.15595,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.377388248,0.00478646
45,"krey, thomas(2011)",2011,rostock (n germany). ,enterobacter radicincitans dsm 16656,pgpr,bacteria,greenhouse,bacterial suspension,sterilized bacterial suspension ,bacteria yes,3.3*105 cells/g,na,6,330,2.51851394,cells/kg soil,yes,soils,na,other,stagnic cambisol,sandy,bulk,5.5,0.740363,na,na,14.095128,1.149069,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,unknow,oilseed rape,brassica napus l.,herbaceous plants,56,Short-term,phosphatase,acid pme,umol/g/h,0.841077,0.085071,4,0.919962,0.035995,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.089649151,0.002940317
45,"krey, thomas(2011)",2011,rostock (n germany). ,pseudomonas fluorescens dr54,pgpr,bacteria,greenhouse,bacterial suspension,sterilized bacterial suspension ,bacteria yes,3.3*105 cells/g,na,6,330,2.51851394,cells/kg soil,yes,soils,na,other,stagnic cambisol,sandy,bulk,5.5,0.740363,na,na,14.095128,1.149069,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,unknow,oilseed rape,brassica napus l.,herbaceous plants,56,Short-term,phosphatase,acid pme,umol/g/h,0.841077,0.085071,4,1.28024,0.11779,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.420119626,0.004673878
45,"krey, thomas(2011)",2011,rostock (n germany). ,enterobacter radicincitans dsm 16656,pgpr,bacteria,greenhouse,bacterial suspension,sterilized bacterial suspension ,bacteria yes,3.3*105 cells/g,na,6,330,2.51851394,cells/kg soil,yes,soils,na,other,stagnic cambisol,sandy,bulk,5.7,0.755875,na,na,14.443155,1.159662,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,fertilizer,cattle manure,na,unknow,oilseed rape,brassica napus l.,herbaceous plants,56,Short-term,phosphatase,acid pme,umol/g/h,0.819609,0.03272,4,0.963934,0.065436,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.16219543,0.001550501
45,"krey, thomas(2011)",2011,rostock (n germany). ,pseudomonas fluorescens dr54,pgpr,bacteria,greenhouse,bacterial suspension,sterilized bacterial suspension ,bacteria yes,3.3*105 cells/g,na,6,330,2.51851394,cells/kg soil,yes,soils,na,other,stagnic cambisol,sandy,bulk,5.7,0.755875,na,na,14.443155,1.159662,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,fertilizer,cattle manure,na,unknow,oilseed rape,brassica napus l.,herbaceous plants,56,Short-term,phosphatase,acid pme,umol/g/h,0.819609,0.03272,4,1.04936,0.06871,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.247108336,0.001470273
