study.id,publication,pubyear,location,microbial.name,microbial.type,inoculant.type,experimental.type,inoculum.in.tr,inoculum.in.ck,inoculum,inoculation.amount,inoculation.amount.1,soil.weight,final.inoculation.amount,log10,unit,inoculant.quantity,inoculation.location,soil.use.type,soil.origin,soil.type,sandy.or.not.sandy,extraction.part,soil.ph,log10ph,soil.tc,log10tc,soil.soc,log10soc,tn,log10tn,tp,log10tp,organic.p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application.background,stress,specific.background,rate,fertilizer,fertilizer.type,supply.rate,native,plant,plant.latin,plant.type,experimental.duration,experimental.periods,variable,methods,unit.1,xc,sc,nc,xe,se,ne,ph,xc.1,sc.1,nc.1,xe.1,se.1,ne.1,X.yield.xc,sc.2,nc.2,xe.2,se.2,ne.2,X.plant.biomass.xc,sc.3,nc.3,xe.3,se.3,ne.3,X.leaf.biomass.xc,sc.4,na,nc.4,xe.4,se.4,na.1,ne.4,sd.se,X.shoot.biomass.xc,sc.5,na.2,nc.5,xe.5,se.5,na.3,ne.5,sd.se.1,X.root.biomass.xc,sc.6,na.4,nc.6,xe.6,se.6,na.5,ne.6,sd.se.2,RR,Vi
1,josef kohler(2010),2009,murcia (se spain).,pseudomonas mendocinaÂ palleroni,pgpr,bacteria,greenhouse,bacterial suspension,sterilized bacterial suspension ,bacteria yes,1010cfu/pot,1010cfu/pot,0.7kg,14285714285,10.154902,cfu/kg soil,yes,soils,na,other,na,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,native,lettuce,l. sativaÂ l. cv. tafalla,herbaceous plants,35,Short-term,phosphatase,acid pme,nmolpnpg-1h-1,34,8.944272,5,108,22.36068,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.82,0.02,na,5,0.89,0.02,na,5,se,1.155770703,0.022414219
1,josef kohler(2010),2009,murcia (se spain).,pseudomonas mendocinaÂ palleroni,pgpr,bacteria,greenhouse,bacterial suspension,sterilized bacterial suspension ,bacteria yes,1010cfu/pot,1010cfu/pot,0.7kg,14285714285,10.154902,cfu/kg soil,yes,soils,na,other,na,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,dry,stress,dry,na,no fertilizer,na,na,native,lettuce,l. sativaÂ l. cv. tafalla,herbaceous plants,35,Short-term,phosphatase,acid pme,nmolpnpg-1h-1,71,6.708204,5,129,11.18034,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.61,0.02,na,5,0.66,0.02,na,5,se,0.597132527,0.003287674
1,josef kohler(2010),2009,murcia (se spain).,pseudomonas mendocinaÂ palleroni,pgpr,bacteria,greenhouse,bacterial suspension,sterilized bacterial suspension ,bacteria yes,1010cfu/pot,1010cfu/pot,0.7kg,14285714285,10.154902,cfu/kg soil,yes,soils,na,other,na,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,dry,stress,dry,na,no fertilizer,na,na,native,lettuce,l. sativaÂ l. cv. tafalla,herbaceous plants,35,Short-term,phosphatase,acid pme,nmolpnpg-1h-1,69,8.944272,5,118,8.944272,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.33,0.01,na,5,0.35,0.01,na,5,se,0.53657812,0.004509734
15,"el maaloum, sanae(2020)",2020,"marrakesh, morocco","myroides odoratus, alcaligenes feacalis, alcaligenes sp. (cife â ht30), alcaligenes sp. (ht18-mrl)",psb,bacteria,greenhouse,bacterial suspension,none,bacteria yes,"1*108 cfu/ml, 10ml/2kg",na,2kg,500000000,8.698970004,cfu/kg soil,yes,soils,farmland,cropland,na,unknow,rhizosphere,8.5,0.929419,na,na,2.842227,0.453659,na,na,na,na,na,na,na,na,na,na,8,0.90309,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,tomato,solanum lycopersicum âcampbell 33Ê¹,herbaceous plants,20,Short-term,phosphatase,acid pme,ug pnp/g/h,77.5967,4.888,4,94.0937,8.5543,4,ph,8.18114,0.20648,4,8.07066,0.19531,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.24,0.01,na,4,0.15,0.01,na,4,se,0.03,0.01,na,4,0.01,0.01,na,4,se,0.192766194,0.003058283
15,"el maaloum, sanae(2020)",2020,"marrakesh, morocco","myroides odoratus, alcaligenes feacalis, alcaligenes sp. (cife â ht30), alcaligenes sp. (ht18-mrl)",psb,bacteria,greenhouse,bacterial suspension,none,bacteria yes,"1*108 cfu/ml, 10ml/2kg",na,2kg,500000000,8.698970004,cfu/kg soil,yes,soils,farmland,cropland,na,unknow,rhizosphere,8.5,0.929419,na,na,2.842227,0.453659,na,na,na,na,na,na,na,na,na,na,8,0.90309,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,tomato,solanum lycopersicum âcampbell 33Ê¹,herbaceous plants,40,Short-term,phosphatase,acid pme,ug pnp/g/h,111.202,9.776,4,91.6497,9.1653,4,ph,7.95816,0.12277,4,8.0151,0.19531,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1.37,0.1,na,4,1.16,0.08,na,4,se,0.3,0.05,na,4,0.15,0.03,na,4,se,-0.193374666,0.004432314
15,"el maaloum, sanae(2020)",2020,"marrakesh, morocco","myroides odoratus, alcaligenes feacalis, alcaligenes sp. (cife â ht30), alcaligenes sp. (ht18-mrl)",psb,bacteria,greenhouse,bacterial suspension,none,bacteria yes,"1*108 cfu/ml, 10ml/2kg",na,2kg,500000000,8.698970004,cfu/kg soil,yes,soils,farmland,cropland,na,unknow,rhizosphere,8.5,0.929419,na,na,2.842227,0.453659,na,na,na,na,na,na,na,na,na,na,8,0.90309,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,tomato,solanum lycopersicum âcampbell 33Ê¹,herbaceous plants,60,Short-term,phosphatase,acid pme,ug pnp/g/h,197.352,6.11,4,161.303,9.165,4,ph,7.55662,0.03906,4,8.06556,0.20089,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3.07,0.01,na,4,2.61,0.26,na,4,se,0.61,0.15,na,4,0.95,0.22,na,4,se,-0.201704352,0.001046715
15,"el maaloum, sanae(2020)",2020,"marrakesh, morocco","myroides odoratus, alcaligenes feacalis, alcaligenes sp. (cife â ht30), alcaligenes sp. (ht18-mrl)",psb,bacteria,greenhouse,bacterial suspension,none,bacteria yes,"1*108 cfu/ml, 10ml/2kg",na,2kg,500000000,8.698970004,cfu/kg soil,yes,soils,farmland,cropland,na,unknow,rhizosphere,8.5,0.929419,na,na,2.842227,0.453659,na,na,na,na,na,na,na,na,na,na,8,0.90309,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,tomato,solanum lycopersicum âcampbell 33Ê¹,herbaceous plants,20,Short-term,phosphatase,alkaline pme,g/sol/h,73.1358,36.8072,4,88.9101,17.2089,4,ph,8.18114,0.20648,4,8.07066,0.19531,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.24,0.01,na,4,0.15,0.01,na,4,se,0.03,0.01,na,4,0.01,0.01,na,4,se,0.19530776,0.072686457
15,"el maaloum, sanae(2020)",2020,"marrakesh, morocco","myroides odoratus, alcaligenes feacalis, alcaligenes sp. (cife â ht30), alcaligenes sp. (ht18-mrl)",psb,bacteria,greenhouse,bacterial suspension,none,bacteria yes,"1*108 cfu/ml, 10ml/2kg",na,2kg,500000000,8.698970004,cfu/kg soil,yes,soils,farmland,cropland,na,unknow,rhizosphere,8.5,0.929419,na,na,2.842227,0.453659,na,na,na,na,na,na,na,na,na,na,8,0.90309,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,tomato,solanum lycopersicum âcampbell 33Ê¹,herbaceous plants,40,Short-term,phosphatase,alkaline pme,g/sol/h,89.3881,4,4,106.119,4.302,4,ph,7.95816,0.12277,4,8.0151,0.19531,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1.37,0.1,na,4,1.16,0.08,na,4,se,0.3,0.05,na,4,0.15,0.03,na,4,se,0.171573542,0.000911472
15,"el maaloum, sanae(2020)",2020,"marrakesh, morocco","myroides odoratus, alcaligenes feacalis, alcaligenes sp. (cife â ht30), alcaligenes sp. (ht18-mrl)",psb,bacteria,greenhouse,bacterial suspension,none,bacteria yes,"1*108 cfu/ml, 10ml/2kg",na,2kg,500000000,8.698970004,cfu/kg soil,yes,soils,farmland,cropland,na,unknow,rhizosphere,8.5,0.929419,na,na,2.842227,0.453659,na,na,na,na,na,na,na,na,na,na,8,0.90309,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,tomato,solanum lycopersicum âcampbell 33Ê¹,herbaceous plants,60,Short-term,phosphatase,alkaline pme,g/sol/h,141.013,9.561,4,120.459,22.466,4,ph,7.55662,0.03906,4,8.06556,0.20089,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3.07,0.01,na,4,2.61,0.26,na,4,se,0.61,0.15,na,4,0.95,0.22,na,4,se,-0.157542639,0.009845156
22,"hidri, rabaa(2019)",2019,granada,pseudomonas sp.,pgpr,bacteria,greenhouse,bacterial suspension,none,bacteria yes,"1*108 cfu/ml, 1ml/0.5kg",na,0.5kg,200000000,8.301029996,cfu/kg soil,yes,soils,na,other,loam,not sandy,rhizosphere,8.1,0.908485,na,na,8.700696,0.939554,1.9,0.278754,1,0,27,1.431364,na,na,na,na,na,na,na,na,unsterilization,na,stress,salt,na,no fertilizer,na,na,no native,sulla,sulla coronaria cv. bikra 21,herbaceous plants,60,Short-term,phosphatase,alkaline pme,umol pnf g/h,466.64,NA,NA,263.64,NA,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.325638,0.034314,0.359952,5,0.310214,0.020588,0.330802,5,se,0.677012,0.110204,0.787216,5,1.30573,0.16529,1.47102,5,se,-0.570973546,3.401919208
