study.id,publication,pubyear,location,microbial.name,microbial.type,inoculant.type,experimental.type,inoculum.in.tr,inoculum.in.ck,inoculum,inoculation.amount,inoculation.amount.1,soil.weight,final.inoculation.amount,log10,unit,inoculant.quantity,inoculation.location,soil.use.type,soil.origin,soil.type,sandy.or.not.sandy,extraction.part,soil.ph,log10ph,soil.tc,log10tc,soil.soc,log10soc,tn,log10tn,tp,log10tp,organic.p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application.background,stress,specific.background,rate,fertilizer,fertilizer.type,supply.rate,native,plant,plant.latin,plant.type,experimental.duration,experimental.periods,variable,methods,unit.1,xc,sc,nc,xe,se,ne,ph,xc.1,sc.1,nc.1,xe.1,se.1,ne.1,X.yield.xc,sc.2,nc.2,xe.2,se.2,ne.2,X.plant.biomass.xc,sc.3,nc.3,xe.3,se.3,ne.3,X.leaf.biomass.xc,sc.4,na,nc.4,xe.4,se.4,na.1,ne.4,sd.se,X.shoot.biomass.xc,sc.5,na.2,nc.5,xe.5,se.5,na.3,ne.5,sd.se.1,X.root.biomass.xc,sc.6,na.4,nc.6,xe.6,se.6,na.5,ne.6,sd.se.2,RR,Vi
138,"Ã§akmakÃ§Ä±, ramazan(2023)",2023,atatÃ¼rk university,"bacillus amyloliquefaciens
rc613",pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,"1*109cfu/ml, 5ml/root",na,na,5000000000,9.698970004,cfu/root,yes,roots,farmland,cropland,sandy loam,sandy,rhizosphere,na,na,na,na,18.561485,1.268613,na,na,na,na,na,na,na,na,na,na,16.2,1.209515,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,oregano,origanum onites l.,herbaceous plants,90,Short-term,phosphatase,acid pme,umol pnp/g/h,1.48143,0.43212,5,2.54398,0.936242,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8.5,na,na,5,11.3,na,na,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.540721946,0.044104863
138,"Ã§akmakÃ§Ä±, ramazan(2023)",2023,atatÃ¼rk university,bacillus megaterium rc636,pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,"1*109cfu/ml, 5ml/root",na,na,5000000000,9.698970004,cfu/root,yes,roots,farmland,cropland,sandy loam,sandy,rhizosphere,na,na,na,na,18.561485,1.268613,na,na,na,na,na,na,na,na,na,na,16.2,1.209515,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,oregano,origanum onites l.,herbaceous plants,90,Short-term,phosphatase,acid pme,umol pnp/g/h,1.48143,0.43212,5,1.85116,0.876248,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8.5,na,na,5,10.9,na,na,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.222804632,0.061828933
138,"Ã§akmakÃ§Ä±, ramazan(2023)",2023,atatÃ¼rk university,bacillus megaterium rc213,pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,"1*109cfu/ml, 5ml/root",na,na,5000000000,9.698970004,cfu/root,yes,roots,farmland,cropland,sandy loam,sandy,rhizosphere,na,na,na,na,18.561485,1.268613,na,na,na,na,na,na,na,na,na,na,16.2,1.209515,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,oregano,origanum onites l.,herbaceous plants,90,Short-term,phosphatase,acid pme,umol pnp/g/h,1.48143,0.43212,5,1.97429,0.924256,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8.5,na,na,5,10.9,na,na,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.287201003,0.060848882
138,"Ã§akmakÃ§Ä±, ramazan(2023)",2023,atatÃ¼rk university,bacillus megaterium rc42,pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,"1*109cfu/ml, 5ml/root",na,na,5000000000,9.698970004,cfu/root,yes,roots,farmland,cropland,sandy loam,sandy,rhizosphere,na,na,na,na,18.561485,1.268613,na,na,na,na,na,na,na,na,na,na,16.2,1.209515,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,oregano,origanum onites l.,herbaceous plants,90,Short-term,phosphatase,acid pme,umol pnp/g/h,1.48143,0.43212,5,2.16183,0.516152,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8.5,na,na,5,9.7,na,na,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.377947248,0.028417723
138,"Ã§akmakÃ§Ä±, ramazan(2023)",2023,atatÃ¼rk university,bacillus pumilus rc125,pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,"1*109cfu/ml, 5ml/root",na,na,5000000000,9.698970004,cfu/root,yes,roots,farmland,cropland,sandy loam,sandy,rhizosphere,na,na,na,na,18.561485,1.268613,na,na,na,na,na,na,na,na,na,na,16.2,1.209515,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,oregano,origanum onites l.,herbaceous plants,90,Short-term,phosphatase,acid pme,umol pnp/g/h,1.48143,0.43212,5,1.89309,1.224359,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8.5,na,na,5,8.1,na,na,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.245202577,0.100674272
138,"Ã§akmakÃ§Ä±, ramazan(2023)",2023,atatÃ¼rk university,bacillus pumilus rc39,pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,"1*109cfu/ml, 5ml/root",na,na,5000000000,9.698970004,cfu/root,yes,roots,farmland,cropland,sandy loam,sandy,rhizosphere,na,na,na,na,18.561485,1.268613,na,na,na,na,na,na,na,na,na,na,16.2,1.209515,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,oregano,origanum onites l.,herbaceous plants,90,Short-term,phosphatase,acid pme,umol pnp/g/h,1.48143,0.43212,5,1.35058,1.008288,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8.5,na,na,5,9.7,na,na,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-0.092473708,0.128486888
138,"Ã§akmakÃ§Ä±, ramazan(2023)",2023,atatÃ¼rk university,bacillus simplex rc236,pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,"1*109cfu/ml, 5ml/root",na,na,5000000000,9.698970004,cfu/root,yes,roots,farmland,cropland,sandy loam,sandy,rhizosphere,na,na,na,na,18.561485,1.268613,na,na,na,na,na,na,na,na,na,na,16.2,1.209515,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,oregano,origanum onites l.,herbaceous plants,90,Short-term,phosphatase,acid pme,umol pnp/g/h,1.48143,0.43212,5,1.87095,0.924256,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8.5,na,na,5,8.3,na,na,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.233438486,0.065824651
138,"Ã§akmakÃ§Ä±, ramazan(2023)",2023,atatÃ¼rk university,bacillus simplex te142,pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,"1*109cfu/ml, 5ml/root",na,na,5000000000,9.698970004,cfu/root,yes,roots,farmland,cropland,sandy loam,sandy,rhizosphere,na,na,na,na,18.561485,1.268613,na,na,na,na,na,na,na,na,na,na,16.2,1.209515,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,oregano,origanum onites l.,herbaceous plants,90,Short-term,phosphatase,acid pme,umol pnp/g/h,1.48143,0.43212,5,2.27859,0.972287,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8.5,na,na,5,11.5,na,na,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.430548993,0.053432269
138,"Ã§akmakÃ§Ä±, ramazan(2023)",2023,atatÃ¼rk university,bacillus subtilis te565,pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,"1*109cfu/ml, 5ml/root",na,na,5000000000,9.698970004,cfu/root,yes,roots,farmland,cropland,sandy loam,sandy,rhizosphere,na,na,na,na,18.561485,1.268613,na,na,na,na,na,na,na,na,na,na,16.2,1.209515,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,oregano,origanum onites l.,herbaceous plants,90,Short-term,phosphatase,acid pme,umol pnp/g/h,1.48143,0.43212,5,1.97228,0.924256,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8.5,na,na,5,10.9,na,na,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.286182396,0.060938269
138,"Ã§akmakÃ§Ä±, ramazan(2023)",2023,atatÃ¼rk university,bacillus subtilis te28,pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,"1*109cfu/ml, 5ml/root",na,na,5000000000,9.698970004,cfu/root,yes,roots,farmland,cropland,sandy loam,sandy,rhizosphere,na,na,na,na,18.561485,1.268613,na,na,na,na,na,na,na,na,na,na,16.2,1.209515,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,oregano,origanum onites l.,herbaceous plants,90,Short-term,phosphatase,acid pme,umol pnp/g/h,1.48143,0.43212,5,1.45123,1.080312,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8.5,na,na,5,8.1,na,na,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-0.020596365,0.127846378
