study.id,publication,pubyear,location,microbial.name,microbial.type,inoculant.type,experimental.type,inoculum.in.tr,inoculum.in.ck,inoculum,inoculation.amount,inoculation.amount.1,soil.weight,final.inoculation.amount,log10,unit,inoculant.quantity,inoculation.location,soil.use.type,soil.origin,soil.type,sandy.or.not.sandy,extraction.part,soil.ph,log10ph,soil.tc,log10tc,soil.soc,log10soc,tn,log10tn,tp,log10tp,organic.p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application.background,stress,specific.background,rate,fertilizer,fertilizer.type,supply.rate,native,plant,plant.latin,plant.type,experimental.duration,experimental.periods,variable,methods,unit.1,xc,sc,nc,xe,se,ne,ph,xc.1,sc.1,nc.1,xe.1,se.1,ne.1,X.yield.xc,sc.2,nc.2,xe.2,se.2,ne.2,X.plant.biomass.xc,sc.3,nc.3,xe.3,se.3,ne.3,X.leaf.biomass.xc,sc.4,na,nc.4,xe.4,se.4,na.1,ne.4,sd.se,X.shoot.biomass.xc,sc.5,na.2,nc.5,xe.5,se.5,na.3,ne.5,sd.se.1,X.root.biomass.xc,sc.6,na.4,nc.6,xe.6,se.6,na.5,ne.6,sd.se.2,RR,Vi
255,"chaudhary,parul(2022)",2022,"southward of shivalik
himalayas (79Â°e longitude and 29Â°n latitude)",bacillus sp. ps2,pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,2*106cfu/seed,na,na,2000000,6.301029996,cfu/seed,yes,seeds,na,other,na,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,maize,na,crop,20,Short-term,phosphatase,alkaline pme,ug/g/h,167.702,7.246,3,307.453,10.352,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.606133635,0.001000193
255,"chaudhary,parul(2022)",2022,"southward of shivalik
himalayas (79Â°e longitude and 29Â°n latitude)",bacillus sp. ps10,pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,2*106cfu/seed,na,na,2000000,6.301029996,cfu/seed,yes,seeds,na,other,na,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,maize,na,crop,20,Short-term,phosphatase,alkaline pme,ug/g/h,167.702,7.246,3,317.805,7.247,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.639249392,0.000795629
255,"chaudhary,parul(2022)",2022,"southward of shivalik
himalayas (79Â°e longitude and 29Â°n latitude)",bacillus sp. ps2,pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,2*106cfu/seed,na,na,2000000,6.301029996,cfu/seed,yes,seeds,na,other,na,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,maize,na,crop,40,Short-term,phosphatase,alkaline pme,ug/g/h,170.807,10.352,3,318.841,2.07,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.624158282,0.001238429
255,"chaudhary,parul(2022)",2022,"southward of shivalik
himalayas (79Â°e longitude and 29Â°n latitude)",bacillus sp. ps10,pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,2*106cfu/seed,na,na,2000000,6.301029996,cfu/seed,yes,seeds,na,other,na,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,maize,na,crop,40,Short-term,phosphatase,alkaline pme,ug/g/h,170.807,10.352,3,321.946,5.176,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.633849565,0.001310538
255,"chaudhary,parul(2022)",2022,"southward of shivalik
himalayas (79Â°e longitude and 29Â°n latitude)",bacillus sp. ps2,pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,2*106cfu/seed,na,na,2000000,6.301029996,cfu/seed,yes,seeds,na,other,na,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,maize,na,crop,60,Short-term,phosphatase,alkaline pme,ug/g/h,218.427,6.211,3,425.466,10.352,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.666733176,0.000466851
255,"chaudhary,parul(2022)",2022,"southward of shivalik
himalayas (79Â°e longitude and 29Â°n latitude)",bacillus sp. ps10,pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,2*106cfu/seed,na,na,2000000,6.301029996,cfu/seed,yes,seeds,na,other,na,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,maize,na,crop,60,Short-term,phosphatase,alkaline pme,ug/g/h,218.427,6.211,3,423.395,13.458,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.661853687,0.0006063
338,"kaur, gurdeep(2013)",2013,"pojewal, punjab, india",psb-3,bacteria,bacteria,field,bacterial suspension,water,bacteria yes,na,na,na,300000,5.477121255,cfu/seed,yes,seeds,farmland,cropland,na,sandy,rhizosphere,8.4,0.924279,na,na,4,0.60206,0.3,-0.522879,0.219,-0.659556,na,na,na,na,na,na,4,0.60206,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,native,maize,na,crop,120,Medium-term,phosphatase,acid pme,na,370,1.2,3,471,2.8,3,ph,8.33,0.03,3,7.84,0.02,3,5.66,0.14,3,6.61,0.05,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,36.4,1.9,na,3,47,1.3,na,3,sd,9.7,1,na,3,11.3,0.3,na,3,sd,0.241355088,1.53E-05
338,"kaur, gurdeep(2013)",2013,"pojewal, punjab, india",psb-5,bacteria,bacteria,field,bacterial suspension,water,bacteria yes,na,na,na,300000,5.477121255,cfu/seed,yes,seeds,farmland,cropland,na,sandy,rhizosphere,8.4,0.924279,na,na,4,0.60206,0.3,-0.522879,0.219,-0.659556,na,na,na,na,na,na,4,0.60206,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,native,maize,na,crop,120,Medium-term,phosphatase,acid pme,na,370,1.2,3,479,3.6,3,ph,8.33,0.03,3,7.85,0.01,3,5.66,0.14,3,6.66,0.03,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,36.4,1.9,na,3,47.4,10.1,na,3,sd,9.7,1,na,3,11.3,0.3,na,3,sd,0.258197592,2.23E-05
338,"kaur, gurdeep(2013)",2013,"pojewal, punjab, india",psb-3,bacteria,bacteria,field,bacterial suspension,water,bacteria yes,na,na,na,300000,5.477121255,cfu/seed,yes,seeds,farmland,cropland,na,sandy,rhizosphere,8.4,0.924279,na,na,4,0.60206,0.3,-0.522879,0.219,-0.659556,na,na,na,na,na,na,4,0.60206,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,native,maize,na,crop,120,Medium-term,phosphatase,alkaline pme,na,530,1.8,3,712,13.1,3,ph,8.33,0.03,3,7.84,0.02,3,5.66,0.14,3,6.61,0.05,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,36.4,1.9,na,3,47,1.3,na,3,sd,9.7,1,na,3,11.3,0.3,na,3,sd,0.295200905,0.000116684
338,"kaur, gurdeep(2013)",2013,"pojewal, punjab, india",psb-5,bacteria,bacteria,field,bacterial suspension,water,bacteria yes,na,na,na,300000,5.477121255,cfu/seed,yes,seeds,farmland,cropland,na,sandy,rhizosphere,8.4,0.924279,na,na,4,0.60206,0.3,-0.522879,0.219,-0.659556,na,na,na,na,na,na,4,0.60206,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,native,maize,na,crop,120,Medium-term,phosphatase,alkaline pme,na,530,1.8,3,699,61.7,3,ph,8.33,0.03,3,7.85,0.01,3,5.66,0.14,3,6.66,0.03,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,36.4,1.9,na,3,47.4,10.1,na,3,sd,9.7,1,na,3,11.3,0.3,na,3,sd,0.276773736,0.002600981
