study.id,publication,pubyear,location,Latitude,Longitude,microbial.name,microbial.type,inoculant.type,experimental.type,inoculum.in.tr,inoculum.in.ck,inoculum,inoculation.amount,inoculation.amount.1,soil.weight,final.inoculation.amount,log10,unit,inoculant.quantity,inoculation.location,soil.use.type,soil.origin,soil.type,sandy.or.not.sandy,extraction.part,soil.ph,log10ph,soil.tc,log10tc,soil.soc,log10soc,tn,log10tn,tp,log10tp,organic.p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application.background,stress,specific.background,rate,fertilizer,fertilizer.type,supply.rate,native,plant,plant.latin,plant.type,experimental.duration,experimental.periods,variable,methods,unit.1,xc,sc,nc,xe,se,ne,ph,xc.1,xe.1,RRpH,yield,xc.2,xe.2,RRyield,plant.biomass,xc.3,xe.3,RRbiomass,leaf.biomass,xc.4,xe.4,RRleaf_biomass,shoot.biomass,xc.5,xe.5,RRshoot_biomass,root.biomass,xc.6,xe.6,RRroot_biomass,plant_p_leaf,xc.7,xe.7,RR_pleaf,plant_p_grain,xc.8,xe.8,RR_pgrain,plant_p_shoot,xc.9,xe.9,RR_pshoot,plant_p_root,xc.10,xe.10,RR_proot,plant_p,xc.11,xe.11,RR_pplant,RR,Vi
1,josef kohler(2009),2009,murcia (se spain).,37.98611,â1.13028,glomus intraradicesÂ (schenk and smith),amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum ,amf yes,1010cfu/pot,1010cfu/pot,0.7kg,14285714285,10.154902,cfu/kg soil,yes,soils,NA,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no native,lettuce,l. sativaÂ l. cv. tafalla,herbaceous plants,35,Short-term,phosphatase,acid pme,nmolpnpg-1h-1,34,8.944272,5,135,20.124612,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,0.64,-0.247836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.378914254,0.018285275
1,josef kohler(2009),2009,murcia (se spain).,37.98611,â1.13028,glomus intraradicesÂ (schenk and smith),amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum ,amf yes,1010cfu/pot,1010cfu/pot,0.7kg,14285714285,10.154902,cfu/kg soil,yes,soils,NA,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,dry,stress,dry,NA,no fertilizer,NA,NA,no native,lettuce,l. sativaÂ l. cv. tafalla,herbaceous plants,35,Short-term,phosphatase,acid pme,nmolpnpg-1h-1,71,6.708204,5,198,20.124612,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,0.54,-0.12189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.025587154,0.003851476
1,josef kohler(2009),2009,murcia (se spain).,37.98611,â1.13028,glomus intraradicesÂ (schenk and smith),amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum ,amf yes,1010cfu/pot,1010cfu/pot,0.7kg,14285714285,10.154902,cfu/kg soil,yes,soils,NA,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,dry,stress,dry,NA,no fertilizer,NA,NA,no native,lettuce,l. sativaÂ l. cv. tafalla,herbaceous plants,35,Short-term,phosphatase,acid pme,nmolpnpg-1h-1,69,8.944272,5,127,4.472136,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.37,0.11441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.610080582,0.003608639
1,josef kohler(2010),2009,murcia (se spain).,37.98611,â1.13028,pseudomoNAs mendociNAÂ palleroni,pgpr,bacteria,greenhouse,bacterial suspension,sterilized bacterial suspension ,bacteria yes,1010cfu/pot,1010cfu/pot,0.7kg,14285714285,10.154902,cfu/kg soil,yes,soils,NA,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,native,lettuce,l. sativaÂ l. cv. tafalla,herbaceous plants,35,Short-term,phosphatase,acid pme,nmolpnpg-1h-1,34,8.944272,5,108,22.36068,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,0.89,0.081917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.155770703,0.022414219
1,josef kohler(2010),2009,murcia (se spain).,37.98611,â1.13028,pseudomoNAs mendociNAÂ palleroni,pgpr,bacteria,greenhouse,bacterial suspension,sterilized bacterial suspension ,bacteria yes,1010cfu/pot,1010cfu/pot,0.7kg,14285714285,10.154902,cfu/kg soil,yes,soils,NA,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,dry,stress,dry,NA,no fertilizer,NA,NA,native,lettuce,l. sativaÂ l. cv. tafalla,herbaceous plants,35,Short-term,phosphatase,acid pme,nmolpnpg-1h-1,71,6.708204,5,129,11.18034,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,0.66,0.078781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.597132527,0.003287674
1,josef kohler(2010),2009,murcia (se spain).,37.98611,â1.13028,pseudomoNAs mendociNAÂ palleroni,pgpr,bacteria,greenhouse,bacterial suspension,sterilized bacterial suspension ,bacteria yes,1010cfu/pot,1010cfu/pot,0.7kg,14285714285,10.154902,cfu/kg soil,yes,soils,NA,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,dry,stress,dry,NA,no fertilizer,NA,NA,native,lettuce,l. sativaÂ l. cv. tafalla,herbaceous plants,35,Short-term,phosphatase,acid pme,nmolpnpg-1h-1,69,8.944272,5,118,8.944272,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.35,0.058841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53657812,0.004509734
1,josef kohler(2010),2009,murcia (se spain).,37.98611,â1.13028,glomus mosseaeÂ (nicol and gerd.) gerd. and trappe,amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum ,amf yes,1010cfu/pot,1010cfu/pot,0.7kg,14285714285,10.154902,cfu/kg soil,yes,soils,NA,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no native,lettuce,l. sativaÂ l. cv. tafalla,herbaceous plants,35,Short-term,phosphatase,acid pme,nmolpnpg-1h-2,34,8.944272,5,97,26.832816,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,0.73,-0.11626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.048350454,0.029145327
1,josef kohler(2010),2009,murcia (se spain).,37.98611,â1.13028,glomus mosseaeÂ (nicol and gerd.) gerd. and trappe,amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum ,amf yes,1010cfu/pot,1010cfu/pot,0.7kg,14285714285,10.154902,cfu/kg soil,yes,soils,NA,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,dry,stress,dry,NA,no fertilizer,NA,NA,no native,lettuce,l. sativaÂ l. cv. tafalla,herbaceous plants,35,Short-term,phosphatase,acid pme,nmolpnpg-1h-2,71,6.708204,5,160,24.596748,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,0.58,-0.050431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.812493938,0.006511923
1,josef kohler(2010),2009,murcia (se spain).,37.98611,â1.13028,glomus mosseaeÂ (nicol and gerd.) gerd. and trappe,amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum ,amf yes,1010cfu/pot,1010cfu/pot,0.7kg,14285714285,10.154902,cfu/kg soil,yes,soils,NA,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,dry,stress,dry,NA,no fertilizer,NA,NA,no native,lettuce,l. sativaÂ l. cv. tafalla,herbaceous plants,35,Short-term,phosphatase,acid pme,nmolpnpg-1h-2,69,8.944272,5,135,2.236068,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.32,-0.030772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.671168274,0.003415508
1,josef kohler(2010),2009,murcia (se spain).,37.98611,â1.13028,"pseudomoNAs mendociNAÂ palleroni, glomus intraradicesÂ (schenk and smith)",mix,mix,greenhouse,mix inoculum,sterilized mix inoculum ,mix yes,1010cfu/pot,1010cfu/pot,0.7kg,14285714285,10.154902,cfu/kg soil,yes,soils,NA,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no native,lettuce,l. sativaÂ l. cv. tafalla,herbaceous plants,35,Short-term,phosphatase,acid pme,nmolpnpg-1h-2,34,8.944272,5,112,11.18034,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,0.73,-0.11626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.192138347,0.015833815
