study.id,publication,pubyear,location,microbial.name,microbial.type,inoculant.type,experimental.type,inoculum.in.tr,inoculum.in.ck,inoculum,inoculation.amount,inoculation.amount.1,soil.weight,final.inoculation.amount,log10,unit,inoculant.quantity,inoculation.location,soil.use.type,soil.origin,soil.type,sandy.or.not.sandy,extraction.part,soil.ph,log10ph,soil.tc,log10tc,soil.soc,log10soc,tn,log10tn,tp,log10tp,organic.p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application.background,stress,specific.background,rate,fertilizer,fertilizer.type,supply.rate,native,plant,plant.latin,plant.type,experimental.duration,experimental.periods,variable,methods,unit.1,xc,sc,nc,xe,se,ne,ph,xc.1,sc.1,nc.1,xe.1,se.1,ne.1,X.yield.xc,sc.2,nc.2,xe.2,se.2,ne.2,X.plant.biomass.xc,sc.3,nc.3,xe.3,se.3,ne.3,X.leaf.biomass.xc,sc.4,na,nc.4,xe.4,se.4,na.1,ne.4,sd.se,X.shoot.biomass.xc,sc.5,na.2,nc.5,xe.5,se.5,na.3,ne.5,sd.se.1,X.root.biomass.xc,sc.6,na.4,nc.6,xe.6,se.6,na.5,ne.6,sd.se.2,RR,Vi
23,"zhang, huanshi(2011)",2011,32Â°30â² n and 118Â°42â² e,mortierella sp.,psf,fungi,greenhouse,fungal suspension,sterilized fungal suspension,fungi yes,"1.3*105 cfu/ml,10ml/pot",na,0.9kg,14444445,7.15970086,cfu/kg soil,yes,soils,mix of soil and sand,other,na,sandy,rhizosphere,7.73536,0.888481,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,kostelelzkya virginica,kostelelzkya virginica,herbaceous plants,90,Short-term,phosphatase,pde,mg /g/d,0.389543,0.050624,3,0.847923,0.116434,3,ph,7.73536,0.730146,3,7.44028,0.401576,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.239915,0.008471,0.248386,3,0.248083,0.020127,0.26821,3,se,0.045343,0.003972,0.049314,3,0.051631,0.003641,0.055272,3,se,0.777815573,0.011914936
23,"zhang, huanshi(2011)",2011,32Â°30â² n and 118Â°42â² e,mortierella sp.,psf,fungi,greenhouse,fungal suspension,sterilized fungal suspension,fungi yes,1.3*105 cfu/ml,na,0.9kg,14444445,7.15970086,cfu/kg soil,yes,soils,mix of soil and sand,other,na,sandy,bulk,7.175,0.855822,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,kostelelzkya virginica,kostelelzkya virginica,herbaceous plants,90,Short-term,phosphatase,pde,mg /g/d,0.173359,0.050953,3,0.34707,0.054582,3,ph,7.175,0.223764,3,7.23648,0.111873,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.239915,0.008471,0.248386,3,0.248083,0.020127,0.26821,3,se,0.045343,0.003972,0.049314,3,0.051631,0.003641,0.055272,3,se,0.6941619,0.037039661
23,"zhang, huanshi(2011)",2011,32Â°30â² n and 118Â°42â² e,mortierella sp.,psf,fungi,greenhouse,fungal suspension,sterilized fungal suspension,fungi yes,1.3*105 cfu/ml,na,0.9kg,14444445,7.15970086,cfu/kg soil,yes,soils,mix of soil and sand,other,na,sandy,rhizosphere,7.1452,0.854014,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,stress,salt,100,no fertilizer,na,na,no native,kostelelzkya virginica,kostelelzkya virginica,herbaceous plants,90,Short-term,phosphatase,pde,mg /g/d,0.402174,0.055687,3,0.626738,0.116435,3,ph,7.1452,0.693634,3,7.25059,0.328553,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.145149,0.008478,0.153627,3,0.268786,0.027542,0.296328,3,se,0.033428,0.002979,0.036407,3,0.072482,0.006288,0.078771,3,se,0.44364376,0.017895507
23,"zhang, huanshi(2011)",2011,32Â°30â² n and 118Â°42â² e,mortierella sp.,psf,fungi,greenhouse,fungal suspension,sterilized fungal suspension,fungi yes,1.3*105 cfu/ml,na,0.9kg,14444445,7.15970086,cfu/kg soil,yes,soils,mix of soil and sand,other,na,sandy,bulk,6.38416,0.805104,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,stress,salt,100,no fertilizer,na,na,no native,kostelelzkya virginica,kostelelzkya virginica,herbaceous plants,90,Short-term,phosphatase,pde,mg /g/d,0.157806,0.014568,3,0.692856,0.080064,3,ph,6.38416,0.410271,3,6.46723,0.298346,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.145149,0.008478,0.153627,3,0.268786,0.027542,0.296328,3,se,0.033428,0.002979,0.036407,3,0.072482,0.006288,0.078771,3,se,1.479455755,0.007291841
23,"zhang, huanshi(2011)",2011,32Â°30â² n and 118Â°42â² e,mortierella sp.,psf,fungi,greenhouse,fungal suspension,sterilized fungal suspension,fungi yes,1.3*105 cfu/ml,na,0.9kg,14444445,7.15970086,cfu/kg soil,yes,soils,mix of soil and sand,other,na,sandy,rhizosphere,7.03981,0.847561,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,stress,salt,200,no fertilizer,na,na,no native,kostelelzkya virginica,kostelelzkya virginica,herbaceous plants,90,Short-term,phosphatase,pde,mg /g/d,0.528793,0.075935,3,0.78843,0.126559,3,ph,7.03981,0.474599,3,6.53396,0.657123,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.09065,0.009534,0.100183,3,0.216399,0.018008,0.234407,3,se,0.016549,0.000993,0.017541,3,0.035083,0.005296,0.040378,3,se,0.399446575,0.015462632
23,"zhang, huanshi(2011)",2011,32Â°30â² n and 118Â°42â² e,mortierella sp.,psf,fungi,greenhouse,fungal suspension,sterilized fungal suspension,fungi yes,1.3*105 cfu/ml,na,0.9kg,14444445,7.15970086,cfu/kg soil,yes,soils,mix of soil and sand,other,na,sandy,bulk,6.90677,0.839275,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,stress,salt,200,no fertilizer,na,na,no native,kostelelzkya virginica,kostelelzkya virginica,herbaceous plants,90,Short-term,phosphatase,pde,mg /g/d,0.098136,0.018195,3,0.784446,0.043665,3,ph,6.90677,0.335654,3,6.5161,0.223764,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.09065,0.009534,0.100183,3,0.216399,0.018008,0.234407,3,se,0.016549,0.000993,0.017541,3,0.035083,0.005296,0.040378,3,se,2.078623464,0.012491266
23,"zhang, huanshi(2011)",2011,32Â°30â² n and 118Â°42â² e,mortierella sp.,psf,fungi,greenhouse,fungal suspension,sterilized fungal suspension,fungi yes,1.3*105 cfu/ml,na,0.9kg,14444445,7.15970086,cfu/kg soil,yes,soils,mix of soil and sand,other,na,sandy,rhizosphere,6.89227,0.838362,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,stress,salt,300,no fertilizer,na,na,no native,kostelelzkya virginica,kostelelzkya virginica,herbaceous plants,90,Short-term,phosphatase,pde,mg /g/d,0.24038,0.025312,3,0.497094,0.075937,3,ph,6.89227,0.657123,3,6.53396,0.803152,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.062624,0.004237,0.066861,3,0.190498,0.010593,0.201091,3,se,0.012246,0.001986,0.014232,3,0.031442,0.004303,0.035745,3,se,0.726558138,0.011474754
23,"zhang, huanshi(2011)",2011,32Â°30â² n and 118Â°42â² e,mortierella sp.,psf,fungi,greenhouse,fungal suspension,sterilized fungal suspension,fungi yes,1.3*105 cfu/ml,na,0.9kg,14444445,7.15970086,cfu/kg soil,yes,soils,mix of soil and sand,other,na,sandy,bulk,7.94608,0.900153,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,stress,salt,300,no fertilizer,na,na,no native,kostelelzkya virginica,kostelelzkya virginica,herbaceous plants,90,Short-term,phosphatase,pde,mg /g/d,0.154013,0.036387,3,0.693277,0.054582,3,ph,7.94608,0.298398,3,7.01719,0.223746,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.062624,0.004237,0.066861,3,0.190498,0.010593,0.201091,3,se,0.012246,0.001986,0.014232,3,0.031442,0.004303,0.035745,3,se,1.504392616,0.020672309
23,"zhang, huanshi(2011)",2011,32Â°30â² n and 118Â°42â² e,mortierella sp.,psf,fungi,greenhouse,fungal suspension,sterilized fungal suspension,fungi yes,1.3*105 cfu/ml,na,0.9kg,14444445,7.15970086,cfu/kg soil,yes,soils,mix of soil and sand,other,na,sandy,rhizosphere,7.73536,0.888481,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,kostelelzkya virginica,kostelelzkya virginica,herbaceous plants,90,Short-term,phosphatase,alkaline pme,mg /g/d,0.784694,0.074179,3,1.31516,0.17802,3,ph,7.73536,0.730146,3,7.44028,0.401576,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.239915,0.008471,0.248386,3,0.248083,0.020127,0.26821,3,se,0.045343,0.003972,0.049314,3,0.051631,0.003641,0.055272,3,se,0.516419777,0.00908623
23,"zhang, huanshi(2011)",2011,32Â°30â² n and 118Â°42â² e,mortierella sp.,psf,fungi,greenhouse,fungal suspension,sterilized fungal suspension,fungi yes,1.3*105 cfu/ml,na,0.9kg,14444445,7.15970086,cfu/kg soil,yes,soils,mix of soil and sand,other,na,sandy,bulk,7.175,0.855822,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,kostelelzkya virginica,kostelelzkya virginica,herbaceous plants,90,Short-term,phosphatase,alkaline pme,mg /g/d,0.668058,0.115711,3,1.33612,0.216957,3,ph,7.175,0.223764,3,7.23648,0.111873,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.239915,0.008471,0.248386,3,0.248083,0.020127,0.26821,3,se,0.045343,0.003972,0.049314,3,0.051631,0.003641,0.055272,3,se,0.693150174,0.018788906
