study.id,publication,pubyear,location,microbial.name,microbial.type,inoculant.type,experimental.type,inoculum.in.tr,inoculum.in.ck,inoculum,inoculation.amount,inoculation.amount.1,soil.weight,final.inoculation.amount,log10,unit,inoculant.quantity,inoculation.location,soil.use.type,soil.origin,soil.type,sandy.or.not.sandy,extraction.part,soil.ph,log10ph,soil.tc,log10tc,soil.soc,log10soc,tn,log10tn,tp,log10tp,organic.p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application.background,stress,specific.background,rate,fertilizer,fertilizer.type,supply.rate,native,plant,plant.latin,plant.type,experimental.duration,experimental.periods,variable,methods,unit.1,xc,sc,nc,xe,se,ne,ph,xc.1,sc.1,nc.1,xe.1,se.1,ne.1,X.yield.xc,sc.2,nc.2,xe.2,se.2,ne.2,X.plant.biomass.xc,sc.3,nc.3,xe.3,se.3,ne.3,X.leaf.biomass.xc,sc.4,na,nc.4,xe.4,se.4,na.1,ne.4,sd.se,X.shoot.biomass.xc,sc.5,na.2,nc.5,xe.5,se.5,na.3,ne.5,sd.se.1,X.root.biomass.xc,sc.6,na.4,nc.6,xe.6,se.6,na.5,ne.6,sd.se.2,RR,Vi
137,"luo, qixin(2023)",2023,na,tn,pgpf,fungi,greenhouse,fungal suspension,water,fungi yes,"1*106 pieces/ml, 150ml/root",na,na,150000000,8.176091259,pieces/root,yes,roots,na,other,na,unknow,bulk,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,blueberry,na,shrub,60,Short-term,phosphatase,acid pme,u/g,23620.22,35.27,10,27352.97,177.52,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1.25,0.14,na,10,1.97,0.08,na,10,sd,0.3,0.02,na,10,0.48,0.07,na,10,sd,0.14672199,4.43E-06
137,"luo, qixin(2023)",2023,na,pe,pgpf,fungi,greenhouse,fungal suspension,water,fungi yes,"1*106 pieces/ml, 150ml/root",na,na,150000000,8.176091259,pieces/root,yes,roots,na,other,na,unknow,bulk,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,blueberry,na,shrub,60,Short-term,phosphatase,acid pme,u/g,23620.22,35.27,10,29253.98,728.8,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1.25,0.14,na,10,1.91,0.47,na,10,sd,0.3,0.02,na,10,0.66,0.09,na,10,sd,0.213912508,6.23E-05
137,"luo, qixin(2023)",2023,na,hs,pgpf,fungi,greenhouse,fungal suspension,water,fungi yes,"1*106 pieces/ml, 150ml/root",na,na,150000000,8.176091259,pieces/root,yes,roots,na,other,na,unknow,bulk,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,blueberry,na,shrub,60,Short-term,phosphatase,acid pme,u/g,23620.22,35.27,10,32578.82,981.86,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1.25,0.14,na,10,1.75,0.15,na,10,sd,0.3,0.02,na,10,0.42,0.08,na,10,sd,0.321559259,9.11E-05
137,"luo, qixin(2023)",2023,na,tn+pe,pgpf,fungi,greenhouse,fungal suspension,water,fungi yes,"1*106 pieces/ml, 150ml/root",na,na,150000000,8.176091259,pieces/root,yes,roots,na,other,na,unknow,bulk,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,blueberry,na,shrub,60,Short-term,phosphatase,acid pme,u/g,23620.22,35.27,10,34779.99,973.89,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1.25,0.14,na,10,2.1,0.17,na,10,sd,0.3,0.02,na,10,0.48,0.05,na,10,sd,0.386939097,7.86E-05
137,"luo, qixin(2023)",2023,na,tn+hs,pgpf,fungi,greenhouse,fungal suspension,water,fungi yes,"1*106 pieces/ml, 150ml/root",na,na,150000000,8.176091259,pieces/root,yes,roots,na,other,na,unknow,bulk,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,blueberry,na,shrub,60,Short-term,phosphatase,acid pme,u/g,23620.22,35.27,10,25652.07,408.49,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1.25,0.14,na,10,1.59,0.13,na,10,sd,0.3,0.02,na,10,0.5,0.17,na,10,sd,0.082521145,2.56E-05
137,"luo, qixin(2023)",2023,na,pe+hs,pgpf,fungi,greenhouse,fungal suspension,water,fungi yes,"1*106 pieces/ml, 150ml/root",na,na,150000000,8.176091259,pieces/root,yes,roots,na,other,na,unknow,bulk,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,blueberry,na,shrub,60,Short-term,phosphatase,acid pme,u/g,23620.22,35.27,10,36634.82,622.74,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1.25,0.14,na,10,2.03,0.05,na,10,sd,0.3,0.02,na,10,0.52,0.08,na,10,sd,0.438896029,2.91E-05
137,"luo, qixin(2023)",2023,na,tn+pe+hs,pgpf,fungi,greenhouse,fungal suspension,water,fungi yes,"1*106 pieces/ml, 150ml/root",na,na,150000000,8.176091259,pieces/root,yes,roots,na,other,na,unknow,bulk,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,blueberry,na,shrub,60,Short-term,phosphatase,acid pme,u/g,23620.22,35.27,10,29500.27,3563.65,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1.25,0.14,na,10,1.9,0.05,na,10,sd,0.3,0.02,na,10,0.46,0.07,na,10,sd,0.222296291,0.001459501
137,"luo, qixin(2023)",2023,na,tn,pgpf,fungi,greenhouse,fungal suspension,water,fungi yes,"1*106 pieces/ml, 150ml/root",na,na,150000000,8.176091259,pieces/root,yes,roots,na,other,na,unknow,bulk,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,blueberry,na,shrub,60,Short-term,phosphatase,alkaline pme,u/g,21166.43,29.93,10,35927.32,448.16,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1.25,0.14,na,10,1.97,0.08,na,10,sd,0.3,0.02,na,10,0.48,0.07,na,10,sd,0.529081573,1.58E-05
137,"luo, qixin(2023)",2023,na,pe,pgpf,fungi,greenhouse,fungal suspension,water,fungi yes,"1*106 pieces/ml, 150ml/root",na,na,150000000,8.176091259,pieces/root,yes,roots,na,other,na,unknow,bulk,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,blueberry,na,shrub,60,Short-term,phosphatase,alkaline pme,u/g,21166.43,29.93,10,37499.53,130.45,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1.25,0.14,na,10,1.91,0.47,na,10,sd,0.3,0.02,na,10,0.66,0.09,na,10,sd,0.571911963,1.41E-06
137,"luo, qixin(2023)",2023,na,hs,pgpf,fungi,greenhouse,fungal suspension,water,fungi yes,"1*106 pieces/ml, 150ml/root",na,na,150000000,8.176091259,pieces/root,yes,roots,na,other,na,unknow,bulk,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,blueberry,na,shrub,60,Short-term,phosphatase,alkaline pme,u/g,21166.43,29.93,10,29810.13,925.42,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1.25,0.14,na,10,1.75,0.15,na,10,sd,0.3,0.02,na,10,0.42,0.08,na,10,sd,0.342431833,9.66E-05
