study.id,publication,pubyear,location,microbial.name,microbial.type,inoculant.type,experimental.type,inoculum.in.tr,inoculum.in.ck,inoculum,inoculation.amount,inoculation.amount.1,soil.weight,final.inoculation.amount,log10,unit,inoculant.quantity,inoculation.location,soil.use.type,soil.origin,soil.type,sandy.or.not.sandy,extraction.part,soil.ph,log10ph,soil.tc,log10tc,soil.soc,log10soc,tn,log10tn,tp,log10tp,organic.p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application.background,stress,specific.background,rate,fertilizer,fertilizer.type,supply.rate,native,plant,plant.latin,plant.type,experimental.duration,experimental.periods,variable,methods,unit.1,xc,sc,nc,xe,se,ne,ph,xc.1,sc.1,nc.1,xe.1,se.1,ne.1,X.yield.xc,sc.2,nc.2,xe.2,se.2,ne.2,X.plant.biomass.xc,sc.3,nc.3,xe.3,se.3,ne.3,X.leaf.biomass.xc,sc.4,na,nc.4,xe.4,se.4,na.1,ne.4,sd.se,X.shoot.biomass.xc,sc.5,na.2,nc.5,xe.5,se.5,na.3,ne.5,sd.se.1,X.root.biomass.xc,sc.6,na.4,nc.6,xe.6,se.6,na.5,ne.6,sd.se.2,RR,Vi
11,"della mÃ³nica, ivana f.(2020)",2020,na,talaromyces diversus,psf,fungi,greenhouse,fungal suspension,none,fungi yes,"1*105 conidia/ml, 5ml/pot",na,1l,500000,5.698970004,spores/l soil,yes,soils,anthrosol,other,anthrosol,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,wheat,triticum aestivum,crop,75,Short-term,phosphatase,acid pme,ug pnp/g/h,36.7113,5.620109,6,55.0669,11.240463,6,ph,5.98501,0.315788,6,5.40106,0.343247,6,na,na,na,na,na,na,2.6,0.857321,6,3,0.391918,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.4054642,0.010850477
11,"della mÃ³nica, ivana f.(2020)",2020,na,talaromyces flavus,psf,fungi,greenhouse,fungal suspension,none,fungi yes,"1*105 conidia/ml, 5ml/pot",na,1l,500000,5.698970004,spores/l soil,yes,soils,anthrosol,other,anthrosol,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,wheat,triticum aestivum,crop,75,Short-term,phosphatase,acid pme,ug pnp/g/h,36.7113,5.620109,6,47.0363,16.860818,6,ph,5.98501,0.315788,6,5.30461,0.357013,6,na,na,na,na,na,na,2.6,0.857321,6,2.6,0.636867,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.247835034,0.025322126
11,"della mÃ³nica, ivana f.(2020)",2020,na,talaromyces helicus n24,psf,fungi,greenhouse,fungal suspension,none,fungi yes,"1*105 conidia/ml, 5ml/pot",na,1l,500000,5.698970004,spores/l soil,yes,soils,anthrosol,other,anthrosol,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,wheat,triticum aestivum,crop,75,Short-term,phosphatase,acid pme,ug pnp/g/h,36.7113,5.620109,6,56.2141,16.860818,6,ph,5.98501,0.315788,6,5.24741,0.274588,6,na,na,na,na,na,na,2.6,0.857321,6,3.45,0.318434,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.426083006,0.018899989
11,"della mÃ³nica, ivana f.(2020)",2020,na,talaromyces helicus l7b,psf,fungi,greenhouse,fungal suspension,none,fungi yes,"1*105 conidia/ml, 5ml/pot",na,1l,500000,5.698970004,spores/l soil,yes,soils,anthrosol,other,anthrosol,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,wheat,triticum aestivum,crop,75,Short-term,phosphatase,acid pme,ug pnp/g/h,36.7113,5.620109,6,49.3308,11.240463,6,ph,5.98501,0.315788,6,5.16778,0.247154,6,na,na,na,na,na,na,2.6,0.857321,6,3.11,0.195959,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.295464023,0.01255934
11,"della mÃ³nica, ivana f.(2020)",2020,na,talaromyces diversus,psf,fungi,greenhouse,fungal suspension,none,fungi yes,"1*105 conidia/ml, 5ml/pot",na,1l,500000,5.698970004,spores/l soil,yes,soils,anthrosol,other,anthrosol,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,wheat,triticum aestivum,crop,75,Short-term,phosphatase,acid pme,ug pnp/g/h,51.6252,11.240463,6,44.7419,16.860573,6,ph,5.24452,0.274612,6,5.86013,0.274588,6,na,na,na,na,na,na,3.03,0.318434,6,2.9,1.469694,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-0.143099503,0.031569375
11,"della mÃ³nica, ivana f.(2020)",2020,na,talaromyces flavus,psf,fungi,greenhouse,fungal suspension,none,fungi yes,"1*105 conidia/ml, 5ml/pot",na,1l,500000,5.698970004,spores/l soil,yes,soils,anthrosol,other,anthrosol,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,wheat,triticum aestivum,crop,75,Short-term,phosphatase,acid pme,ug pnp/g/h,51.6252,11.240463,6,48.1836,8.430164,6,ph,5.24452,0.274612,6,5.8926,0.329554,6,na,na,na,na,na,na,3.03,0.318434,6,2.38,0.808332,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-0.068991211,0.013002998
11,"della mÃ³nica, ivana f.(2020)",2020,na,talaromyces helicus n24,psf,fungi,greenhouse,fungal suspension,none,fungi yes,"1*105 conidia/ml, 5ml/pot",na,1l,500000,5.698970004,spores/l soil,yes,soils,anthrosol,other,anthrosol,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,wheat,triticum aestivum,crop,75,Short-term,phosphatase,acid pme,ug pnp/g/h,51.6252,11.240463,6,49.3308,11.240463,6,ph,5.24452,0.274612,6,5.41599,0.203528,6,na,na,na,na,na,na,3.03,0.318434,6,3.49,0.440908,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-0.045461293,0.016554492
11,"della mÃ³nica, ivana f.(2020)",2020,na,talaromyces helicus l7b,psf,fungi,greenhouse,fungal suspension,none,fungi yes,"1*105 conidia/ml, 5ml/pot",na,1l,500000,5.698970004,spores/l soil,yes,soils,anthrosol,other,anthrosol,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,wheat,triticum aestivum,crop,75,Short-term,phosphatase,acid pme,ug pnp/g/h,51.6252,11.240463,6,48.1836,8.430164,6,ph,5.24452,0.274612,6,5.582,0.192211,6,na,na,na,na,na,na,3.03,0.318434,6,3.02,0.220454,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-0.068991211,0.013002998
11,"della mÃ³nica, ivana f.(2020)",2020,na,talaromyces diversus,psf,fungi,greenhouse,fungal suspension,none,fungi yes,"1*105 conidia/ml, 5ml/pot",na,1l,500000,5.698970004,spores/l soil,yes,soils,anthrosol,other,anthrosol,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,wheat,triticum aestivum,crop,75,Short-term,phosphatase,alkaline pme,ug pnp/g/h,47.0363,8.430409,6,251.243,25.290982,6,ph,5.98501,0.315788,6,5.40106,0.343247,6,na,na,na,na,na,na,2.6,0.857321,6,3,0.391918,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1.675500954,0.007042871
11,"della mÃ³nica, ivana f.(2020)",2020,na,talaromyces flavus,psf,fungi,greenhouse,fungal suspension,none,fungi yes,"1*105 conidia/ml, 5ml/pot",na,1l,500000,5.698970004,spores/l soil,yes,soils,anthrosol,other,anthrosol,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,wheat,triticum aestivum,crop,75,Short-term,phosphatase,alkaline pme,ug pnp/g/h,47.0363,8.430409,6,289.101,123.645343,6,ph,5.98501,0.315788,6,5.30461,0.357013,6,na,na,na,na,na,na,2.6,0.857321,6,2.6,0.636867,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1.815856464,0.035840343
