study.id,publication,pubyear,location,microbial.name,microbial.type,inoculant.type,experimental.type,inoculum.in.tr,inoculum.in.ck,inoculum,inoculation.amount,inoculation.amount.1,soil.weight,final.inoculation.amount,log10,unit,inoculant.quantity,inoculation.location,soil.use.type,soil.origin,soil.type,sandy.or.not.sandy,extraction.part,soil.ph,log10ph,soil.tc,log10tc,soil.soc,log10soc,tn,log10tn,tp,log10tp,organic.p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application.background,stress,specific.background,rate,fertilizer,fertilizer.type,supply.rate,native,plant,plant.latin,plant.type,experimental.duration,experimental.periods,variable,methods,unit.1,xc,sc,nc,xe,se,ne,ph,xc.1,sc.1,nc.1,xe.1,se.1,ne.1,X.yield.xc,sc.2,nc.2,xe.2,se.2,ne.2,X.plant.biomass.xc,sc.3,nc.3,xe.3,se.3,ne.3,X.leaf.biomass.xc,sc.4,na,nc.4,xe.4,se.4,na.1,ne.4,sd.se,X.shoot.biomass.xc,sc.5,na.2,nc.5,xe.5,se.5,na.3,ne.5,sd.se.1,X.root.biomass.xc,sc.6,na.4,nc.6,xe.6,se.6,na.5,ne.6,sd.se.2,RR,Vi
9,"liu, q.(2007)",2007,na,suillus luteus (l. ex. fr.) s. f. gray,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",na,0.5kg,40000000,7.602059991,spores/seeding,yes,seedings,forest,forest,andosol,unknow,bulk,5.8,0.763428,na,na,na,na,na,na,0.205,-0.688246,na,na,na,na,na,na,0.9,-0.045757,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,native,pinus radiata,pinus radiata d. don,tree,300,Medium-term,phosphatase,acid pme,ug/g/h,887,38,5,788,33,5,ph,4.99,0.02,5,4.93,0.05,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2.3,0.04,na,5,2.1,0.05,na,5,sd,1,0.01,na,5,1.1,0.05,na,5,sd,-0.118346892,0.000717827
9,"liu, q.(2007)",2007,na,suillus luteus (l. ex. fr.) s. f. gray,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",na,0.5kg,40000000,7.602059991,spores/seeding,yes,seedings,forest,forest,andosol,unknow,rhizosphere,5.8,0.763428,na,na,na,na,na,na,0.205,-0.688246,na,na,na,na,na,na,0.9,-0.045757,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,native,pinus radiata,pinus radiata d. don,tree,300,Medium-term,phosphatase,acid pme,ug/g/h,855,66,5,850,3,5,ph,5.09,0.101,5,5.17,0.01,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2.3,0.04,na,5,2.1,0.05,na,5,sd,1,0.01,na,5,1.1,0.05,na,5,sd,-0.005865119,0.001194243
9,"liu, q.(2007)",2007,na,rhizopogon rubescens tul.,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",na,0.5kg,40000000,7.602059991,spores/seeding,yes,seedings,forest,forest,andosol,unknow,bulk,5.8,0.763428,na,na,na,na,na,na,0.205,-0.688246,na,na,na,na,na,na,0.9,-0.045757,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,native,pinus radiata,pinus radiata d. don,tree,300,Medium-term,phosphatase,acid pme,ug/g/h,887,38,5,862,19,5,ph,4.99,0.02,5,4.95,0.03,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2.3,0.04,na,5,2.2,0.04,na,5,sd,1,0.01,na,5,1.2,0.04,na,5,sd,-0.028589712,0.000464239
9,"liu, q.(2007)",2007,na,rhizopogon rubescens tul.,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",na,0.5kg,40000000,7.602059991,spores/seeding,yes,seedings,forest,forest,andosol,unknow,rhizosphere,5.8,0.763428,na,na,na,na,na,na,0.205,-0.688246,na,na,na,na,na,na,0.9,-0.045757,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,native,pinus radiata,pinus radiata d. don,tree,300,Medium-term,phosphatase,acid pme,ug/g/h,855,66,5,931,15,5,ph,5.09,0.101,5,5.12,0.07,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2.3,0.04,na,5,2.2,0.04,na,5,sd,1,0.01,na,5,1.2,0.04,na,5,sd,0.085157808,0.001243669
9,"liu, q.(2007)",2007,na,suillus luteus (l. ex. fr.) s. f. gray,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",na,0.5kg,40000000,7.602059991,spores/seeding,yes,seedings,forest,forest,andosol,unknow,bulk,5.8,0.763428,na,na,na,na,na,na,0.205,-0.688246,na,na,na,na,na,na,0.9,-0.045757,na,na,unsterilization,na,no stress,na,na,fertilizer,organic p,100mg p/kg soil,native,pinus radiata,pinus radiata d. don,tree,300,Medium-term,phosphatase,acid pme,ug/g/h,698,80,5,618,40,5,ph,5.5,0.02,5,5.52,0.02,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,9.5,0.08,na,5,8.9,0.11,na,5,sd,3.6,0.04,na,5,3.7,0.04,na,5,sd,-0.121730645,0.003465099
9,"liu, q.(2007)",2007,na,suillus luteus (l. ex. fr.) s. f. gray,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",na,0.5kg,40000000,7.602059991,spores/seeding,yes,seedings,forest,forest,andosol,unknow,rhizosphere,5.8,0.763428,na,na,na,na,na,na,0.205,-0.688246,na,na,na,na,na,na,0.9,-0.045757,na,na,unsterilization,na,no stress,na,na,fertilizer,organic p,100mg p/kg soil,native,pinus radiata,pinus radiata d. don,tree,300,Medium-term,phosphatase,acid pme,ug/g/h,763,52,5,748,78,5,ph,5.33,0.02,5,5.41,0.02,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,9.5,0.08,na,5,8.9,0.11,na,5,sd,3.6,0.04,na,5,3.7,0.04,na,5,sd,-0.019855053,0.003103723
9,"liu, q.(2007)",2007,na,rhizopogon rubescens tul.,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",na,0.5kg,40000000,7.602059991,spores/seeding,yes,seedings,forest,forest,andosol,unknow,bulk,5.8,0.763428,na,na,na,na,na,na,0.205,-0.688246,na,na,na,na,na,na,0.9,-0.045757,na,na,unsterilization,na,no stress,na,na,fertilizer,organic p,100mg p/kg soil,native,pinus radiata,pinus radiata d. don,tree,300,Medium-term,phosphatase,acid pme,ug/g/h,698,80,5,587,61,5,ph,5.5,0.02,5,5.54,0.01,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,9.5,0.08,na,5,9.5,0.04,na,5,sd,3.6,0.04,na,5,3.8,0.05,na,5,sd,-0.173194283,0.004787036
9,"liu, q.(2007)",2007,na,rhizopogon rubescens tul.,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",na,0.5kg,40000000,7.602059991,spores/seeding,yes,seedings,forest,forest,andosol,unknow,rhizosphere,5.8,0.763428,na,na,na,na,na,na,0.205,-0.688246,na,na,na,na,na,na,0.9,-0.045757,na,na,unsterilization,na,no stress,na,na,fertilizer,organic p,100mg p/kg soil,native,pinus radiata,pinus radiata d. don,tree,300,Medium-term,phosphatase,acid pme,ug/g/h,763,52,5,724,51,5,ph,5.33,0.02,5,5.36,0.02,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,9.5,0.08,na,5,9.5,0.04,na,5,sd,3.6,0.04,na,5,3.8,0.05,na,5,sd,-0.052466639,0.001921355
9,"liu, q.(2007)",2007,na,suillus luteus (l. ex. fr.) s. f. gray,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",na,0.5kg,40000000,7.602059991,spores/seeding,yes,seedings,forest,forest,andosol,unknow,bulk,5.8,0.763428,na,na,na,na,na,na,0.205,-0.688246,na,na,na,na,na,na,0.9,-0.045757,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,native,pinus radiata,pinus radiata d. don,tree,300,Medium-term,phosphatase,alkaline pme,ug/g/h,284,38,5,292,44,5,ph,4.99,0.02,5,4.93,0.05,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2.3,0.04,na,5,2.1,0.05,na,5,sd,1,0.01,na,5,1.1,0.05,na,5,sd,0.027779564,0.008121828
9,"liu, q.(2007)",2007,na,suillus luteus (l. ex. fr.) s. f. gray,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",na,0.5kg,40000000,7.602059991,spores/seeding,yes,seedings,forest,forest,andosol,unknow,rhizosphere,5.8,0.763428,na,na,na,na,na,na,0.205,-0.688246,na,na,na,na,na,na,0.9,-0.045757,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,native,pinus radiata,pinus radiata d. don,tree,300,Medium-term,phosphatase,alkaline pme,ug/g/h,273,46,5,277,42,5,ph,5.09,0.101,5,5.17,0.01,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2.3,0.04,na,5,2.1,0.05,na,5,sd,1,0.01,na,5,1.1,0.05,na,5,sd,0.014545711,0.010276327
