"endpoint","moderator","level","estimate","se","df","p","ci_lb","ci_ub","k","studies"
"AP","inoculant.type","inoculant.typeamf","0.105424052084388","0.0680042033316647","62.5879998863379","0.12612185977735","-0.0304890137156864","0.241337117884463","1114","205"
"AP","inoculant.type","inoculant.typebacteria","0.294397202983686","0.042272898367136","113.988333086633","2.24774221244892e-10","0.210654824967067","0.378139581000306","1114","205"
"AP","inoculant.type","inoculant.typefungi","0.280895211353413","0.0720110610739228","19.3765769728733","0.000932040190051501","0.13037234038191","0.431418082324917","1114","205"
"AP","inoculant.type","inoculant.typemix","0.513316151404964","0.184824141142132","16.3777150626772","0.013239371199657","0.122239590760195","0.904392712049733","1114","205"
"AP","experimental.type","experimental.typefield","0.281389401240175","0.0699377623723735","44.3903926596873","0.000220116359884968","0.140474105828319","0.422304696652031","1114","205"
"AP","experimental.type","experimental.typegreenhouse","0.2357459330964","0.0312667458248649","141.788396654909","5.12190180780392e-12","0.173936693472005","0.297555172720794","1114","205"
"AP","stress","stressno stress","0.2463650493825","0.0303294490688622","194.968035726362","5.10151929495104e-14","0.186549125821064","0.306180972943936","1114","205"
"AP","stress","stressstress","0.250565733968226","0.0830201542521711","28.2556233328658","0.00534041994767597","0.0805759417460892","0.420555526190364","1114","205"
"AP","fertilizer","fertilizerfertilizer","0.193025096849281","0.0437644366519056","91.9898460140161","2.7947364583913e-05","0.106105020211251","0.27994517348731","1114","205"
"AP","fertilizer","fertilizerno fertilizer","0.265084021135574","0.0329413837604871","190.284520033827","8.91672414619931e-14","0.200106836046817","0.330061206224331","1114","205"
"AP","extraction.part","extraction.partbulk","0.313807808599649","0.0694192124827587","83.8648714648449","2.00885404586239e-05","0.175756841691665","0.451858775507633","1111","204"
"AP","extraction.part","extraction.partrhizosphere","0.160322962954048","0.079061183396001","54.4031052572731","0.04748635808877","0.00184172773658942","0.318804198171507","1111","204"
"Phosphatase","inoculant.type","inoculant.typeamf","0.218889140471664","0.0328790017071722","59.8577946591662","9.67062639371771e-09","0.153118131167488","0.284660149775839","1706","197"
"Phosphatase","inoculant.type","inoculant.typebacteria","0.249660596964988","0.0257719958850926","83.8825966567615","2.49395283571533e-15","0.198409108771585","0.300912085158391","1706","197"
"Phosphatase","inoculant.type","inoculant.typefungi","0.35707496469821","0.0621571140728725","12.7551337558709","7.28899323125408e-05","0.222530163111911","0.491619766284509","1706","197"
"Phosphatase","inoculant.type","inoculant.typemix","0.471169880989939","0.0490798166788829","18.2485649853202","1.46984812801116e-08","0.368157594696194","0.574182167283684","1706","197"
"Phosphatase","experimental.type","experimental.typefield","0.281521897705526","0.0484646625945842","36.0083063252585","1.25064596597125e-06","0.183231793512238","0.379812001898813","1706","197"
"Phosphatase","experimental.type","experimental.typegreenhouse","0.26001590137718","0.0230950318984602","144.228921950309","1.70569580581984e-21","0.214367451134595","0.305664351619765","1706","197"
"Phosphatase","stress","stressno stress","0.252380072355082","0.0210932379133012","179.905935092066","1.19499834793559e-24","0.210758097858847","0.294002046851318","1706","197"
"Phosphatase","stress","stressstress","0.35865530156113","0.054338358336039","29.5564302153573","2.83667425536678e-07","0.247611688838387","0.469698914283873","1706","197"
"Phosphatase","fertilizer","fertilizerfertilizer","0.219582677527078","0.0245944475197558","53.2786014067412","3.62868909647942e-12","0.170258483843524","0.268906871210631","1706","197"
"Phosphatase","fertilizer","fertilizerno fertilizer","0.278710394276861","0.0221673362865092","171.635901174659","4.06206441924495e-26","0.234954691826564","0.322466096727158","1706","197"
"Phosphatase","extraction.part","extraction.partbulk","0.31351721295531","0.053547823698479","36.3274842691616","1.05222593938382e-06","0.204951176158098","0.422083249752521","1703","196"
"Phosphatase","extraction.part","extraction.partrhizosphere","0.226948025295556","0.0390067458597517","61.6042657996166","2.29387489057717e-07","0.148964686478744","0.304931364112368","1703","196"
"TP","inoculant.type","inoculant.typeamf","0.00565289859342507","0.0173086735445931","11.3972631788303","0.749894626668839","-0.0322818502148078","0.043587647401658","187","49"
"TP","inoculant.type","inoculant.typebacteria","-0.0336007199421775","0.0404429288568946","23.6833651437449","0.414374013544938","-0.117129917377021","0.0499284774926658","187","49"
"TP","inoculant.type","inoculant.typefungi","0.144922531566034","0.0907632353163996","8.6089901703895","0.146324840790975","-0.0618285274688631","0.351673590600931","187","49"
"TP","inoculant.type","inoculant.typemix","0.0111397407181065","0.0893894811538955","1.49165009856097","0.915507661873381","-0.530923349024681","0.553202830460894","187","49"
"TP","experimental.type","experimental.typefield","-0.0307495605004741","0.0345768073791402","10.5750853809741","0.393615783845406","-0.107227348479174","0.0457282274782254","187","49"
"TP","experimental.type","experimental.typegreenhouse","0.030384309293004","0.0388860491450272","32.8240119435923","0.440185866430162","-0.0487460697831876","0.109514688369196","187","49"
"TP","stress","stressno stress","-0.00579994235480713","0.0373930618300377","45.176197972115","0.877427562420552","-0.081105328325442","0.0695054436158277","187","49"
"TP","stress","stressstress","0.29673343950563","0.14937657144836","5.24397734577103","0.10105620282171","-0.0819395936194683","0.675406472630729","187","49"
"TP","fertilizer","fertilizerfertilizer","0.00195918986946926","0.0414413075423777","13.5946016969544","0.962980535833247","-0.0871728826834886","0.0910912624224271","187","49"
"TP","fertilizer","fertilizerno fertilizer","0.0202594830642931","0.0350813880154713","41.8247619757377","0.566698159752808","-0.0505464132093314","0.0910653793379176","187","49"
"TP","extraction.part","extraction.partbulk","0.0139632493610587","0.0222248442281009","24.2651564888572","0.535694989575696","-0.0318800641136989","0.0598065628358162","182","47"
"TP","extraction.part","extraction.partrhizosphere","0.021053675487325","0.0626159487276274","19.1314672764802","0.740353468848349","-0.109942083375927","0.152049434350577","182","47"
